chr start end strand gene gene_start gene_end gene_strand breadth expression SI promoter
29 scaffold_1 2306933 2306934 + No_gene NA NA NA 2 321 0.633537636432442 scaffold_1_2306933_2306934_+
30 scaffold_1 2332292 2332319 + No_gene NA NA NA 28 1498 -1.28677235544997 scaffold_1_2332292_2332319_+
31 scaffold_1 2332752 2332767 + No_gene NA NA NA 16 606 -0.810843785935034 scaffold_1_2332752_2332767_+
32 scaffold_1 2364124 2364221 + No_gene NA NA NA 98 69116 -2.50441317589712 scaffold_1_2364124_2364221_+
33 scaffold_1 2379044 2379051 + No_gene NA NA NA 8 3092 -0.299216930224204 scaffold_1_2379044_2379051_+
34 scaffold_1 2379162 2379163 + No_gene NA NA NA 2 637 -0.162544926282199 scaffold_1_2379162_2379163_+
35 scaffold_1 2548262 2548263 + No_gene NA NA NA 2 1414 0.2313680149217 scaffold_1_2548262_2548263_+
36 scaffold_1 2558323 2558325 + No_gene NA NA NA 3 887 -0.00919983439899186 scaffold_1_2558323_2558325_+
37 scaffold_1 2667137 2667147 + No_gene NA NA NA 11 19038 0.87803160357299 scaffold_1_2667137_2667147_+
38 scaffold_1 2826182 2826188 + No_gene NA NA NA 7 6333 0.625640099378712 scaffold_1_2826182_2826188_+
39 scaffold_1 2840000 2840002 + No_gene NA NA NA 3 639 0.351876449826905 scaffold_1_2840000_2840002_+
40 scaffold_1 2949833 2949834 + No_gene NA NA NA 2 408 0.536427173685352 scaffold_1_2949833_2949834_+
41 scaffold_1 3032962 3032963 + No_gene NA NA NA 2 1039 1.1295797344242 scaffold_1_3032962_3032963_+
42 scaffold_1 3049902 3049903 + No_gene NA NA NA 2 223 1.34348608435105 scaffold_1_3049902_3049903_+
43 scaffold_1 3102280 3102293 + No_gene NA NA NA 14 1377 -1.08084578428094 scaffold_1_3102280_3102293_+
44 scaffold_1 3116764 3116776 + No_gene NA NA NA 13 4376 -1.35542250384736 scaffold_1_3116764_3116776_+
45 scaffold_1 3117140 3117141 + No_gene NA NA NA 2 656 1.00028519619682 scaffold_1_3117140_3117141_+
46 scaffold_1 3129169 3129170 + No_gene NA NA NA 2 231 0.546407258368124 scaffold_1_3129169_3129170_+
47 scaffold_1 3213800 3213835 + No_gene NA NA NA 36 2429 -2.35753489748951 scaffold_1_3213800_3213835_+
48 scaffold_1 3214102 3214108 + No_gene NA NA NA 7 3683 0.648578836367744 scaffold_1_3214102_3214108_+
49 scaffold_1 3214191 3214192 + No_gene NA NA NA 2 463 -0.481187091032981 scaffold_1_3214191_3214192_+
50 scaffold_1 3222180 3222189 + No_gene NA NA NA 10 10788 0.0303130843915198 scaffold_1_3222180_3222189_+
51 scaffold_1 3226941 3226942 + No_gene NA NA NA 2 502 0.223461145518945 scaffold_1_3226941_3226942_+
52 scaffold_1 3562690 3562692 + No_gene NA NA NA 3 1581 0.0561285531790496 scaffold_1_3562690_3562692_+
53 scaffold_1 3780350 3780356 + No_gene NA NA NA 7 2979 0.596507154270575 scaffold_1_3780350_3780356_+
54 scaffold_1 3780437 3780463 + No_gene NA NA NA 27 20818 -1.19289838560405 scaffold_1_3780437_3780463_+
55 scaffold_1 3780525 3780529 + No_gene NA NA NA 5 3438 0.260250240391843 scaffold_1_3780525_3780529_+
56 scaffold_1 3780573 3780577 + No_gene NA NA NA 5 3767 -0.0822031385821069 scaffold_1_3780573_3780577_+
57 scaffold_1 3865390 3865391 + No_gene NA NA NA 2 2143 1.59620319436308 scaffold_1_3865390_3865391_+
58 scaffold_1 3930120 3930121 + No_gene NA NA NA 2 650 -0.898708933003691 scaffold_1_3930120_3930121_+
59 scaffold_1 3932010 3932011 + No_gene NA NA NA 2 442 1.41585281438493 scaffold_1_3932010_3932011_+
60 scaffold_1 3982787 3982788 + No_gene NA NA NA 2 3617 1.53292147293912 scaffold_1_3982787_3982788_+
61 scaffold_1 4133425 4133429 + No_gene NA NA NA 5 947 -0.386776512737467 scaffold_1_4133425_4133429_+
62 scaffold_1 4181501 4181528 + No_gene NA NA NA 28 1991 -1.83669510733713 scaffold_1_4181501_4181528_+
63 scaffold_1 156980 156981 - No_gene NA NA NA 2 829 -0.730941009554301 scaffold_1_156980_156981_-
64 scaffold_1 372362 372364 - No_gene NA NA NA 3 2121 0.413658097981386 scaffold_1_372362_372364_-
65 scaffold_1 400152 400173 - No_gene NA NA NA 22 3562 -2.66517439617059 scaffold_1_400152_400173_-
66 scaffold_1 434143 434148 - No_gene NA NA NA 6 930 0.412745423100558 scaffold_1_434143_434148_-
67 scaffold_1 435481 435482 - No_gene NA NA NA 2 478 0.79480854746382 scaffold_1_435481_435482_-
68 scaffold_1 474968 474984 - No_gene NA NA NA 17 3475 -0.634239393972184 scaffold_1_474968_474984_-
69 scaffold_1 584423 584424 - No_gene NA NA NA 2 629 0.659586674209231 scaffold_1_584423_584424_-
70 scaffold_1 630851 630852 - No_gene NA NA NA 2 443 0.744345662771116 scaffold_1_630851_630852_-
71 scaffold_1 692052 692053 - No_gene NA NA NA 2 336 0.410499301266726 scaffold_1_692052_692053_-
72 scaffold_1 702713 702731 - No_gene NA NA NA 19 1333 -0.426233874863126 scaffold_1_702713_702731_-
73 scaffold_1 728167 728171 - No_gene NA NA NA 5 5420 1.01016629076962 scaffold_1_728167_728171_-
74 scaffold_1 848044 848047 - No_gene NA NA NA 4 1469 0.267621542582428 scaffold_1_848044_848047_-
75 scaffold_1 1425388 1425395 - No_gene NA NA NA 8 3217 -0.101448835556451 scaffold_1_1425388_1425395_-
76 scaffold_1 1471154 1471155 - No_gene NA NA NA 2 618 0.544155296601417 scaffold_1_1471154_1471155_-
77 scaffold_1 1533572 1533578 - No_gene NA NA NA 7 3613 0.335638000932479 scaffold_1_1533572_1533578_-
78 scaffold_1 1570246 1570256 - No_gene NA NA NA 11 2994 0.217864209349046 scaffold_1_1570246_1570256_-
79 scaffold_1 1577598 1577602 - No_gene NA NA NA 5 425 -0.180234789867854 scaffold_1_1577598_1577602_-
80 scaffold_1 1579942 1579943 - No_gene NA NA NA 2 703 0.975695762123246 scaffold_1_1579942_1579943_-
81 scaffold_1 1581213 1581214 - No_gene NA NA NA 2 764 0.110148312198289 scaffold_1_1581213_1581214_-
82 scaffold_1 1581268 1581275 - No_gene NA NA NA 8 6685 -1.19782717472192 scaffold_1_1581268_1581275_-
83 scaffold_1 1581296 1581323 - No_gene NA NA NA 28 2211 -2.52289220367723 scaffold_1_1581296_1581323_-
84 scaffold_1 1581527 1581533 - No_gene NA NA NA 7 2931 -0.375490667482633 scaffold_1_1581527_1581533_-
85 scaffold_1 1640268 1640269 - No_gene NA NA NA 2 249 1.39073851308115 scaffold_1_1640268_1640269_-
86 scaffold_1 1722847 1722851 - No_gene NA NA NA 5 3077 0.340719770562981 scaffold_1_1722847_1722851_-
87 scaffold_1 1780459 1780460 - No_gene NA NA NA 2 991 0.203534218733436 scaffold_1_1780459_1780460_-
88 scaffold_1 1862550 1862594 - No_gene NA NA NA 45 12904 -0.743951073514837 scaffold_1_1862550_1862594_-
89 scaffold_1 1877808 1877823 - No_gene NA NA NA 16 843 -0.890516399883093 scaffold_1_1877808_1877823_-
90 scaffold_1 1885724 1885736 - No_gene NA NA NA 13 981 -1.49702392362349 scaffold_1_1885724_1885736_-
91 scaffold_1 1901025 1901026 - No_gene NA NA NA 2 1340 -0.693113963086127 scaffold_1_1901025_1901026_-
92 scaffold_1 1903538 1903539 - No_gene NA NA NA 2 3068 -0.511056970362713 scaffold_1_1903538_1903539_-
93 scaffold_1 1903560 1903561 - No_gene NA NA NA 2 2472 0.229792836562006 scaffold_1_1903560_1903561_-
94 scaffold_1 1926481 1926482 - No_gene NA NA NA 2 1136 -1.11897589072974 scaffold_1_1926481_1926482_-
95 scaffold_1 1945075 1945079 - No_gene NA NA NA 5 448 -0.0933257582420151 scaffold_1_1945075_1945079_-
96 scaffold_1 2091720 2091727 - No_gene NA NA NA 8 1227 -1.40469064055469 scaffold_1_2091720_2091727_-
97 scaffold_1 2212928 2212932 - No_gene NA NA NA 5 14764 0.138852567502544 scaffold_1_2212928_2212932_-
98 scaffold_1 2212968 2212974 - No_gene NA NA NA 7 14262 0.345386206314956 scaffold_1_2212968_2212974_-
99 scaffold_1 2239280 2239288 - No_gene NA NA NA 9 2953 -0.801124139280509 scaffold_1_2239280_2239288_-
100 scaffold_1 2239561 2239562 - No_gene NA NA NA 2 1361 -1.17726827145775 scaffold_1_2239561_2239562_-
101 scaffold_1 2239595 2239601 - No_gene NA NA NA 7 758 -0.763325373316132 scaffold_1_2239595_2239601_-
102 scaffold_1 2345644 2345651 - No_gene NA NA NA 8 11055 -0.382219278824041 scaffold_1_2345644_2345651_-
103 scaffold_1 2443458 2443462 - No_gene NA NA NA 5 7262 0.706701838774507 scaffold_1_2443458_2443462_-
104 scaffold_1 2541454 2541469 - No_gene NA NA NA 16 2524 -2.02288457462664 scaffold_1_2541454_2541469_-
105 scaffold_1 2622997 2622998 - No_gene NA NA NA 2 724 -0.252561889642503 scaffold_1_2622997_2622998_-
106 scaffold_1 2632439 2632440 - No_gene NA NA NA 2 1160 0.216987764502017 scaffold_1_2632439_2632440_-
107 scaffold_1 2737967 2737968 - No_gene NA NA NA 2 374 0.346914286900056 scaffold_1_2737967_2737968_-
108 scaffold_1 2752126 2752127 - No_gene NA NA NA 2 154 0.581705310135112 scaffold_1_2752126_2752127_-
109 scaffold_1 2786092 2786094 - No_gene NA NA NA 3 1921 -2.02292064756418 scaffold_1_2786092_2786094_-
110 scaffold_1 3079912 3079913 - No_gene NA NA NA 2 886 -0.764949763952175 scaffold_1_3079912_3079913_-
111 scaffold_1 3079941 3079962 - No_gene NA NA NA 22 702 -0.960487426629536 scaffold_1_3079941_3079962_-
112 scaffold_1 3271686 3271698 - No_gene NA NA NA 13 5092 -0.780351226228446 scaffold_1_3271686_3271698_-
113 scaffold_1 3336934 3336955 - No_gene NA NA NA 22 1412 -1.17450485151502 scaffold_1_3336934_3336955_-
114 scaffold_1 3562411 3562417 - No_gene NA NA NA 7 22100 0.901616808857372 scaffold_1_3562411_3562417_-
115 scaffold_1 3765599 3765600 - No_gene NA NA NA 2 944 -1.591512051199 scaffold_1_3765599_3765600_-
116 scaffold_1 3850588 3850589 - No_gene NA NA NA 2 833 0.356166119806638 scaffold_1_3850588_3850589_-
117 scaffold_1 3959353 3959360 - No_gene NA NA NA 8 11246 0.888110256970695 scaffold_1_3959353_3959360_-
118 scaffold_1 3970526 3970527 - No_gene NA NA NA 2 2344 -1.25881221557057 scaffold_1_3970526_3970527_-
119 scaffold_1 3970566 3970573 - No_gene NA NA NA 8 2750 -1.71312095400515 scaffold_1_3970566_3970573_-
120 scaffold_1 3980283 3980284 - No_gene NA NA NA 2 756 -0.0448385135904643 scaffold_1_3980283_3980284_-
121 scaffold_1 4117573 4117574 - No_gene NA NA NA 2 913 0.375716119546268 scaffold_1_4117573_4117574_-
122 scaffold_1 4155615 4155647 - No_gene NA NA NA 33 11064 -1.70675471610309 scaffold_1_4155615_4155647_-
123 scaffold_10 27600 27607 + No_gene NA NA NA 8 4327 -0.30147265465978 scaffold_10_27600_27607_+
124 scaffold_10 38887 38888 + No_gene NA NA NA 2 866 0.672343843272338 scaffold_10_38887_38888_+
125 scaffold_10 39109 39110 + No_gene NA NA NA 2 560 0.132465766286071 scaffold_10_39109_39110_+
126 scaffold_10 39321 39351 + No_gene NA NA NA 31 1167 -1.07176983670265 scaffold_10_39321_39351_+
127 scaffold_10 39519 39569 + No_gene NA NA NA 51 5634 -1.53149584247516 scaffold_10_39519_39569_+
128 scaffold_10 41062 41066 + No_gene NA NA NA 5 1396 0.836859172348465 scaffold_10_41062_41066_+
129 scaffold_10 49153 49157 + No_gene NA NA NA 5 865 1.09374188686796 scaffold_10_49153_49157_+
130 scaffold_10 68155 68159 + No_gene NA NA NA 5 2439 0.102815626520451 scaffold_10_68155_68159_+
131 scaffold_10 100164 100165 + No_gene NA NA NA 2 1526 0.286081845365273 scaffold_10_100164_100165_+
132 scaffold_10 169980 169981 + No_gene NA NA NA 2 2309 1.42657501052541 scaffold_10_169980_169981_+
133 scaffold_10 220343 220378 + No_gene NA NA NA 36 9882 -1.87702174231131 scaffold_10_220343_220378_+
134 scaffold_10 454431 454436 + No_gene NA NA NA 6 1253 -1.9683703211488 scaffold_10_454431_454436_+
135 scaffold_10 610829 610831 + No_gene NA NA NA 3 2447 0.581417529496843 scaffold_10_610829_610831_+
136 scaffold_10 630193 630194 + No_gene NA NA NA 2 2352 0.790354722970804 scaffold_10_630193_630194_+
137 scaffold_10 732256 732257 + No_gene NA NA NA 2 273 1.29350862991355 scaffold_10_732256_732257_+
138 scaffold_10 1143962 1143963 + No_gene NA NA NA 2 681 0.871963549954236 scaffold_10_1143962_1143963_+
139 scaffold_10 1273634 1273656 + No_gene NA NA NA 23 9772 0.551874082235264 scaffold_10_1273634_1273656_+
140 scaffold_10 1285571 1285575 + No_gene NA NA NA 5 921 -0.745306148396483 scaffold_10_1285571_1285575_+
141 scaffold_10 1296782 1296783 + No_gene NA NA NA 2 725 0.287580375343217 scaffold_10_1296782_1296783_+
142 scaffold_10 1367596 1367597 + No_gene NA NA NA 2 2475 0.953753914811162 scaffold_10_1367596_1367597_+
143 scaffold_10 1367717 1367718 + No_gene NA NA NA 2 450 1.40001467136732 scaffold_10_1367717_1367718_+
144 scaffold_10 1527015 1527019 + No_gene NA NA NA 5 2518 -0.0277287328214473 scaffold_10_1527015_1527019_+
145 scaffold_10 1842964 1842972 + No_gene NA NA NA 9 1831 -0.246567714411376 scaffold_10_1842964_1842972_+
146 scaffold_10 1896995 1896999 + No_gene NA NA NA 5 4928 0.44939675242614 scaffold_10_1896995_1896999_+
147 scaffold_10 1903538 1903539 + No_gene NA NA NA 2 574 1.35268137802653 scaffold_10_1903538_1903539_+
148 scaffold_10 2005553 2005554 + No_gene NA NA NA 2 312 0.484234246093874 scaffold_10_2005553_2005554_+
149 scaffold_10 2062700 2062708 + No_gene NA NA NA 9 23860 -0.083167865670704 scaffold_10_2062700_2062708_+
150 scaffold_10 2062916 2062917 + No_gene NA NA NA 2 394 0.25056629414169 scaffold_10_2062916_2062917_+
151 scaffold_10 74223 74224 - No_gene NA NA NA 2 1131 0.0685726452885986 scaffold_10_74223_74224_-
152 scaffold_10 268934 268936 - No_gene NA NA NA 3 2636 0.718910663134499 scaffold_10_268934_268936_-
153 scaffold_10 307247 307300 - No_gene NA NA NA 54 4946 -2.5444703922247 scaffold_10_307247_307300_-
154 scaffold_10 314200 314206 - No_gene NA NA NA 7 1317 -1.52177192200715 scaffold_10_314200_314206_-
155 scaffold_10 373308 373318 - No_gene NA NA NA 11 1710 -1.90986275288399 scaffold_10_373308_373318_-
156 scaffold_10 373347 373348 - No_gene NA NA NA 2 443 -0.316843218226432 scaffold_10_373347_373348_-
157 scaffold_10 373710 373729 - No_gene NA NA NA 20 1433 -2.32283262721459 scaffold_10_373710_373729_-
158 scaffold_10 396098 396118 - No_gene NA NA NA 21 3598 -2.05700332678205 scaffold_10_396098_396118_-
159 scaffold_10 530994 531000 - No_gene NA NA NA 7 1137 -0.726584359938104 scaffold_10_530994_531000_-
160 scaffold_10 531986 531994 - No_gene NA NA NA 9 1297 -0.542875274831437 scaffold_10_531986_531994_-
161 scaffold_10 655270 655272 - No_gene NA NA NA 3 632 0.240798885306837 scaffold_10_655270_655272_-
162 scaffold_10 854477 854478 - No_gene NA NA NA 2 1901 1.12544460651583 scaffold_10_854477_854478_-
163 scaffold_10 927903 927944 - No_gene NA NA NA 42 5755 -2.14696309933259 scaffold_10_927903_927944_-
164 scaffold_10 931168 931169 - No_gene NA NA NA 2 271 0.342075121466378 scaffold_10_931168_931169_-
165 scaffold_10 1093323 1093325 - No_gene NA NA NA 3 12241 -0.293552177546573 scaffold_10_1093323_1093325_-
166 scaffold_10 1093351 1093352 - No_gene NA NA NA 2 326 1.03891161796374 scaffold_10_1093351_1093352_-
167 scaffold_10 1360725 1360750 - No_gene NA NA NA 26 2727 -0.649693305125389 scaffold_10_1360725_1360750_-
168 scaffold_10 1393452 1393456 - No_gene NA NA NA 5 1741 -1.58943217224095 scaffold_10_1393452_1393456_-
169 scaffold_10 1435734 1435740 - No_gene NA NA NA 7 6518 0.871086410152002 scaffold_10_1435734_1435740_-
170 scaffold_10 1556736 1556739 - No_gene NA NA NA 4 1551 -1.91307895298524 scaffold_10_1556736_1556739_-
171 scaffold_10 1765122 1765129 - No_gene NA NA NA 8 1972 -0.71443501276601 scaffold_10_1765122_1765129_-
172 scaffold_100 94532 94533 + No_gene NA NA NA 2 1082 0.578525615358537 scaffold_100_94532_94533_+
173 scaffold_100 220259 220263 + No_gene NA NA NA 5 1823 0.498522885228848 scaffold_100_220259_220263_+
174 scaffold_100 361101 361111 + No_gene NA NA NA 11 7890 -0.129510185598069 scaffold_100_361101_361111_+
175 scaffold_100 109154 109155 - No_gene NA NA NA 2 841 -0.0964624086483288 scaffold_100_109154_109155_-
176 scaffold_100 167769 167774 - No_gene NA NA NA 6 1411 -1.04327443359386 scaffold_100_167769_167774_-
177 scaffold_100 184166 184170 - No_gene NA NA NA 5 4920 -0.125546483071386 scaffold_100_184166_184170_-
178 scaffold_100 211384 211392 - No_gene NA NA NA 9 1935 -0.113235226036855 scaffold_100_211384_211392_-
179 scaffold_100 241149 241154 - No_gene NA NA NA 6 2378 0.117419362727228 scaffold_100_241149_241154_-
180 scaffold_100 248461 248466 - No_gene NA NA NA 6 3580 -0.241977869989949 scaffold_100_248461_248466_-
181 scaffold_100 336529 336534 - No_gene NA NA NA 6 476 0.110549214110391 scaffold_100_336529_336534_-
182 scaffold_100 462956 462958 - No_gene NA NA NA 3 3822 0.536536933213711 scaffold_100_462956_462958_-
183 scaffold_101 209013 209017 + No_gene NA NA NA 5 3043 0.496675479976326 scaffold_101_209013_209017_+
184 scaffold_101 427127 427141 + No_gene NA NA NA 15 2390 -1.59004526843886 scaffold_101_427127_427141_+
185 scaffold_101 35126 35128 - No_gene NA NA NA 3 8479 1.3354848103262 scaffold_101_35126_35128_-
186 scaffold_101 423730 423731 - No_gene NA NA NA 2 2445 -0.94034936220109 scaffold_101_423730_423731_-
187 scaffold_101 423760 423798 - No_gene NA NA NA 39 7254 -2.01144429002593 scaffold_101_423760_423798_-
188 scaffold_101 423833 423834 - No_gene NA NA NA 2 2136 0.366711040969906 scaffold_101_423833_423834_-
189 scaffold_102 14158 14161 + No_gene NA NA NA 4 1980 0.3976715995224 scaffold_102_14158_14161_+
190 scaffold_102 139231 139245 + No_gene NA NA NA 15 1557 -1.22655148680413 scaffold_102_139231_139245_+
191 scaffold_102 183854 183855 + No_gene NA NA NA 2 760 0.0873287279679293 scaffold_102_183854_183855_+
192 scaffold_102 203443 203451 + No_gene NA NA NA 9 8249 -0.554113040707987 scaffold_102_203443_203451_+
193 scaffold_102 157640 157643 - No_gene NA NA NA 4 2206 -0.657335188720473 scaffold_102_157640_157643_-
194 scaffold_102 157701 157702 - No_gene NA NA NA 2 1039 0.634394616400235 scaffold_102_157701_157702_-
195 scaffold_102 157783 157796 - No_gene NA NA NA 14 12437 0.50110573224937 scaffold_102_157783_157796_-
196 scaffold_102 277465 277466 - No_gene NA NA NA 2 1412 0.296110773436618 scaffold_102_277465_277466_-
197 scaffold_103 342920 342926 - No_gene NA NA NA 7 8134 -0.50808576871314 scaffold_103_342920_342926_-
198 scaffold_103 342968 342976 - No_gene NA NA NA 9 48363 0.380171071600962 scaffold_103_342968_342976_-
199 scaffold_104 296062 296091 + No_gene NA NA NA 30 2512 -1.90989895678492 scaffold_104_296062_296091_+
200 scaffold_104 16957 16972 - No_gene NA NA NA 16 3544 -2.13606047827699 scaffold_104_16957_16972_-
201 scaffold_104 16998 17013 - No_gene NA NA NA 16 1573 -1.25720915787227 scaffold_104_16998_17013_-
202 scaffold_104 389277 389291 - No_gene NA NA NA 15 2506 -1.51417279046557 scaffold_104_389277_389291_-
203 scaffold_105 261529 261562 - No_gene NA NA NA 34 5960 -2.0612698089269 scaffold_105_261529_261562_-
204 scaffold_10571 352 375 - No_gene NA NA NA 24 708745 1.07542786348937 scaffold_10571_352_375_-
205 scaffold_106 198078 198079 + No_gene NA NA NA 2 2329 1.20230045103463 scaffold_106_198078_198079_+
206 scaffold_106 254560 254561 + No_gene NA NA NA 2 572 -0.634766728387389 scaffold_106_254560_254561_+
207 scaffold_106 317496 317497 + No_gene NA NA NA 2 868 0.785232415533998 scaffold_106_317496_317497_+
208 scaffold_106 317662 317663 + No_gene NA NA NA 2 794 0.289522252036754 scaffold_106_317662_317663_+
209 scaffold_106 328341 328342 + No_gene NA NA NA 2 902 1.28511319012646 scaffold_106_328341_328342_+
210 scaffold_106 426349 426350 + No_gene NA NA NA 2 1240 -0.0219551374415032 scaffold_106_426349_426350_+
211 scaffold_106 236256 236257 - No_gene NA NA NA 2 1211 0.315415724685955 scaffold_106_236256_236257_-
212 scaffold_106 236830 236864 - No_gene NA NA NA 35 81815 -0.724029874752082 scaffold_106_236830_236864_-
213 scaffold_106 285333 285334 - No_gene NA NA NA 2 2293 0.940949426437364 scaffold_106_285333_285334_-
214 scaffold_107 78492 78509 + No_gene NA NA NA 18 1409 -1.54548505670466 scaffold_107_78492_78509_+
215 scaffold_107 171335 171342 + No_gene NA NA NA 8 4988 0.019263659984099 scaffold_107_171335_171342_+
216 scaffold_107 179151 179163 + No_gene NA NA NA 13 5321 -1.28790391090411 scaffold_107_179151_179163_+
217 scaffold_107 248812 248826 + No_gene NA NA NA 15 1653 -1.3636889633141 scaffold_107_248812_248826_+
218 scaffold_107 66227 66228 - No_gene NA NA NA 2 350 -0.385808175723189 scaffold_107_66227_66228_-
219 scaffold_107 251828 251830 - No_gene NA NA NA 3 1364 -1.92135841860417 scaffold_107_251828_251830_-
220 scaffold_107 251869 251876 - No_gene NA NA NA 8 1797 -2.18302707829942 scaffold_107_251869_251876_-
221 scaffold_107 356959 356968 - No_gene NA NA NA 10 9579 -0.476886827220107 scaffold_107_356959_356968_-
222 scaffold_108 299781 299782 - No_gene NA NA NA 2 1752 -0.684831973185627 scaffold_108_299781_299782_-
223 scaffold_108 299813 299818 - No_gene NA NA NA 6 690 -0.0504429509394169 scaffold_108_299813_299818_-
224 scaffold_108 319498 319503 - No_gene NA NA NA 6 3549 -0.0500934169221021 scaffold_108_319498_319503_-
225 scaffold_108 345947 345948 - No_gene NA NA NA 2 752 0.608139424850058 scaffold_108_345947_345948_-
226 scaffold_108 357063 357064 - No_gene NA NA NA 2 815 0.513594960496556 scaffold_108_357063_357064_-
227 scaffold_10851 207 211 + No_gene NA NA NA 5 36739 1.44099506698308 scaffold_10851_207_211_+
228 scaffold_109 329082 329086 + No_gene NA NA NA 5 836 -0.992114172329117 scaffold_109_329082_329086_+
229 scaffold_109 169258 169263 - No_gene NA NA NA 6 5092 -0.765630794179616 scaffold_109_169258_169263_-
230 scaffold_109 169362 169363 - No_gene NA NA NA 2 614 -0.757242778898264 scaffold_109_169362_169363_-
231 scaffold_109 195186 195191 - No_gene NA NA NA 6 503 -1.1210993288943 scaffold_109_195186_195191_-
232 scaffold_11 58723 58724 + No_gene NA NA NA 2 519 -0.220214636685565 scaffold_11_58723_58724_+
233 scaffold_11 59033 59034 + No_gene NA NA NA 2 657 -0.428061607599578 scaffold_11_59033_59034_+
234 scaffold_11 118001 118002 + No_gene NA NA NA 2 332 0.237467990773535 scaffold_11_118001_118002_+
235 scaffold_11 128928 128932 + No_gene NA NA NA 5 1914 -0.319686009826538 scaffold_11_128928_128932_+
236 scaffold_11 162983 163048 + No_gene NA NA NA 66 5208 -2.51579851378976 scaffold_11_162983_163048_+
237 scaffold_11 235554 235581 + No_gene NA NA NA 28 6961 -2.11410810466297 scaffold_11_235554_235581_+
238 scaffold_11 497165 497170 + No_gene NA NA NA 6 4426 0.142056827951742 scaffold_11_497165_497170_+
239 scaffold_11 606136 606138 + No_gene NA NA NA 3 1513 0.371333910765787 scaffold_11_606136_606138_+
240 scaffold_11 616069 616070 + No_gene NA NA NA 2 674 1.528880222657 scaffold_11_616069_616070_+
241 scaffold_11 918097 918104 + No_gene NA NA NA 8 1622 0.637484197444607 scaffold_11_918097_918104_+
242 scaffold_11 973626 973640 + No_gene NA NA NA 15 1166 -2.25365311732983 scaffold_11_973626_973640_+
243 scaffold_11 1041978 1041987 + No_gene NA NA NA 10 2712 -0.345330569193058 scaffold_11_1041978_1041987_+
