chr start end strand gene gene_start gene_end breadth gene_strand expression SI promoter
35 scaffold_1 563899 563985 + JGI_V11_300012 560360 565018 87 + 8139 -1.93998208101161 scaffold_1_563899_563985_+
36 scaffold_1 564025 564037 + JGI_V11_300012 560360 565018 13 + 1473 -1.93998208101161 scaffold_1_564025_564037_+
37 scaffold_1 564078 564079 + JGI_V11_300012 560360 565018 2 + 848 -1.93998208101161 scaffold_1_564078_564079_+
38 scaffold_1 599189 599223 + JGI_V11_230075 598714 600285 35 + 27635 0.50495638990217 scaffold_1_599189_599223_+
39 scaffold_1 599729 599730 + JGI_V11_230075 598714 600285 2 + 1200 0.50495638990217 scaffold_1_599729_599730_+
40 scaffold_1 601298 601299 + JGI_V11_299805 600766 602307 2 + 2625 1.19193249537416 scaffold_1_601298_601299_+
41 scaffold_1 642144 642148 + JGI_V11_299809 641647 644866 5 + 6778 -0.901527588210488 scaffold_1_642144_642148_+
42 scaffold_1 645397 645415 + JGI_V11_300019 644849 647668 19 + 1286 -2.812489489199 scaffold_1_645397_645415_+
43 scaffold_1 704280 704327 + JGI_V11_299812 703775 706184 48 + 10717 0.958141105099037 scaffold_1_704280_704327_+
44 scaffold_1 901920 901936 + JGI_V11_300027 901491 904949 17 + 1155 -1.04190720276919 scaffold_1_901920_901936_+
46 scaffold_1 934151 934162 + JGI_V11_299818 933640 935305 12 + 1644 -0.138119320741682 scaffold_1_934151_934162_+
46.1 scaffold_1 934151 934162 + JGI_V11_94039 933964 935095 12 + 1644 -2.37561476322843 scaffold_1_934151_934162_+
48 scaffold_1 978322 978331 + JGI_V11_299820 977677 979263 10 + 1058 -0.998370480602961 scaffold_1_978322_978331_+
49 scaffold_1 986180 986227 + JGI_V11_309603 985825 988984 48 + 11626 -2.50441317589712 scaffold_1_986180_986227_+
50 scaffold_1 986254 986322 + JGI_V11_309603 985825 988984 69 + 26088 -2.50441317589712 scaffold_1_986254_986322_+
51 scaffold_1 989293 989313 + JGI_V11_299826 988778 991392 21 + 3670 -0.299216930224204 scaffold_1_989293_989313_+
52 scaffold_1 995673 995696 + JGI_V11_230081 995187 1010074 24 + 8491 -0.162544926282199 scaffold_1_995673_995696_+
53 scaffold_1 995717 995752 + JGI_V11_230081 995187 1010074 36 + 35160 -0.162544926282199 scaffold_1_995717_995752_+
54 scaffold_1 998648 998649 + JGI_V11_230081 995187 1010074 2 + 677 -0.162544926282199 scaffold_1_998648_998649_+
55 scaffold_1 1000904 1000913 + JGI_V11_230081 995187 1010074 10 + 1699 -0.162544926282199 scaffold_1_1000904_1000913_+
56 scaffold_1 1000958 1001008 + JGI_V11_230081 995187 1010074 51 + 61284 -0.162544926282199 scaffold_1_1000958_1001008_+
57 scaffold_1 1001058 1001059 + JGI_V11_230081 995187 1010074 2 + 2911 -0.162544926282199 scaffold_1_1001058_1001059_+
58 scaffold_1 1001287 1001290 + JGI_V11_230081 995187 1010074 4 + 9129 -0.162544926282199 scaffold_1_1001287_1001290_+
59 scaffold_1 1004706 1004726 + JGI_V11_230081 995187 1010074 21 + 2730 -0.162544926282199 scaffold_1_1004706_1004726_+
60 scaffold_1 1006322 1006323 + JGI_V11_230081 995187 1010074 2 + 426 -0.162544926282199 scaffold_1_1006322_1006323_+
61 scaffold_1 1007284 1007285 + JGI_V11_230081 995187 1010074 2 + 622 -0.162544926282199 scaffold_1_1007284_1007285_+
62 scaffold_1 1008363 1008444 + JGI_V11_230081 995187 1010074 82 + 18219 -0.162544926282199 scaffold_1_1008363_1008444_+
63 scaffold_1 1008487 1008490 + JGI_V11_230081 995187 1010074 4 + 4814 -0.162544926282199 scaffold_1_1008487_1008490_+
64 scaffold_1 1008510 1008534 + JGI_V11_230081 995187 1010074 25 + 5920 -0.162544926282199 scaffold_1_1008510_1008534_+
66 scaffold_1 1142710 1142715 + JGI_V11_232153 1142396 1144529 6 + 1071 -0.00919983439899186 scaffold_1_1142710_1142715_+
67 scaffold_1 1180793 1180794 + JGI_V11_299828 1180434 1188348 2 + 1102 -1.49284082148162 scaffold_1_1180793_1180794_+
68 scaffold_1 1269185 1269192 + JGI_V11_94071 1268769 1270401 8 + 4952 0.351876449826905 scaffold_1_1269185_1269192_+
69 scaffold_1 1269414 1269415 + JGI_V11_94071 1268769 1270401 2 + 769 0.351876449826905 scaffold_1_1269414_1269415_+
71 scaffold_1 1389417 1389444 + JGI_V11_232195 1389216 1391218 28 + 4425 -2.01306545245868 scaffold_1_1389417_1389444_+
72 scaffold_1 1389506 1389511 + JGI_V11_232195 1389216 1391218 6 + 778 -2.01306545245868 scaffold_1_1389506_1389511_+
73 scaffold_1 1394059 1394077 + JGI_V11_232197 1393691 1396574 19 + 3580 -0.356697767457496 scaffold_1_1394059_1394077_+
75 scaffold_1 1478745 1478778 + JGI_V11_299840 1478244 1495513 34 + 5142 0.223461145518945 scaffold_1_1478745_1478778_+
76 scaffold_1 1515531 1515537 + JGI_V11_300053 1515021 1518984 7 + 5344 -1.64222216971371 scaffold_1_1515531_1515537_+
77 scaffold_1 1588602 1588636 + JGI_V11_300057 1588168 1590339 35 + 5893 0.495727453862928 scaffold_1_1588602_1588636_+
78 scaffold_1 1591712 1591715 + JGI_V11_300058 1591214 1593450 4 + 1308 -0.858759134168325 scaffold_1_1591712_1591715_+
79 scaffold_1 1623666 1623685 + JGI_V11_205172 1623166 1624824 20 + 2240 -2.06499803662718 scaffold_1_1623666_1623685_+
82 scaffold_1 1640785 1640788 + JGI_V11_232248 1640457 1645124 4 + 946 -0.802896682984136 scaffold_1_1640785_1640788_+
83 scaffold_1 1647765 1647796 + JGI_V11_220051 1647295 1648712 32 + 2073 0.019292523499165 scaffold_1_1647765_1647796_+
84 scaffold_1 1651969 1651971 + JGI_V11_309681 1651887 1656457 3 + 2133 0.267504506517874 scaffold_1_1651969_1651971_+
92 scaffold_1 1685684 1685685 + JGI_V11_190018 1684467 1691275 2 + 301 0.580422409462433 scaffold_1_1685684_1685685_+
93 scaffold_1 1686579 1686580 + JGI_V11_190018 1684467 1691275 2 + 489 0.580422409462433 scaffold_1_1686579_1686580_+
94 scaffold_1 1688816 1688817 + JGI_V11_190018 1684467 1691275 2 + 639 0.580422409462433 scaffold_1_1688816_1688817_+
95 scaffold_1 1692967 1692984 + JGI_V11_232260 1692567 1696935 18 + 1834 -2.66517439617059 scaffold_1_1692967_1692984_+
96 scaffold_1 1732054 1732065 + JGI_V11_190022 1731977 1734336 12 + 1172 -1.24812050024562 scaffold_1_1732054_1732065_+
97 scaffold_1 1785032 1785033 + JGI_V11_299852 1784532 1786829 2 + 705 -0.289062507573152 scaffold_1_1785032_1785033_+
98 scaffold_1 1788842 1788847 + JGI_V11_232289 1788408 1789348 6 + 1287 -2.47197562104322 scaffold_1_1788842_1788847_+
99 scaffold_1 1836913 1836922 + JGI_V11_309707 1836414 1840477 10 + 1132 -0.709793400178262 scaffold_1_1836913_1836922_+
100 scaffold_1 1841825 1841858 + JGI_V11_190026 1841333 1844686 34 + 6309 -0.241652742284353 scaffold_1_1841825_1841858_+
102 scaffold_1 1868891 1868933 + JGI_V11_205195 1868239 1869661 43 + 4840 -0.426233874863126 scaffold_1_1868891_1868933_+
103 scaffold_1 1913528 1913529 + JGI_V11_309722 1913014 1916550 2 + 497 -2.44126178538976 scaffold_1_1913528_1913529_+
104 scaffold_1 1932683 1932727 + JGI_V11_309730 1932418 1936875 45 + 10209 0.280878080074622 scaffold_1_1932683_1932727_+
105 scaffold_1 1962893 1962898 + JGI_V11_309740 1962520 1965996 6 + 1080 0.110148312198289 scaffold_1_1962893_1962898_+
106 scaffold_1 1962918 1962936 + JGI_V11_309740 1962520 1965996 19 + 5035 0.110148312198289 scaffold_1_1962918_1962936_+
107 scaffold_1 1974468 1974469 + JGI_V11_299864 1973992 1975599 2 + 303 -1.19782717472192 scaffold_1_1974468_1974469_+
108 scaffold_1 1985555 1985613 + JGI_V11_309746 1985094 1988385 59 + 196685 -2.66699429284513 scaffold_1_1985555_1985613_+
109 scaffold_1 1986022 1986041 + JGI_V11_309746 1985094 1988385 20 + 3217 -2.66699429284513 scaffold_1_1986022_1986041_+
110 scaffold_1 1986076 1986078 + JGI_V11_309746 1985094 1988385 3 + 3593 -2.66699429284513 scaffold_1_1986076_1986078_+
111 scaffold_1 1986319 1986321 + JGI_V11_309746 1985094 1988385 3 + 1002 -2.66699429284513 scaffold_1_1986319_1986321_+
112 scaffold_1 1986618 1986622 + JGI_V11_309746 1985094 1988385 5 + 4380 -2.66699429284513 scaffold_1_1986618_1986622_+
113 scaffold_1 1986939 1986941 + JGI_V11_309746 1985094 1988385 3 + 1218 -2.66699429284513 scaffold_1_1986939_1986941_+
114 scaffold_1 1987269 1987270 + JGI_V11_309746 1985094 1988385 2 + 653 -2.66699429284513 scaffold_1_1987269_1987270_+
115 scaffold_1 1987435 1987436 + JGI_V11_309746 1985094 1988385 2 + 1059 -2.66699429284513 scaffold_1_1987435_1987436_+
116 scaffold_1 1987510 1987511 + JGI_V11_309746 1985094 1988385 2 + 607 -2.66699429284513 scaffold_1_1987510_1987511_+
117 scaffold_1 1988851 1988852 + JGI_V11_299867 1988407 1989816 2 + 661 0.0736548916642548 scaffold_1_1988851_1988852_+
119 scaffold_1 2024522 2024524 + JGI_V11_4167 2020343 2027876 3 + 2377 0.405072551994714 scaffold_1_2024522_2024524_+
120 scaffold_1 2034985 2035001 + JGI_V11_299870 2034500 2036400 17 + 3261 -0.890516399883093 scaffold_1_2034985_2035001_+
121 scaffold_1 2035025 2035027 + JGI_V11_299870 2034500 2036400 3 + 4236 -0.890516399883093 scaffold_1_2035025_2035027_+
122 scaffold_1 2045747 2045764 + JGI_V11_190063 2045335 2047562 18 + 4343 0.528730192372336 scaffold_1_2045747_2045764_+
124 scaffold_1 2087926 2087937 + JGI_V11_205240 2087471 2091749 12 + 1710 -0.752889983757663 scaffold_1_2087926_2087937_+
125 scaffold_1 2087967 2087972 + JGI_V11_205240 2087471 2091749 6 + 2658 -0.752889983757663 scaffold_1_2087967_2087972_+
126 scaffold_1 2092283 2092292 + JGI_V11_300090 2091777 2094906 10 + 2378 -0.656398781314936 scaffold_1_2092283_2092292_+
127 scaffold_1 2096700 2096701 + JGI_V11_300091 2096364 2101295 2 + 1013 1.08965193756548 scaffold_1_2096700_2096701_+
128 scaffold_1 2096735 2096746 + JGI_V11_300091 2096364 2101295 12 + 1556 1.08965193756548 scaffold_1_2096735_2096746_+
131 scaffold_1 2200277 2200278 + JGI_V11_300095 2200119 2203306 2 + 442 -0.801124139280509 scaffold_1_2200277_2200278_+
132 scaffold_1 2203887 2203888 + JGI_V11_299504 2203433 2205708 2 + 505 -1.17726827145775 scaffold_1_2203887_2203888_+
133 scaffold_1 2203910 2203953 + JGI_V11_299504 2203433 2205708 44 + 10626 -1.17726827145775 scaffold_1_2203910_2203953_+
134 scaffold_1 2240871 2240877 + JGI_V11_300097 2240373 2244772 7 + 829 -1.04440574803364 scaffold_1_2240871_2240877_+
135 scaffold_1 2240905 2240911 + JGI_V11_300097 2240373 2244772 7 + 4697 -1.04440574803364 scaffold_1_2240905_2240911_+
136 scaffold_1 2272313 2272314 + JGI_V11_300101 2271085 2275411 2 + 418 -0.062482682253199 scaffold_1_2272313_2272314_+
138 scaffold_1 2286542 2286573 + JGI_V11_220118 2286055 2287699 32 + 5364 0.706701838774507 scaffold_1_2286542_2286573_+
139 scaffold_1 2298519 2298523 + JGI_V11_309801 2298081 2299908 5 + 2412 0.946676970275321 scaffold_1_2298519_2298523_+
141 scaffold_1 2312445 2312458 + JGI_V11_300107 2311963 2315051 14 + 2596 -0.869786448427622 scaffold_1_2312445_2312458_+
147 scaffold_1 2412643 2412664 + JGI_V11_299901 2412079 2413543 22 + 22506 -1.87696370108527 scaffold_1_2412643_2412664_+
148 scaffold_1 2477230 2477237 + JGI_V11_299906 2476712 2477688 8 + 1676 -3.02317324352622 scaffold_1_2477230_2477237_+
151 scaffold_1 2570352 2570364 + JGI_V11_230099 2569912 2572468 13 + 1262 -1.59167948024893 scaffold_1_2570352_2570364_+
152 scaffold_1 2585736 2585751 + JGI_V11_300120 2585250 2587331 16 + 1536 0.0688842786167914 scaffold_1_2585736_2585751_+
153 scaffold_1 2585774 2585780 + JGI_V11_300120 2585250 2587331 7 + 3639 0.0688842786167914 scaffold_1_2585774_2585780_+
154 scaffold_1 2587942 2587946 + JGI_V11_232462 2587295 2587966 5 + 1811 0.750386916006206 scaffold_1_2587942_2587946_+
154.1 scaffold_1 2587942 2587946 + JGI_V11_232463 2587512 2588380 5 + 1811 -1.33021855947211 scaffold_1_2587942_2587946_+
155 scaffold_1 2637126 2637131 + JGI_V11_299913 2636628 2639110 6 + 25234 -1.78228995715271 scaffold_1_2637126_2637131_+
156 scaffold_1 2645855 2645860 + JGI_V11_94321 2645473 2649331 6 + 2172 -1.47966963503732 scaffold_1_2645855_2645860_+
158 scaffold_1 2689138 2689140 + JGI_V11_232495 2678308 2698131 3 + 1273 -0.0448385135904643 scaffold_1_2689138_2689140_+
159 scaffold_1 2689216 2689220 + JGI_V11_232495 2678308 2698131 5 + 977 -0.0448385135904643 scaffold_1_2689216_2689220_+
160 scaffold_1 2692184 2692185 + JGI_V11_232495 2678308 2698131 2 + 3013 -0.0448385135904643 scaffold_1_2692184_2692185_+
161 scaffold_1 2752511 2752534 + JGI_V11_205349 2752011 2754625 24 + 3004 -1.49847922769718 scaffold_1_2752511_2752534_+
162 scaffold_1 2761628 2761631 + JGI_V11_309890 2761128 2763220 4 + 1219 -1.36261310714754 scaffold_1_2761628_2761631_+
163 scaffold_1 2763296 2763336 + JGI_V11_94342 2762826 2763803 41 + 10428 -3.64076509647161 scaffold_1_2763296_2763336_+
164 scaffold_1 2796147 2796149 + JGI_V11_94360 2795976 2798892 3 + 496 1.09374188686796 scaffold_1_2796147_2796149_+
166 scaffold_1 2833758 2833759 + JGI_V11_232527 2831491 2834994 2 + 378 0.457890099131217 scaffold_1_2833758_2833759_+
167 scaffold_1 2836719 2836733 + JGI_V11_220196 2836220 2837976 15 + 29166 -1.87702174231131 scaffold_1_2836719_2836733_+
168 scaffold_1 2836768 2836769 + JGI_V11_220196 2836220 2837976 2 + 10606 -1.87702174231131 scaffold_1_2836768_2836769_+
170 scaffold_1 2857902 2857907 + JGI_V11_220200 2857405 2859009 6 + 908 -1.27083065429285 scaffold_1_2857902_2857907_+
171 scaffold_1 2860072 2860075 + JGI_V11_299926 2859571 2861042 4 + 5314 -0.717869371683096 scaffold_1_2860072_2860075_+
172 scaffold_1 2860242 2860243 + JGI_V11_299926 2859571 2861042 2 + 570 -0.717869371683096 scaffold_1_2860242_2860243_+
173 scaffold_1 2863991 2863998 + JGI_V11_220202 2863491 2865547 8 + 5820 -1.77829170825702 scaffold_1_2863991_2863998_+
174 scaffold_1 2864168 2864195 + JGI_V11_220202 2863491 2865547 28 + 2794 -1.77829170825702 scaffold_1_2864168_2864195_+
175 scaffold_1 2864249 2864291 + JGI_V11_220202 2863491 2865547 43 + 4058 -1.77829170825702 scaffold_1_2864249_2864291_+
176 scaffold_1 2876557 2876558 + JGI_V11_299931 2876045 2877974 2 + 747 -1.9683703211488 scaffold_1_2876557_2876558_+
177 scaffold_1 2923849 2923857 + JGI_V11_309932 2923320 2926579 9 + 1205 -1.89747713280591 scaffold_1_2923849_2923857_+
181 scaffold_1 3082225 3082234 + JGI_V11_300149 3081795 3085693 10 + 1541 -0.876372014959505 scaffold_1_3082225_3082234_+
182 scaffold_1 3082292 3082299 + JGI_V11_300149 3081795 3085693 8 + 3887 -0.876372014959505 scaffold_1_3082292_3082299_+
183 scaffold_1 3088844 3088858 + JGI_V11_309949 3088361 3090866 15 + 2541 -1.44808346981945 scaffold_1_3088844_3088858_+
184 scaffold_1 3092768 3092779 + JGI_V11_220221 3092382 3094490 12 + 929 0.949065778367369 scaffold_1_3092768_3092779_+
185 scaffold_1 3092809 3092810 + JGI_V11_220221 3092382 3094490 2 + 1722 0.949065778367369 scaffold_1_3092809_3092810_+
189 scaffold_1 3124446 3124486 + JGI_V11_300155 3123983 3127545 41 + 5552 -1.23500250564287 scaffold_1_3124446_3124486_+
194 scaffold_1 3216770 3216807 + JGI_V11_309973 3216295 3221631 38 + 3024 0.282929854348498 scaffold_1_3216770_3216807_+
195 scaffold_1 3216836 3216874 + JGI_V11_309973 3216295 3221631 39 + 7161 0.282929854348498 scaffold_1_3216836_3216874_+
198 scaffold_1 3272895 3272932 + JGI_V11_299952 3272395 3274668 38 + 7224 -0.320847751639949 scaffold_1_3272895_3272932_+
199 scaffold_1 3286041 3286042 + JGI_V11_300164 3283269 3289834 2 + 449 -0.815384292078702 scaffold_1_3286041_3286042_+
201 scaffold_1 3768993 3769056 + JGI_V11_300165 3768508 3772049 64 + 14250 0.953753914811162 scaffold_1_3768993_3769056_+
202 scaffold_1 3771116 3771117 + JGI_V11_300165 3768508 3772049 2 + 569 0.953753914811162 scaffold_1_3771116_3771117_+
203 scaffold_1 3773699 3773808 + JGI_V11_299958 3773210 3776413 110 + 27909 -0.137108799719759 scaffold_1_3773699_3773808_+
204 scaffold_1 3776613 3776651 + JGI_V11_299959 3776088 3777972 39 + 6292 -0.421785438246244 scaffold_1_3776613_3776651_+
209 scaffold_1 3781793 3781794 + JGI_V11_232690 3781307 3782267 2 + 471 0.305415294506816 scaffold_1_3781793_3781794_+
210 scaffold_1 3781969 3781970 + JGI_V11_232690 3781307 3782267 2 + 443 0.305415294506816 scaffold_1_3781969_3781970_+
211 scaffold_1 3782844 3782850 + JGI_V11_232691 3782571 3800720 7 + 1748 0.351104169117877 scaffold_1_3782844_3782850_+
213 scaffold_1 3878267 3878297 + JGI_V11_299963 3877787 3879216 31 + 2783 -0.973498421232825 scaffold_1_3878267_3878297_+
214 scaffold_1 3879603 3879610 + JGI_V11_126671 3879243 3880663 8 + 1602 -1.5494219861999 scaffold_1_3879603_3879610_+
215 scaffold_1 3900105 3900131 + JGI_V11_299967 3899615 3901951 27 + 3132 0.0556208912958642 scaffold_1_3900105_3900131_+
216 scaffold_1 3908091 3908097 + JGI_V11_310030 3907784 3911044 7 + 1705 0.794046644917676 scaffold_1_3908091_3908097_+
217 scaffold_1 3917621 3917622 + JGI_V11_299971 3917117 3919232 2 + 2313 -1.07686282902191 scaffold_1_3917621_3917622_+
218 scaffold_1 3922779 3922797 + JGI_V11_300177 3922296 3926894 19 + 3226 1.35268137802653 scaffold_1_3922779_3922797_+
219 scaffold_1 3927168 3927212 + JGI_V11_39424 3926717 3929133 45 + 7373 0.173810501473228 scaffold_1_3927168_3927212_+
222 scaffold_1 3973877 3973919 + JGI_V11_299973 3973384 3975883 43 + 18163 -0.083167865670704 scaffold_1_3973877_3973919_+
223 scaffold_1 3977751 3977774 + JGI_V11_230130 3977258 3979331 24 + 4979 -0.948636748589253 scaffold_1_3977751_3977774_+
225 scaffold_1 4131150 4131167 + JGI_V11_299978 4130612 4132970 18 + 1561 0.643873395331629 scaffold_1_4131150_4131167_+
227 scaffold_1 4139814 4139815 + JGI_V11_40070 4139702 4146087 2 + 355 0.717704263180939 scaffold_1_4139814_4139815_+
228 scaffold_1 4139859 4139860 + JGI_V11_40070 4139702 4146087 2 + 784 0.717704263180939 scaffold_1_4139859_4139860_+
231 scaffold_1 263033 263044 - JGI_V11_39582 261864 263360 12 - 29723 -1.02312135010847 scaffold_1_263033_263044_-
232 scaffold_1 324168 324171 - JGI_V11_299994 321534 324397 4 - 2060 0.83943254089988 scaffold_1_324168_324171_-
233 scaffold_1 328152 328184 - JGI_V11_309508 324883 328582 33 - 3509 0.342004301052893 scaffold_1_328152_328184_-
234 scaffold_1 335509 335515 - JGI_V11_189816 332697 336040 7 - 1489 -1.41743777089531 scaffold_1_335509_335515_-
235 scaffold_1 342707 342738 - JGI_V11_186885 341545 343279 32 - 3481 0.535664004887245 scaffold_1_342707_342738_-
235.1 scaffold_1 342707 342738 - JGI_V11_309511 341902 343279 32 - 3481 -2.34710166628142 scaffold_1_342707_342738_-
236 scaffold_1 347446 347448 - JGI_V11_299998 344804 347957 3 - 1110 -2.2750360516993 scaffold_1_347446_347448_-
238 scaffold_1 384550 384551 - JGI_V11_299999 381913 385053 2 - 228 -2.05078224170329 scaffold_1_384550_384551_-
240 scaffold_1 402294 402304 - JGI_V11_299795 400418 402808 11 - 2657 -1.33564327519516 scaffold_1_402294_402304_-
241 scaffold_1 405500 405501 - JGI_V11_299797 404393 405843 2 - 1010 -1.22648761688085 scaffold_1_405500_405501_-
244 scaffold_1 440347 440348 - JGI_V11_230069 439363 440969 2 - 887 -2.50595586526626 scaffold_1_440347_440348_-
247 scaffold_1 594534 594549 - JGI_V11_300013 587534 597454 16 - 3802 0.968910293681087 scaffold_1_594534_594549_-
248 scaffold_1 597099 597100 - JGI_V11_300013 587534 597454 2 - 1411 0.968910293681087 scaffold_1_597099_597100_-
249 scaffold_1 605738 605739 - JGI_V11_299651 602522 610694 2 - 2657 -0.930497391575028 scaffold_1_605738_605739_-
250 scaffold_1 605762 605820 - JGI_V11_299651 602522 610694 59 - 11388 -0.930497391575028 scaffold_1_605762_605820_-
251 scaffold_1 612148 612151 - JGI_V11_299806 611361 612651 4 - 2267 -1.46839796305483 scaffold_1_612148_612151_-
252 scaffold_1 612172 612173 - JGI_V11_299806 611361 612651 2 - 764 -1.46839796305483 scaffold_1_612172_612173_-
254 scaffold_1 651671 651695 - JGI_V11_299810 647888 652187 25 - 3395 -0.00473226820479278 scaffold_1_651671_651695_-
255 scaffold_1 676510 676531 - JGI_V11_232072 668387 677697 22 - 3020 -1.2408645028883 scaffold_1_676510_676531_-
256 scaffold_1 676776 676780 - JGI_V11_232072 668387 677697 5 - 1044 -1.2408645028883 scaffold_1_676776_676780_-
257 scaffold_1 676837 676844 - JGI_V11_232072 668387 677697 8 - 1930 -1.2408645028883 scaffold_1_676837_676844_-
258 scaffold_1 683391 683416 - JGI_V11_300021 678391 683770 26 - 2895 0.641608376984746 scaffold_1_683391_683416_-
259 scaffold_1 688155 688156 - JGI_V11_232076 687527 690418 2 - 335 -1.7341147452725 scaffold_1_688155_688156_-
261 scaffold_1 695975 695979 - JGI_V11_189897 693110 696479 5 - 7151 -1.07265108315046 scaffold_1_695975_695979_-
262 scaffold_1 698533 698534 - JGI_V11_39671 698003 702513 2 - 784 0.172294871433236 scaffold_1_698533_698534_-
266 scaffold_1 854064 854102 - JGI_V11_299813 853136 854582 39 - 12199 -1.82862559615904 scaffold_1_854064_854102_-
267 scaffold_1 919465 919480 - JGI_V11_300028 912572 919964 16 - 3541 -1.36252237639537 scaffold_1_919465_919480_-
268 scaffold_1 939493 939527 - JGI_V11_40066 938533 939526 35 - 4125 0.101428984225928 scaffold_1_939493_939527_-
269 scaffold_1 982984 982985 - JGI_V11_299824 982231 983703 2 - 453 0.633537636432442 scaffold_1_982984_982985_-
270 scaffold_1 986102 986107 - JGI_V11_232128 985217 986367 6 - 1338 -0.810843785935034 scaffold_1_986102_986107_-
271 scaffold_1 1141082 1141100 - JGI_V11_189944 1138863 1141599 19 - 2558 0.2313680149217 scaffold_1_1141082_1141100_-
272 scaffold_1 1247361 1247364 - JGI_V11_39928 1245732 1247749 4 - 2757 1.34626357746754 scaffold_1_1247361_1247364_-
273 scaffold_1 1247389 1247442 - JGI_V11_39928 1245732 1247749 54 - 4790 1.34626357746754 scaffold_1_1247389_1247442_-
274 scaffold_1 1258714 1258734 - JGI_V11_299831 1255840 1259246 21 - 3625 0.625640099378712 scaffold_1_1258714_1258734_-
276 scaffold_1 1434712 1434733 - JGI_V11_300045 1432353 1435213 22 - 2379 -1.35542250384736 scaffold_1_1434712_1434733_-
277 scaffold_1 1440448 1440449 - JGI_V11_309643 1437223 1440907 2 - 1093 -2.55368663902106 scaffold_1_1440448_1440449_-
278 scaffold_1 1457827 1457830 - JGI_V11_94100 1456713 1457969 4 - 3856 -1.90011940276492 scaffold_1_1457827_1457830_-
280 scaffold_1 1499725 1499734 - JGI_V11_39456 1498743 1500152 10 - 1683 0.106154760054681 scaffold_1_1499725_1499734_-
281 scaffold_1 1514089 1514117 - JGI_V11_186919 1508708 1514619 29 - 5997 -3.25287970101168 scaffold_1_1514089_1514117_-
283 scaffold_1 1549325 1549326 - JGI_V11_309661 1544841 1549707 2 - 1335 0.260250240391843 scaffold_1_1549325_1549326_-
284 scaffold_1 1549348 1549349 - JGI_V11_309661 1544841 1549707 2 - 730 0.260250240391843 scaffold_1_1549348_1549349_-
