mat_females_1 mat_females_2 mat_females_3 mat_males_1 mat_males_2 pE_females_1 pE_females_2 pE_females_3 logFC logCPM PValue FDR chr start end strand de
scaffold_1_424111_424137_+ 7.99837634162272 10.0482017216011 8.91715721559666 1.38777878078145e-17 1.38777878078145e-17 6.60735819010155 9.1795138332125 0.0713767921224786 6.23516183348164 3.10697352419009 4.9242107350733e-06 3.13199487290765e-05 scaffold_1 424111 424137 + 1
scaffold_1_442734_442760_+ 32.7291391793262 31.3091342544522 27.5763446293128 32.7012377901301 27.3937879664872 35.3527915830599 31.6196086032132 34.9559253029943 0.0235847603786726 5.27460886544859 1 1 scaffold_1 442734 442760 + 0
scaffold_1_517723_517732_+ 12.772176070111 9.28512468150637 18.1358460885281 30.4093106489306 47.5128437034133 193.692200128145 178.127102028395 216.552286089109 -1.53169306310884 6.68203262820309 1.83095656793392e-05 0.000101605617064148 scaffold_1 517723 517732 + 1
scaffold_1_532568_532577_+ 43.2919434811143 46.3694590982911 52.5861077021199 62.0974425770924 46.280220020045 27.6358968964122 20.1055071706683 24.4191010768532 -0.192204704325188 5.61088935924524 0.533607105030592 0.687206399694714 scaffold_1 532568 532577 + 0
scaffold_1_560841_560913_+ 3889.5659533329 3349.13448598449 3478.97015580295 5479.71763149259 5119.10954890363 3425.71334287886 2970.2437121898 5055.65223226246 -0.568858673955856 12.2018798447189 0.0144286643085926 0.0379264555122349 scaffold_1 560841 560913 + 0
scaffold_1_561752_561822_+ 37.9788233137553 27.7378480718527 31.4734246888481 68.3616609334862 73.9063998273688 72.9940958785892 53.9505947503505 13.3017930610076 -1.13161975893841 5.82260997464048 0.000163930315149259 0.000718597675060227 scaffold_1 561752 561822 + 1
scaffold_1_562554_562716_+ 989.376257765721 809.438897140732 676.477028449709 1526.9699397093 1687.28509910823 943.934740340469 684.578159815605 793.692327235505 -0.961732368306961 10.1895611606488 4.1193418737593e-05 0.000208692827365627 scaffold_1 562554 562716 + 1
scaffold_1_562906_562947_+ 15.0602785917807 12.999550142824 9.27402804909163 14.5583423556977 23.166156470068 8.71598616853364 9.98406444843536 8.71121573164888 -0.593932306688611 4.08940500077939 0.144887372072274 0.259797166721599 scaffold_1 562906 562947 + 0
scaffold_1_563101_563167_+ 281.044992676405 201.569696078693 168.938115464733 493.198796743488 501.812547681424 240.296301698826 184.364416694748 171.25372295904 -1.19533836848566 8.34118210238741 8.0842490380626e-07 6.14342596676056e-06 scaffold_1 563101 563167 + 1
scaffold_1_563319_563394_+ 87.9455342593079 59.7736100626543 54.696418034404 135.372416254512 134.856570427837 74.9047216971482 70.9381199917112 32.1004331493763 -1.00053055248139 6.5797020873326 0.000180611751511032 0.000786305885265858 scaffold_1 563319 563394 + 1
scaffold_1_563543_563715_+ 99.5284345863019 68.9304013346979 63.1921455276171 141.356393626605 175.375044924749 61.8496258981564 68.3816778206715 64.2085578560519 -1.03504713163751 6.76677276940539 7.90881156858676e-05 0.000379526051851644 scaffold_1 563543 563715 + 1
scaffold_1_563871_564079_+ 111.917836842332 81.5522956759098 123.974396476382 180.530793152985 210.570333732425 81.3680578199723 68.8164444609642 87.0674858404821 -0.885317435820367 7.10985425339868 0.000541643974748525 0.00210597960857741 scaffold_1 563871 564079 + 1
scaffold_1_599179_599238_+ 300.151146182407 207.502540472611 388.706973049146 224.865500118683 264.484165330046 636.301408454472 475.237181456419 436.022127113411 0.288056546316592 8.72615049415037 0.256532603324634 0.401024178639047 scaffold_1 599179 599238 + 0
scaffold_1_599470_599495_+ 0 0 4.83769797584229 0.0204927371303791 5.46334945873207 7.57266628040686 6.26268498761286 10.3058020591499 -0.766277246314295 2.82627143200091 0.506390152200271 0.662524675687117 scaffold_1 599470 599495 + 0
scaffold_1_599729_599732_+ 13.117715073155 9.46257991060224 11.6717322763583 12.3024780183973 17.7819081601304 29.9789743250358 23.6315084033947 16.7720378074331 -0.393146540236368 4.42372606407053 0.38557617422201 0.541860637883347 scaffold_1 599729 599732 + 0
scaffold_1_601270_601305_+ 23.542259051343 14.4813093299425 40.2710152332268 18.5300151269808 31.3085707134967 33.5036047713701 47.403459759022 34.4735699285436 0.0655931631174655 5.21578871372963 0.873942797296718 0.956504304405641 scaffold_1 601270 601305 + 0
scaffold_1_642134_642148_+ 89.6009649525388 106.947862053882 104.553364507916 51.3444429878029 57.0026448040458 113.688396121478 75.4563330160383 82.7672166899984 0.888406097574773 6.64947042990621 0.00218244529731491 0.00735645165923791 scaffold_1 642134 642148 + 1
scaffold_1_645397_645444_+ 20.4159500016196 22.0843840149476 15.6216298269468 18.9764749990224 14.2912276257347 26.6839104678264 23.5217350910236 14.3779102643274 0.219053382249703 4.6267877803495 0.612360075321406 0.757306612460272 scaffold_1 645397 645444 + 0
scaffold_1_704266_704330_+ 141.523113306895 145.4488141184 163.727835456373 104.493716999057 101.638384239251 148.511262025271 149.154926088782 115.025856052556 0.543164900680997 7.28677221372042 0.0447490097791926 0.0995367336351067 scaffold_1 704266 704330 + 0
scaffold_1_704480_704529_+ 10.1144402203897 10.8981838044119 0 0.0208858406872403 5.57715881192215 0.0283057482017822 5.33440578175589 0.0270770046071029 1.2726556324387 2.81138365104738 0.0859665251222932 0.171874694811423 scaffold_1 704480 704529 + 0
scaffold_1_901912_901974_+ 20.0193362635508 22.0439324091657 20.4969848659506 14.9070860711708 14.0355468042245 11.7008350270523 14.0133525927697 11.8609606104147 0.524171558258637 4.39293997516316 0.211591844512074 0.346962923134695 scaffold_1 901912 901974 + 0
scaffold_1_919853_919867_+ 38.6834253000072 42.6914924523404 43.878174652238 72.3021614436589 70.8258785986478 46.0981803370207 43.8992592384066 40.5611401566093 -0.775421986052291 5.8946035697141 0.00842583901613185 0.0240283373493067 scaffold_1 919853 919867 + 0
scaffold_1_932304_932340_+ 10.1720938210795 10.4090741378072 8.37139296582091 10.5495909577406 9.21148881908317 13.5197803002014 12.1200083081815 15.8693954052365 -0.0321645593023314 3.92520156969027 1 1 scaffold_1 932304 932340 + 0
scaffold_1_934122_934162_+ 15.958485608944 18.0802436357928 17.4208991715769 7.46411767591333 0.0357128322861202 7.59527847238628 10.0775523836336 9.24901578380859 2.14835682979855 3.89531311865046 0.000118107595351814 0.000540777717386477 scaffold_1 934122 934162 + 1
scaffold_1_957583_957584_+ 5.94050369341327 5.64771300494764 8.71890449754308 7.16231456124266 13.1735515556393 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 -0.577043821350966 3.0403590423482 0.300692899401821 0.45196406596436 scaffold_1 957583 957584 + 0
scaffold_1_978321_978344_+ 7.03979804231492 0 7.02166454280229 7.07116409532917 0.0340194879235418 12.7842264061378 9.90727583462362 10.7449687907205 0.358738784302718 3.32377186358022 0.719441043763903 0.844990559244271 scaffold_1 978321 978344 + 0
scaffold_1_986174_986322_+ 202.361563076464 228.786806533759 166.587617782473 318.462357393277 265.27935583876 310.092512075525 347.117367355975 273.550378181872 -0.55043909975284 8.25501816358645 0.0255217248163032 0.0618927658500632 scaffold_1 986174 986322 + 0
scaffold_1_989274_989324_+ 51.1973667879521 55.1813874095144 56.9221808772913 32.5898823454632 32.0810912713057 40.2984236111633 44.0727174385245 36.6875699821222 0.749480030197805 5.71923633007374 0.0198694087972199 0.0499827543928089 scaffold_1 989274 989324 + 0
scaffold_1_995581_995764_+ 414.181069500689 329.173544704764 391.352602119573 663.802418375963 689.425673088528 333.571079728741 399.647970829944 608.122403688096 -0.838842457959794 9.10932887965885 0.000441475132913107 0.00174855747897867 scaffold_1 995581 995764 + 1
scaffold_1_998645_998649_+ 8.44407618219888 9.41784002612053 8.30726772281144 9.48866168067281 7.37868065542139 8.0305660091335 9.31185748107004 8.15435107407361 0.0493105410451575 3.60323684132434 0.989736965143801 1 scaffold_1 998645 998649 + 0
scaffold_1_1000904_1001064_+ 824.449597789369 840.885300121012 858.524626393996 764.772990936473 920.681981690298 876.23687727893 965.839994554984 786.745015543305 -0.00244222906843709 9.94395448525138 0.985266820551873 1 scaffold_1 1000904 1001064 + 0
scaffold_1_1001249_1001290_+ 108.392610722288 111.998506044926 101.729176554872 111.021261245049 146.963182119608 112.64391020073 150.803808419484 76.1023761702289 -0.264143528619611 7.07045271790046 0.316096609039535 0.469214543709853 scaffold_1 1001249 1001290 + 0
scaffold_1_1002385_1002452_+ 0 5.77069934247052 5.01855331177515 8.62186563489295 16.4950725954739 5.62989859910438 7.00590158488393 5.93250459350154 -1.78295654485742 3.31938083603551 0.00138910214520692 0.00490132610694458 scaffold_1 1002385 1002452 + 1
scaffold_1_1003940_1003966_+ 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 6.62370651226547 10.5461329807473 0.0272786958961302 0.0103488197126514 5.24969961781943 -6.16772694746361 2.43480685202867 1.09238734049729e-06 7.99696641860815e-06 scaffold_1 1003940 1003966 + 1
scaffold_1_1004706_1004728_+ 31.46191202587 26.7990452000166 27.8695954579294 51.9015470484373 68.6877722479649 21.3868373357657 31.8565756833765 26.2804621208947 -1.06685318080493 5.43632572548175 0.000490726447722791 0.00192047172066148 scaffold_1 1004706 1004728 + 1
scaffold_1_1006322_1006326_+ 6.2301421783317 0 7.82132009932097 0.0255057643238561 6.9431631066203 6.73890498034605 5.768281589158 5.56755804009072 0.392211520086268 2.97638878235773 0.719441043763903 0.844990559244271 scaffold_1 1006322 1006326 + 0
scaffold_1_1007278_1007367_+ 14.9097681402763 7.8386232294621 8.17984044269992 17.6003090683423 28.5587499545473 8.47257732999851 14.5948420163236 17.8527199142926 -1.1528933128114 4.25653513104672 0.00591946044700255 0.0177601254366019 scaffold_1 1007278 1007367 + 0
scaffold_1_1008363_1008547_+ 293.711252807231 216.285998454611 290.140326695494 351.327029010919 541.68415275728 229.991544860952 264.557334356952 316.387634058337 -0.743119429215259 8.49970993088478 0.00217867086545611 0.0073472978038588 scaffold_1 1008363 1008547 + 1
scaffold_1_1111413_1111417_+ 6.23761478993266 4.88672045771974 8.72406324367095 9.12402864973092 12.0507819917516 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 -0.667607148038976 3.04847579914792 0.190757337458022 0.320576237029032 scaffold_1 1111413 1111417 + 0
scaffold_1_1142701_1142721_+ 9.84344539532588 10.7489933294961 12.3879368460506 22.5859023529454 27.3358295179746 11.5788818750962 12.1054097805223 12.5744312008395 -1.17320595170801 4.27075632840347 0.00372106312356594 0.0118670797955753 scaffold_1 1142701 1142721 + 0
scaffold_1_1180791_1180794_+ 17.0349592701708 13.1848280512685 14.4004485428365 25.7800793251932 10.6738988683783 8.49306510075231 7.22432105744396 11.7782165656131 -0.292088275333842 4.16672710900886 0.544825096407369 0.697855843612105 scaffold_1 1180791 1180794 + 0
scaffold_1_1253015_1253051_+ 11.3490026205082 12.7580808518094 11.9204453773633 9.48314171079101 6.58040912476716 10.955461525804 8.940659200764 8.53820102798207 0.574007804023502 3.80113701456923 0.325858148281415 0.480111824760206 scaffold_1 1253015 1253051 + 0
scaffold_1_1269185_1269192_+ 69.639512985965 88.5632041989643 53.0247439813003 61.695523133969 95.5444171626212 72.3481171175851 58.0684236690869 14.4126686384982 -0.158397214555953 6.25191920972874 0.585252326689303 0.733041136860661 scaffold_1 1269185 1269192 + 0
scaffold_1_1269405_1269415_+ 10.9205700482166 9.40510166073209 6.97719549911343 9.53667738097763 15.70453970032 13.660167563507 0.0248277604467639 0.0627325749750351 -0.464636950866631 3.57013292679124 0.349045944801098 0.504304037444606 scaffold_1 1269405 1269415 + 0
scaffold_1_1327886_1327899_+ 36.4575897899196 37.248587332544 35.3345643280678 56.052971265555 48.3193436480502 21.1270316049279 26.022288634622 25.8780844814369 -0.520122971713087 5.44316039777084 0.0946341340112436 0.185426089404751 scaffold_1 1327886 1327899 + 0
scaffold_1_1359614_1359645_+ 6.28304232665478 7.28211216102411 9.22287004760526 6.74012457198544 8.03968905019477 0.0591462264020899 6.41098464098439 5.69349825861519 0.0406891282396197 3.25084593646616 0.98848261468702 1 scaffold_1 1359614 1359645 + 0
scaffold_1_1389417_1389645_+ 102.53011551803 110.766024000392 103.817475935922 32.3330139215435 33.5663607767845 52.5132389907771 66.4455392387163 60.1273272092329 1.67834548758847 6.38583604814266 6.14117392421971e-08 5.83354235730684e-07 scaffold_1 1389417 1389645 + 1
scaffold_1_1394059_1394082_+ 51.5951114659256 56.8614995635581 46.2672905346499 44.0389237473165 35.4526166349775 48.2530529810415 41.8006521602279 42.7616024480041 0.375042814130944 5.78543819263648 0.236494171016165 0.377286564853143 scaffold_1 1394059 1394082 + 0
scaffold_1_1394632_1394660_+ 9.1411362088486 8.30968870867755 4.99324128880757 1.38777878078145e-17 1.38777878078145e-17 0.0308289198051742 0.0116932795664972 5.97348470043461 5.97435134181872 2.71473476448671 4.09186478246433e-05 0.000207610658095836 scaffold_1 1394632 1394660 + 1
scaffold_1_1403266_1403272_+ 7.38802860188476 7.16376011960822 7.37621978818863 13.1716588832053 9.11674824091194 9.97439394158464 10.0910455394746 11.088632491886 -0.599384966551908 3.7055782922002 0.278391305529142 0.426502012282641 scaffold_1 1403266 1403272 + 0
scaffold_1_1478716_1478781_+ 49.4758897417493 37.4320029216092 58.7493380239348 114.087654959698 176.806556617712 32.6267226850378 28.078162213671 36.9350167780303 -1.58056742952348 6.30073931112891 6.93569075250943e-09 8.03482809246911e-08 scaffold_1 1478716 1478781 + 1
scaffold_1_1515529_1515540_+ 42.4234814290436 43.9354273756362 41.4266313232463 28.6179173184268 25.0859804273742 146.148070019855 128.079315196305 149.992773005303 0.66354803755818 6.47156227077812 0.0548918660447939 0.118249179592582 scaffold_1 1515529 1515540 + 0
scaffold_1_1588593_1588638_+ 51.2173668547922 38.0071760552249 69.4705666072523 26.8504516465731 44.1731024275526 80.7185573297247 118.63018603592 150.539944065161 0.573360490032043 6.41326205464821 0.0786507765901982 0.15964334180223 scaffold_1 1588593 1588638 + 0
scaffold_1_1591711_1591715_+ 11.8792428568065 10.2301903095529 11.7630799694694 12.035539144643 16.8666826891995 22.3762197586677 23.547224352084 29.3428432770606 -0.351463809051713 4.45402328624301 0.452885101860797 0.61033999368032 scaffold_1 1591711 1591715 + 0
scaffold_1_1623655_1623687_+ 32.1662510041877 36.1690758918418 32.5002940362884 17.7946353928998 14.1694651064176 31.51265082724 28.8071719442045 20.4629704817602 1.06714772448154 5.05184441453294 0.00455820111937214 0.014130993736567 scaffold_1 1623655 1623687 + 0
scaffold_1_1640782_1640792_+ 15.1936357358802 17.4885593877702 14.207563533051 6.73579985537025 7.35586611252563 10.5988974399025 12.0210331135336 17.4840486278486 1.13756344304752 4.08066984573999 0.0244526006525017 0.0595268545169554 scaffold_1 1640782 1640792 + 0
scaffold_1_1647762_1647798_+ 38.7334149757776 38.3413700036456 38.5257458912447 0.0236023522554409 6.37393011130392 17.8822007850903 20.6405896248896 17.9682312298389 3.53927630100836 4.82841953457577 2.28544806705161e-12 4.7787921287036e-11 scaffold_1 1647762 1647798 + 1
scaffold_1_1651966_1651980_+ 14.9005608605029 20.033767736159 12.188666908658 49.3808206221128 24.3767672038669 45.466160705467 43.1508103040822 51.7410489530123 -1.2248132732839 5.30011840442471 0.000469930369256499 0.00184976289181804 scaffold_1 1651966 1651980 + 1
scaffold_1_1657512_1657520_+ 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 15.8493935821554 18.4940570327924 14.6781812192313 15.3736564984927 16.8149899476247 -7.15838142962953 3.7626688288692 2.23222110325326e-12 4.67710030749545e-11 scaffold_1 1657512 1657520 + 1
scaffold_1_1659771_1659812_+ 5.96093444513718 6.01050890399229 0 17.0329779446973 18.9592513351547 6.1064323049474 8.53989157208545 7.58632281127582 -2.15147913587007 3.60808735556443 1.83255585213626e-05 0.000101638977354595 scaffold_1 1659771 1659812 + 1
scaffold_1_1659976_1660009_+ 11.668809720364 9.85697321975016 11.4190058196988 22.4142216560312 18.7660571777231 10.0616441915003 9.79641051597237 8.35590152674227 -0.898933402021868 4.0836924933668 0.0349991566822938 0.0807239892402713 scaffold_1 1659976 1660009 + 0
scaffold_1_1662832_1662838_+ 20.7746330934976 20.6370128062917 8.84628506271635 93.6781626379489 44.4195125231847 68.2989090550277 45.0052556664707 54.4138550189164 -2.0355190089817 5.72466201803957 2.93368950439549e-10 4.38031674827849e-09 scaffold_1 1662832 1662838 + 1
scaffold_1_1665636_1665642_+ 5.30162568827061 5.28624155772789 7.6791460697606 1.38777878078145e-17 1.38777878078145e-17 0.0335128630896369 6.38212079591651 0.0320574088724104 5.68210575151216 2.58493755903918 0.000234895012881365 0.000990449654729167 scaffold_1 1665636 1665642 + 1
scaffold_1_1668800_1668804_+ 5.87294293163271 0 7.29951830683822 20.0382050573287 16.3531222100162 6.06824261151683 5.76723516502835 5.92547698025537 -2.04105481830092 3.56094329227882 3.74513821050929e-05 0.000195172683713491 scaffold_1 1668800 1668804 + 1
scaffold_1_1674365_1674380_+ 45.0487235474768 38.2972620888529 39.7078905220239 53.2884041425438 47.6217942812289 60.2587825075322 67.8053854826368 64.7520566383199 -0.297803967856142 5.95345309915759 0.341952345293346 0.496450061608517 scaffold_1 1674365 1674380 + 0
scaffold_1_1685675_1685714_+ 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 8.47066865594376 12.5012443855699 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 -6.45282883245139 2.38006905224855 5.02107850275888e-08 4.85561656159484e-07 scaffold_1 1685675 1685714 + 1
scaffold_1_1686579_1686580_+ 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 10.2821660509927 8.41113114330356 6.30933015626156 7.01024676291823 6.48377075915797 -6.28955150621163 2.92980387914546 2.31134185105112e-07 1.95322772358951e-06 scaffold_1 1686579 1686580 + 1
scaffold_1_1688814_1688832_+ 5.06593232386347 7.05752951098313 7.92530353663427 12.6753812051475 13.7907360658266 5.77053873872811 8.06419372232453 8.30650805970134 -0.971299225516725 3.59661954386981 0.062540665365526 0.131716979403754 scaffold_1 1688814 1688832 + 0
scaffold_1_1692946_1693004_+ 26.6846617705234 22.4556693913586 25.4067160637922 27.828674556376 24.8530267743913 23.1168078665655 20.5730618879531 24.0283457507065 -0.0834695746041997 4.92249341077969 0.87590684339211 0.957306893279099 scaffold_1 1692946 1693004 + 0
scaffold_1_1732025_1732066_+ 10.3163161661888 11.723172807565 15.5175258015838 12.1728863207539 18.1232804658803 15.5375556719923 12.8838177729593 13.7031359755862 -0.271663325201112 4.17421989745375 0.605748880713526 0.75168667466559 scaffold_1 1732025 1732066 + 0
scaffold_1_1771278_1771320_+ 7.46145847945897 7.4198778417326 7.02341219954593 5.23781479616958 0.025864254095463 5.68579041789082 0.0232430527246374 7.13395526364888 1.42228335152013 3.02569065001123 0.0668019164510443 0.138627249892192 scaffold_1 1771278 1771320 + 0
scaffold_1_1785022_1785036_+ 8.680915448465 7.39247034014077 8.32360300071512 12.6478053808604 9.22713027373204 8.50957578079143 9.9910372815627 11.0756402336564 -0.421313223842545 3.716541653113 0.476723200669979 0.634157067592736 scaffold_1 1785022 1785036 + 0
scaffold_1_1788840_1788853_+ 18.866593095201 26.7750752929659 27.0826172923332 10.4213478633423 9.66665387134012 18.8644741729033 17.3903725774932 16.4930232338936 1.26172418456877 4.5482334040797 0.00358120506799019 0.0114641342996995 scaffold_1 1788840 1788853 + 0
scaffold_1_1836906_1836939_+ 21.2150613443313 23.77229816885 23.0867599532533 13.3020554466842 9.00356244716546 20.6729080174245 16.538115084021 17.7768888833681 1.01704737851079 4.54347049695797 0.0172713136338431 0.0444237905363538 scaffold_1 1836906 1836939 + 0
scaffold_1_1841823_1841867_+ 79.6199500385646 80.817651906197 72.2858029770233 90.6184663329295 78.6732476717834 80.0916165568942 101.302109056872 84.4032036046467 -0.125540122714547 6.61754931462673 0.649128785555461 0.787114302059394 scaffold_1 1841823 1841867 + 0
scaffold_1_1858999_1859033_+ 21.7886648727623 24.6511711649718 22.6421222132977 29.1862392499454 35.3787214467632 29.387547866505 26.6159604840571 26.2954920346373 -0.484465982879497 5.05414126920111 0.174707992583732 0.301125844360214 scaffold_1 1858999 1859033 + 0
scaffold_1_1868879_1868942_+ 66.7680759790381 75.6539677168877 67.9378472825604 43.9449124108174 45.7509031290618 47.5192971957825 53.0988987507189 44.2723318491972 0.643700399831744 6.05549075181647 0.0354985797741676 0.0814882862579686 scaffold_1 1868879 1868942 + 0
scaffold_1_1913199_1913260_+ 4.82057552213486 10.9918858610744 7.45191356724191 1.38777878078145e-17 1.38777878078145e-17 0.0630425220623554 6.41494498557613 6.60040051950395 6.02532895493979 2.93862757231503 2.66365264002622e-05 0.000141936027385594 scaffold_1 1913199 1913260 + 1
scaffold_1_1913528_1913530_+ 8.25889468475912 6.89956961679092 7.54540018372412 0.0197026960846964 5.23574231407992 1.38777878078145e-17 1.38777878078145e-17 1.38777878078145e-17 1.48277135622855 2.70170365593317 0.0517075431629053 0.112364044393484 scaffold_1 1913528 1913530 + 0
scaffold_1_1932666_1932731_+ 140.628213426314 147.110036319953 145.632204475546 137.191172675945 119.487929708971 111.200732367043 116.047462247084 127.225857112418 0.170569646742824 7.25312493740887 0.534447059705179 0.688024577620459 scaffold_1 1932666 1932731 + 0
scaffold_1_1947973_1947979_+ 4.93492030579258 0 6.69742860996452 7.11908372680629 5.87755859607315 6.22912628499439 5.46007847440917 0.0547374322829892 -0.746678836551455 2.90349906376958 0.342282203299011 0.496504227378039 scaffold_1 1947973 1947979 + 0
scaffold_1_1951116_1951125_+ 0 0 6.94931100423132 0.0270068792282836 7.39861396921096 0.0321035195575119 6.09636143551946 0.0307094468233295 -0.69707014823841 2.3858986924746 0.446012099383054 0.60403527171401 scaffold_1 1951116 1951125 + 0
scaffold_1_1962874_1962939_+ 61.3027435433855 63.3289553451728 66.793672377598 55.8348372284391 63.4345445311558 55.6062950072762 70.0967390882788 64.1926105114511 0.0976754682026348 6.21449440720369 0.77614143547625 0.886931684149327 scaffold_1 1962874 1962939 + 0
