Promoter_ID,mat_females_1,mat_females_2,mat_females_3,mat_males_1,mat_males_2,pE_females_1,pE_females_2,pE_females_3,logFC,AveExpr,t,P.Value,adj.P.Val,B,FDR,tw_dis,chr,start,end,strand,de
scaffold_25_741936_741952_-,67.52094247,76.82994862,60.0669775,513.5211274,514.3436438,96.55156032,100.4022294,87.92520311,2.747843361,7.252937598,22.12833145,1.74E-08,1.51E-05,10.37269732,1.51E-05,0.013249932,scaffold_25,741936,741952,-,1
scaffold_4_2620278_2620287_-,518.3123955,525.5397351,666.6589602,30.25861245,22.51849046,232.4624114,307.1423022,243.5294666,-3.774727523,7.871360007,-21.82468395,1.95E-08,1.55E-05,10.25480091,1.55E-05,0.023235538,scaffold_4,2620278,2620287,-,1
scaffold_18_595960_596001_+,212.3195583,235.4472995,210.6330914,28.60807989,29.46983646,102.5931726,94.92753186,91.5096637,-2.228209563,6.862359778,-20.2636723,3.50E-08,2.38E-05,9.70437248,2.38E-05,0.0126141,scaffold_18,595960,596001,+,1
scaffold_24_678642_678650_+,318.6330557,357.6126663,321.0113573,13.25486893,10.15564526,72.70297515,100.6899622,94.77326183,-3.754115257,6.719687578,-20.34644375,3.39E-08,2.38E-05,9.659382775,2.38E-05,0.01750922,scaffold_24,678642,678650,+,1
scaffold_56_398825_398943_-,171.9825802,194.3716572,204.5152929,7.246260903,6.953846771,83.82961299,99.38357167,98.52036558,-4.063827233,6.280064253,-19.9085793,4.02E-08,2.40E-05,9.108944798,2.40E-05,0.015450476,scaffold_56,398825,398943,-,1
scaffold_61_660535_660629_-,187.4339258,222.8857986,202.5591911,19.62413101,16.88823551,75.36279423,92.44485953,81.46127428,-2.727025782,6.577244741,-19.99599265,3.89E-08,2.40E-05,9.581190198,2.40E-05,0.015401672,scaffold_61,660535,660629,-,1
scaffold_10_1904550_1904623_-,74.30419249,82.28837364,61.02886769,791.658472,747.7858483,99.71798445,126.3576158,87.90530577,3.223881296,7.477685354,19.63316687,4.49E-08,2.40E-05,9.465564627,2.40E-05,0.020432734,scaffold_10,1904550,1904623,-,1
scaffold_25_1045255_1045263_+,1443.876381,1622.826908,1553.758992,104.0186062,62.58768598,744.3206338,906.3428599,915.7587985,-3.743382223,9.457323862,-19.34641882,5.04E-08,2.40E-05,9.354652265,2.40E-05,0.022664374,scaffold_25,1045255,1045263,+,1
scaffold_32_670433_670441_+,247.1724641,262.5912225,166.3430109,29.96591876,37.19449743,882.1753413,1015.545046,858.6226339,-3.657822726,8.133205787,-19.42186026,4.89E-08,2.40E-05,9.381947262,2.40E-05,0.027283925,scaffold_32,670433,670441,+,1
scaffold_77_513088_513092_-,419.3822897,329.4142736,481.5535726,13.47475144,18.43100728,265.42371,267.4906564,190.8287976,-4.183364176,7.468403858,-19.36999144,4.99E-08,2.40E-05,9.33282079,2.40E-05,0.030369808,scaffold_77,513088,513092,-,1
scaffold_6_1142921_1142929_+,107.5022072,117.3888628,124.2960605,1634.827924,1224.826383,222.6724723,175.5900372,153.8577801,3.353524477,8.258932935,19.06239299,5.66E-08,2.57E-05,9.237477095,2.57E-05,0.02548414,scaffold_6,1142921,1142929,+,1
scaffold_1321_3241_3287_+,3074.888651,3584.294714,2637.720781,428.6934691,404.8533583,2055.707373,2209.994214,2018.430644,-2.529749717,10.90851397,-18.90232244,6.05E-08,2.62E-05,9.17205883,2.62E-05,0.01633784,scaffold_1321,3241,3287,+,1
scaffold_14_430595_430635_+,1.39E-17,1.39E-17,1.39E-17,623.4647671,653.6351176,1.39E-17,1.39E-17,1.39E-17,10.38975929,1.834039559,18.72277213,6.52E-08,2.71E-05,3.961692449,2.71E-05,0.021820413,scaffold_14,430595,430635,+,1
scaffold_51_78265_78363_+,448.4452255,365.8255537,319.1678099,11.61860452,11.47912149,111.5534762,174.3453439,124.5631512,-4.146351591,7.007209328,-18.61117346,6.84E-08,2.72E-05,9.008233647,2.72E-05,0.03166567,scaffold_51,78265,78363,+,1
scaffold_3_3569980_3570039_-,31.14367283,30.9857789,30.25677678,113.8255498,111.6990246,29.73782713,34.6419551,34.60403941,1.883406227,5.717773058,17.8891603,9.33E-08,3.30E-05,8.743620342,3.30E-05,0.015337255,scaffold_3,3569980,3570039,-,1
scaffold_51_77925_77934_+,321.7936266,342.3659574,502.1695867,15.11813502,14.68006586,140.565851,200.269188,153.0296121,-3.943703547,7.209060146,-18.0259743,8.79E-08,3.30E-05,8.789169587,3.30E-05,0.035286494,scaffold_51,77925,77934,+,1
scaffold_82_514963_515063_+,254.2458752,282.9564782,282.6703121,21.86071772,22.73698309,88.15417653,128.2932666,119.6592711,-2.859883203,6.962368016,-17.92975741,9.17E-08,3.30E-05,8.759621277,3.30E-05,0.019123057,scaffold_82,514963,515063,+,1
scaffold_32_171822_171860_-,13.88957814,12.42575336,12.90090451,274.9735167,148.9025894,7.624341162,7.317025522,6.127342688,4.405181345,4.666716232,17.8019915,9.70E-08,3.30E-05,8.684386948,3.30E-05,0.045239301,scaffold_32,171822,171860,-,1
scaffold_121_21177_21182_-,257.063212,294.0129565,301.1502122,5.997701764,5.519060692,60.75298211,74.38226978,67.6607062,-4.397384544,6.24919818,-17.37776967,1.17E-07,3.73E-05,7.862872245,3.73E-05,0.015600145,scaffold_121,21177,21182,-,1
scaffold_88_285330_285450_+,76.6598583,80.53374683,81.64072425,11.24449103,10.92731441,32.60570922,32.59946064,32.72202949,-2.077987408,5.399218693,-17.45107603,1.13E-07,3.73E-05,8.525184985,3.73E-05,0.015177224,scaffold_88,285330,285450,+,1
scaffold_73_562201_562225_+,218.1055305,251.8262132,231.5772029,19.00007609,16.11567226,92.55363139,71.02345872,69.51271379,-2.828655401,6.597869389,-17.03790085,1.37E-07,4.21E-05,8.362576126,4.21E-05,0.017204313,scaffold_73,562201,562225,+,1
scaffold_3_2102098_2102219_+,322.9521135,379.7367467,410.6545966,21.23823519,21.41269381,75.55481299,118.3921031,100.3891674,-3.042183773,7.036372882,-16.56222037,1.71E-07,4.53E-05,8.142828706,4.53E-05,0.024511867,scaffold_3,2102098,2102219,+,1
scaffold_7_1544179_1544186_+,9.055311425,8.738335482,9.104406517,35.46763629,41.49948394,10.158412,12.13657714,10.7338126,1.972964465,4.107375315,16.5699235,1.70E-07,4.53E-05,8.146771369,4.53E-05,0.021000632,scaffold_7,1544179,1544186,+,1
scaffold_78_143818_143874_+,11.54598492,10.78319857,9.21487321,57.82987017,67.43714654,14.50324108,16.86534147,11.74182762,2.382533711,4.495628882,16.60480217,1.67E-07,4.53E-05,8.162244334,4.53E-05,0.020914678,scaffold_78,143818,143874,+,1
scaffold_83_136291_136297_+,80.88510251,94.58216064,88.2860775,10.49267936,10.70637635,51.75097452,68.08901222,59.30790945,-2.636245726,5.756023523,-16.77038384,1.55E-07,4.53E-05,8.222488641,4.53E-05,0.017097575,scaffold_83,136291,136297,+,1
scaffold_91_467254_467272_-,225.5312122,264.1167225,265.3080859,33.09332371,39.07121773,87.96307022,101.3296989,95.78388032,-2.011267847,7.003767711,-16.61863713,1.66E-07,4.53E-05,8.162970408,4.53E-05,0.014342659,scaffold_91,467254,467272,-,1
scaffold_6_461462_461468_-,6.863640419,6.143084734,5.134059164,35.36030309,34.3267596,9.315940948,8.795824835,9.373807024,2.231481224,3.776818558,16.43331175,1.82E-07,4.68E-05,8.053390146,4.68E-05,0.021327659,scaffold_6,461462,461468,-,1
scaffold_16_1584750_1584755_-,175.0289261,200.7858138,210.204287,9.133377636,5.96153839,77.79182276,91.04183286,100.4112839,-3.991300642,6.281606313,-16.25187068,1.98E-07,4.85E-05,7.842648637,4.85E-05,0.017361114,scaffold_16,1584750,1584755,-,1
scaffold_4_1306938_1306964_-,199.5924417,205.0210955,205.1120626,11.25680781,8.058612964,54.0690784,78.37002003,73.98255275,-3.481729746,6.244545323,-16.27094155,1.96E-07,4.85E-05,7.979218483,4.85E-05,0.017650608,scaffold_4,1306938,1306964,-,1
scaffold_18_728347_728370_-,4.419404396,0.004895949,0.010272258,1237.449628,1251.973887,1.39E-17,1.39E-17,1.39E-17,10.80575009,2.484954366,16.17995861,2.05E-07,4.89E-05,4.031710969,4.89E-05,0.022922246,scaffold_18,728347,728370,-,1
scaffold_5_82093_82121_-,10.85471664,10.92318667,12.22550937,35.22183433,39.51312828,8.261304514,6.664356675,6.983783059,2.057650135,4.006394207,16.07828806,2.15E-07,5.01E-05,7.91190082,5.01E-05,0.02101189,scaffold_5,82093,82121,-,1
scaffold_12_1037164_1037204_+,95.23696249,107.68301,93.23884385,12.99062765,13.46564455,34.61036251,41.03860152,35.61254462,-2.075362724,5.641876068,-15.9335395,2.31E-07,5.17E-05,7.842501154,5.17E-05,0.016073599,scaffold_12,1037164,1037204,+,1
scaffold_75_325785_325791_+,109.8590595,134.8509402,136.5258255,7.500267316,6.291953824,66.16814067,62.23134929,66.13071577,-3.551364329,5.852386206,-15.91738314,2.33E-07,5.17E-05,7.625153401,5.17E-05,0.016464839,scaffold_75,325785,325791,+,1
scaffold_25_1170184_1170189_+,18.73624298,18.83863059,19.34396488,56.70865789,64.34697563,21.3826205,21.57772395,22.32841581,1.62406931,5.01771716,15.73712386,2.55E-07,5.52E-05,7.731592083,5.52E-05,0.017728462,scaffold_25,1170184,1170189,+,1
scaffold_89_483784_483787_-,6.792975271,6.962057209,6.830502634,33.73617264,32.67116084,9.313958704,11.1198531,8.340865572,2.044373048,3.846800086,15.66524406,2.64E-07,5.60E-05,7.70744344,5.60E-05,0.021345301,scaffold_89,483784,483787,-,1
scaffold_1_4155602_4155648_-,205.9336709,217.041785,251.7193324,31.9617013,40.83652769,111.153171,113.5430938,121.0184297,-2.062127302,7.048756958,-15.34805491,3.10E-07,6.15E-05,7.529638456,6.15E-05,0.014839062,scaffold_1,4155602,4155648,-,1
scaffold_40_709720_709798_-,44.03670493,48.04601684,49.11093518,179.7686991,212.1369817,77.60802833,69.54708768,71.40581004,1.805531443,6.566027988,15.37109496,3.06E-07,6.15E-05,7.541610455,6.15E-05,0.014891148,scaffold_40,709720,709798,-,1
scaffold_76_459746_459775_+,157.6089411,162.3037822,180.4266033,18.84176152,26.26703964,68.16805276,78.73265701,71.91835925,-2.206509523,6.47011996,-15.30866005,3.16E-07,6.15E-05,7.52244026,6.15E-05,0.014760603,scaffold_76,459746,459775,+,1
scaffold_9_171181_171198_-,119.1489488,140.4558682,155.3761384,22.49031305,21.8544227,69.76688193,72.43116866,64.06725647,-2.032725677,6.333958636,-15.35454947,3.09E-07,6.15E-05,7.546087408,6.15E-05,0.016828281,scaffold_9,171181,171198,-,1
scaffold_13_638270_638322_-,183.7665467,196.8372851,223.2760431,31.63261368,23.84295129,81.5129218,81.96120088,86.58732947,-2.140169317,6.717310645,-14.83445201,4.04E-07,7.26E-05,7.265265259,7.26E-05,0.014993966,scaffold_13,638270,638322,-,1
scaffold_15_1402466_1402468_-,11.93457252,10.51247374,9.591899982,36.23370024,35.65114232,11.9610345,12.41053702,12.09880354,1.692749573,4.224715073,14.86464953,3.97E-07,7.26E-05,7.293128103,7.26E-05,0.020028654,scaffold_15,1402466,1402468,-,1
scaffold_40_72120_72135_-,1.39E-17,1.39E-17,1.39E-17,178.7752258,202.6453704,1.39E-17,1.39E-17,1.39E-17,8.646646988,1.39825613,14.79883754,4.11E-07,7.26E-05,3.52747036,7.26E-05,0.024167262,scaffold_40,72120,72135,-,1
scaffold_5_1871753_1871799_-,43.63247043,41.50207973,44.5631799,16.46450408,24.72145935,257.5598717,277.9384427,292.9906898,-2.334228028,6.428546957,-14.81740902,4.07E-07,7.26E-05,7.267775776,7.26E-05,0.014776583,scaffold_5,1871753,1871799,-,1
scaffold_54_579700_579708_-,35.44255987,40.93526477,32.55448374,201.2975564,184.7676317,65.74000588,61.48553618,72.96367598,2.038515924,6.373041477,14.88915258,3.92E-07,7.26E-05,7.287218659,7.26E-05,0.015211045,scaffold_54,579700,579708,-,1
scaffold_15_855946_855999_+,731.6156724,767.6670854,751.8946767,219.5255272,220.5276351,491.6417494,502.0696513,484.3653677,-1.389071009,9.133557579,-14.50197185,4.81E-07,8.35E-05,7.078683279,8.35E-05,0.006896157,scaffold_15,855946,855999,+,1
scaffold_8_987289_987313_+,128.965193,144.5448652,140.6253276,19.76537244,12.8056949,71.44263845,83.54251777,87.61992425,-2.614762092,6.304723391,-14.4448113,4.96E-07,8.45E-05,7.07386864,8.45E-05,0.015576238,scaffold_8,987289,987313,+,1
scaffold_285_58130_58137_-,17.80603822,18.15960485,21.31775302,54.47001202,56.5113543,19.15980325,19.16944752,19.94220864,1.580086438,4.92894191,14.3757078,5.15E-07,8.62E-05,7.009102077,8.62E-05,0.017844993,scaffold_285,58130,58137,-,1
scaffold_1_2210156_2210161_-,19.58328907,15.43684026,19.05308074,60.58465298,66.9962045,22.65188255,24.45315853,23.00494804,1.689672294,5.044558527,14.28356696,5.41E-07,8.91E-05,6.956008478,8.91E-05,0.017983597,scaffold_1,2210156,2210161,-,1
scaffold_18_452985_453012_-,552.2628311,554.3406639,693.6912822,165.8733563,234.8715018,4820.145232,6842.045672,8447.445981,-3.24361805,10.3684667,-14.22002002,5.60E-07,8.92E-05,6.920560601,8.92E-05,0.040767752,scaffold_18,452985,453012,-,1
scaffold_285_77347_77358_-,21.08239588,23.88102891,21.34546674,83.22444164,75.16608272,23.18317354,20.73615741,26.09014534,1.857429988,5.228675033,14.20420268,5.65E-07,8.92E-05,6.909681841,8.92E-05,0.017679491,scaffold_285,77347,77358,-,1
scaffold_36_525102_525144_+,1.39E-17,1.39E-17,1.39E-17,229.1151176,281.0098117,1.39E-17,1.39E-17,1.39E-17,9.060532542,1.501728455,14.13443073,5.87E-07,8.92E-05,3.423427077,8.92E-05,0.026995695,scaffold_36,525102,525144,+,1
scaffold_6_1022714_1022718_+,1.39E-17,1.39E-17,1.39E-17,107.0759194,107.0630804,1.39E-17,1.39E-17,1.39E-17,7.8194414,1.191461248,14.16377167,5.78E-07,8.92E-05,3.430999652,8.92E-05,0.02323306,scaffold_6,1022714,1022718,+,1
scaffold_9_569076_569080_+,28.70762538,23.07889622,24.75887985,107.704166,104.966282,31.3283899,31.48180863,38.36798456,1.921376842,5.605215234,14.13008312,5.89E-07,8.92E-05,6.86523429,8.92E-05,0.016767855,scaffold_9,569076,569080,+,1
scaffold_19_347390_347509_+,141.6915879,163.651026,155.5157916,8.886157158,5.189112151,69.85495167,94.4013896,72.58565614,-3.834836045,6.054012364,-14.08128528,6.05E-07,9.01E-05,6.779185224,9.01E-05,0.018687944,scaffold_19,347390,347509,+,1
scaffold_13_148784_148791_+,35.38107182,46.11848065,38.79587985,167.8160544,149.8897192,44.46656154,39.16559646,45.51431739,2.000813123,6.12010037,14.03750247,6.19E-07,9.09E-05,6.812308299,9.09E-05,0.016418502,scaffold_13,148784,148791,+,1
scaffold_25_1176000_1176014_-,33.16921294,31.67028755,31.30134613,92.19757326,99.33600208,39.79860082,42.13894266,44.49134773,1.444759744,5.811445608,13.99787345,6.33E-07,9.15E-05,6.785245414,9.15E-05,0.015053199,scaffold_25,1176000,1176014,-,1
scaffold_62_299961_299962_+,23.25113272,18.03305169,23.125615,73.33829969,74.833607,21.0600087,23.06079826,24.55013625,1.799380304,5.178343841,13.95866865,6.47E-07,9.21E-05,6.769607798,9.21E-05,0.0176414,scaffold_62,299961,299962,+,1
scaffold_114_79934_79941_+,12.17060715,12.14439301,9.127277219,62.49835619,49.00863872,13.12888836,14.17605955,10.38061253,2.26393501,4.411252994,13.85561734,6.85E-07,9.49E-05,6.728120672,9.49E-05,0.022531364,scaffold_114,79934,79941,+,1
scaffold_18_334512_334526_+,129.129702,144.142869,156.053133,27.99062591,26.38000186,70.07614868,84.8556327,65.59264144,-1.815984709,6.45916171,-13.85386019,6.86E-07,9.49E-05,6.717588005,9.49E-05,0.016686787,scaffold_18,334512,334526,+,1
scaffold_10571_352_375_-,114.3305725,11.81727758,9.368815497,34236.47103,40951.2327,27.8479814,26.58138213,23.67651467,10.61403718,7.538848635,13.76882699,7.19E-07,9.67E-05,6.666558984,9.67E-05,0.293406555,scaffold_10571,352,375,-,1
scaffold_8_1119421_1119472_-,19.19876988,20.19547109,16.14502697,71.32781451,79.79941438,18.08942286,22.69317307,24.3857469,1.969106911,5.077010043,13.77569309,7.17E-07,9.67E-05,6.665925457,9.67E-05,0.018930823,scaffold_8,1119421,1119472,-,1
scaffold_51_57739_57890_-,540.9881574,516.1075802,514.5487556,1110.752823,1141.709872,350.7205948,408.2609126,377.8485647,1.413427224,9.384697863,13.73545165,7.33E-07,9.71E-05,6.644980157,9.71E-05,0.008805593,scaffold_51,57739,57890,-,1
scaffold_12_1452203_1452253_+,114.9704927,112.7490149,109.7279965,546.027316,484.9859016,112.6074177,160.3349336,157.1628298,2.098753554,7.741633004,13.70671115,7.45E-07,9.74E-05,6.624889516,9.74E-05,0.018738439,scaffold_12,1452203,1452253,+,1
scaffold_3_1125304_1125418_-,52.32046304,58.15104319,65.49163336,8.61348348,10.04367206,45.08393137,58.08484971,50.44393858,-2.41516272,5.410788962,-13.52923515,8.24E-07,0.000106249,6.58225176,0.000106249,0.018386794,scaffold_3,1125304,1125418,-,1
scaffold_111_93663_93715_+,213.4292795,237.6439473,254.2961805,56.10162158,54.52526951,104.1621009,114.2906606,114.5374119,-1.46062651,7.204692324,-13.37192791,9.02E-07,0.000108007,6.412724442,0.000108007,0.012948075,scaffold_111,93663,93715,+,1
scaffold_113_165499_165509_-,10.38944878,9.972257417,13.5378027,6.980006413,10.70501151,596.8527794,819.4083657,595.1192604,-3.19331413,5.89549297,-13.27114003,9.56E-07,0.000108007,6.432603454,0.000108007,0.028454665,scaffold_113,165499,165509,-,1
scaffold_14_1085111_1085121_+,1.39E-17,1.39E-17,1.39E-17,625.913284,890.8243881,1.39E-17,1.39E-17,1.39E-17,10.61583634,1.890556435,13.28269131,9.50E-07,0.000108007,3.272345752,0.000108007,0.036609372,scaffold_14,1085111,1085121,+,1
scaffold_15_1404715_1404880_+,222.9323293,248.5477392,213.1096203,60.8367777,66.00304126,167.359674,209.9827934,170.7556825,-1.599640761,7.503794226,-13.39708229,8.89E-07,0.000108007,6.428629848,0.000108007,0.015377278,scaffold_15,1404715,1404880,+,1
scaffold_4_1228711_1228720_-,63.45203926,54.34417576,65.69461375,162.1866021,151.6551104,44.13532395,51.22233207,49.42860854,1.599416626,6.404972495,13.36294096,9.07E-07,0.000108007,6.413512738,0.000108007,0.0146118,scaffold_4,1228711,1228720,-,1
scaffold_5_2323818_2323826_-,36.372489,33.17915822,37.91878315,93.71785814,86.2033303,24.13449132,22.59014718,27.45308659,1.657025246,5.562411973,13.37641972,9.00E-07,0.000108007,6.421213838,0.000108007,0.016388791,scaffold_5,2323818,2323826,-,1
scaffold_51_81743_81757_+,332.5942659,225.1527412,446.1076512,17.12934622,13.46697477,114.2095142,155.159758,121.6715629,-3.629581372,7.000547211,-13.26038551,9.62E-07,0.000108007,6.400189711,0.000108007,0.046094918,scaffold_51,81743,81757,+,1
scaffold_67_89637_89642_-,3.751005766,3.82462665,4.64164847,33.37034172,29.13996379,7.520414356,5.644338348,6.47433025,2.566277751,3.371040569,13.37785718,8.99E-07,0.000108007,6.447244516,0.000108007,0.022990596,scaffold_67,89637,89642,-,1
scaffold_86_318307_318315_-,259.3236739,323.7466247,266.400828,1173.977162,1191.157689,359.9219747,415.1948912,458.1572398,1.874010473,9.109744597,13.29983576,9.40E-07,0.000108007,6.385442869,0.000108007,0.016111311,scaffold_86,318307,318315,-,1
scaffold_94_167621_167629_+,51.3442436,46.27687523,43.83307441,131.8052113,141.0574412,49.3249234,58.91649604,49.92539398,1.521295202,6.262481786,13.30130181,9.40E-07,0.000108007,6.374466974,0.000108007,0.014958145,scaffold_94,167621,167629,+,1
scaffold_958_615_860_-,739.2073246,697.2186834,483.8303732,11.38532502,7.39664323,238.0464994,179.1182907,115.6375797,-5.004854779,7.33725259,-13.33865115,9.19E-07,0.000108007,6.473747373,0.000108007,0.053293931,scaffold_958,615,860,-,1
scaffold_28_294255_294260_+,16.9345289,16.24428288,15.37255955,34.98625844,33.66458394,10.47901655,10.37073992,11.07968975,1.428984763,4.357258099,13.19143477,1.00E-06,0.000108606,6.339418179,0.000108606,0.019469266,scaffold_28,294255,294260,+,1
scaffold_40_406715_406716_+,13.10652045,8.888400357,13.92076748,54.10632393,50.77288169,13.33756841,12.59110595,14.49209931,2.092145551,4.463948467,13.19699262,9.98E-07,0.000108606,6.334948124,0.000108606,0.020272674,scaffold_40,406715,406716,+,1
scaffold_83_424309_424376_-,99.05529227,102.3713427,98.53435842,25.37844028,20.31040779,56.42840992,57.51807737,51.79818892,-1.613779138,6.053303969,-13.22217216,9.84E-07,0.000108606,6.352640355,0.000108606,0.013969422,scaffold_83,424309,424376,-,1
scaffold_10_198950_198953_-,62.84793158,67.70220887,69.3086215,7.36884734,7.615882312,26.98517778,30.37751889,33.07711781,-2.42715495,5.125103414,-13.03019318,1.10E-06,0.000112676,6.275920369,0.000112676,0.016696608,scaffold_10,198950,198953,-,1
scaffold_146_148018_148028_+,129.7617235,148.7848722,167.038757,6.752384558,5.188357124,50.48126932,64.10198513,59.31389812,-3.778040378,5.823923047,-13.01677528,1.11E-06,0.000112676,6.11428076,0.000112676,0.018925014,scaffold_146,148018,148028,+,1
scaffold_245_8882_8890_+,18.64009424,12.84694957,17.06281126,122.8710939,84.33033547,20.44267838,18.15382693,14.12413588,2.649128792,4.99637896,13.02021254,1.11E-06,0.000112676,6.218796534,0.000112676,0.02826446,scaffold_245,8882,8890,+,1
scaffold_36_524766_524772_+,8.91608727,0.009472592,0.019883458,2630.150366,3761.876344,3.817001997,4.082280234,0,10.91926276,3.727750078,13.02458228,1.10E-06,0.000112676,4.748558492,0.000112676,0.062913385,scaffold_36,524766,524772,+,1
scaffold_6_2366199_2366230_+,71.43340254,81.47789912,73.1250356,7.117396016,7.726115002,30.05091352,38.72281107,36.30662449,-2.6340305,5.266182508,-13.04466961,1.09E-06,0.000112676,6.281337304,0.000112676,0.017198059,scaffold_6,2366199,2366230,+,1
scaffold_97_57260_57309_+,1006.173287,985.6448672,765.1539581,4225.510397,4146.536277,1306.272171,1295.859013,1558.821317,1.973256914,10.8585008,13.04820318,1.09E-06,0.000112676,6.232299087,0.000112676,0.017943629,scaffold_97,57260,57309,+,1
scaffold_5_1152849_1152854_+,177.505864,226.5409494,144.1310051,919.8528765,864.1202839,189.1743862,228.6921686,176.709502,2.316956581,8.3702857,12.97369383,1.14E-06,0.000114374,6.184063258,0.000114374,0.025359875,scaffold_5,1152849,1152854,+,1
scaffold_30_1025037_1025038_+,9.369004526,9.284112421,9.76645464,33.10414529,34.76762041,8.354777803,9.628975913,12.28580537,1.828734972,4.041670759,12.92409759,1.17E-06,0.00011657,6.192140463,0.00011657,0.021129966,scaffold_30,1025037,1025038,+,1
scaffold_1_1515529_1515538_+,45.82104173,47.63498008,44.95830441,26.99528822,24.06250797,133.9230594,122.7969211,137.2086316,-1.517400848,6.144373889,-12.90092693,1.19E-06,0.000116974,6.148680493,0.000116974,0.01390384,scaffold_1,1515529,1515538,+,1
scaffold_17_649669_649740_-,278.5111011,261.4164055,326.5320725,34.08570862,43.26475628,121.0984494,164.246847,106.9869064,-2.234085763,7.264771986,-12.88008098,1.20E-06,0.00011723,6.116837516,0.00011723,0.02583555,scaffold_17,649669,649740,-,1
scaffold_1_2319959_2319975_-,117.7077696,116.0277967,119.0072557,15.87526422,13.46659053,44.65114815,69.8634134,51.96839763,-2.339694805,5.979793093,-12.8439166,1.23E-06,0.000117399,6.147918391,0.000117399,0.019844622,scaffold_1,2319959,2319975,-,1
scaffold_2_105830_105869_+,67.30587316,73.9844292,81.71022808,5.995182098,6.07071022,34.72072975,37.88524262,34.07846487,-2.914086868,5.199328025,-12.84578382,1.23E-06,0.000117399,6.044029037,0.000117399,0.016990274,scaffold_2,105830,105869,+,1
scaffold_101_432971_433055_-,70.87670767,70.02809672,73.10670681,309.1262141,282.7799814,87.62754484,125.2375668,113.8589275,1.82325792,7.14976045,12.77783388,1.28E-06,0.000119757,6.056525387,0.000119757,0.017481985,scaffold_101,432971,433055,-,1
scaffold_8_271707_271716_+,13.82055622,13.24656704,15.82292314,29.22399398,33.33212909,7.726356101,8.336386593,7.666110333,1.584492794,4.105282331,12.79286324,1.27E-06,0.000119757,6.117361459,0.000119757,0.020785977,scaffold_8,271707,271716,+,1
scaffold_40_742207_742211_+,23.56541102,22.79362075,19.9351167,97.81921741,105.9583716,24.33150466,38.2759888,26.91274456,2.055751189,5.441379281,12.74831898,1.30E-06,0.000120723,6.037175654,0.000120723,0.020464833,scaffold_40,742207,742211,+,1
