promoter_ID	mat_females_1	mat_females_2	mat_females_3	mat_males_1	mat_males_2	pE_females_1	pE_females_2	pE_females_3	logFC	logCPM	PValue	FDR	tw_dis	chr	start	end	strand	de	gene	GO_ID	KOG_JGI	KOG_ID	FlyBase_id_representative_homolog	interprot_representative_homolog
scaffold_187_55733_55743_+	258.5022135	141.3375218	203.3904144	503.8401938	426.1103541	188.0649769	135.8887549	174.6056834	1.209015599	8.199899655	5.79E-06	3.61E-05	0.038729434	scaffold_187	55733	55743	+	1	JGI_V11_332302	GO:0042302	0	0	FBgn0033731	A1Z8Z7
scaffold_187_57660_57668_+	791.0429346	451.9520968	427.9929426	1498.347201	1025.941675	573.461786	441.0601686	515.0486092	1.179993301	9.687799516	8.78E-05	0.000409718	0.052515319	scaffold_187	57660	57668	+	1	JGI_V11_229447	GO:0042302	0	0	0	0
scaffold_187_60873_60882_+	302.8882169	182.3268011	244.4046516	546.3907935	354.4515801	277.8000605	213.4604845	176.862739	0.888817785	8.377023893	0.002522329	0.008177293	0.048174317	scaffold_187	60873	60882	+	1	JGI_V11_116508	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_96064_96103_+	1.39E-17	1.39E-17	1.39E-17	6.240933205	12.59461282	6.600884921	0.012822827	0.032344249	6.299698947	2.542419629	4.15E-07	3.33E-06	0.047170966	scaffold_187	96064	96103	+	1	JGI_V11_18087	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_96288_96427_+	39.17258465	25.24387082	28.00849818	61.65030569	73.88224474	30.17865144	24.48201542	12.56740155	1.134060929	5.479633002	0.000313391	0.001269397	0.035841799	scaffold_187	96288	96427	+	1	JGI_V11_18087	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_187_85644_85653_-	347.6923533	231.4883493	290.1413811	673.9965535	475.8301661	210.7779656	181.0991408	195.0031502	0.988200085	8.557379906	2.29E-05	0.000124417	0.029795779	scaffold_187	85644	85653	-	1	JGI_V11_302741	GO:0042302	0	0	0	0
scaffold_187_90073_90115_-	16.66233898	10.06569106	11.20168197	33.23442422	29.11148035	13.88469679	8.855300939	9.105551742	1.293734426	4.404641049	0.000323158	0.001305842	0.024740015	scaffold_187	90073	90115	-	1	JGI_V11_332314	GO:0042302	0	0	FBgn0050045	A8DRW0
scaffold_2_1080565_1080573_-	1.39E-17	1.39E-17	1.39E-17	0.034935746	9.904565001	136.6676994	108.4184016	160.6138305	5.397597179	5.927303459	0.000360714	0.001442713	0.044027488	scaffold_2	1080565	1080573	-	1	JGI_V11_94766	GO:0042302	0	0	0	0
scaffold_210_73787_73797_+	56.7968406	47.01473703	35.46275627	669.2189994	238.1349836	207.0135098	163.7398606	213.045767	3.285300127	7.880316298	5.68E-16	2.05E-14	0.083077	scaffold_210	73787	73797	+	1	JGI_V11_332865	GO:0042302	0	0	FBgn0036618	Q9VV45
scaffold_226_117245_117262_+	504.3002384	695.3007136	279.0145954	2589.528679	1229.758437	1779.799521	1923.500737	2132.825595	1.953827287	10.64505736	4.64E-07	3.67E-06	0.086908743	scaffold_226	117245	117262	+	1	JGI_V11_303639	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_286784_286900_+	44.00415986	42.49606338	29.89893815	138.7076469	87.26240552	125.3818701	156.2818182	174.7059716	1.538954314	6.861850706	1.33E-07	1.18E-06	0.03456462	scaffold_23	286784	286900	+	1	JGI_V11_303722	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_287014_287073_+	5.055213902	8.819447998	0	19.23010568	12.80860459	28.55692845	21.5099281	10.71696076	1.778702276	4.112243926	0.001521922	0.005258817	0.066449982	scaffold_23	287014	287073	+	1	JGI_V11_303722	GO:0042302	0	0	FBgn0036617	Q7K1P4
scaffold_23_319985_319987_+	1.39E-17	1.39E-17	1.39E-17	0.247954067	1105.915789	1.39E-17	1.39E-17	1.39E-17	12.15898642	7.322787698	2.28E-07	1.92E-06	1.154526844	scaffold_23	319985	319987	+	1	JGI_V11_318015	GO:0042302	0	0	0	0
scaffold_23_386565_386573_+	568.4014595	378.2128752	462.7880171	886.7370396	774.0954504	429.7518304	363.7172741	411.4325217	0.82167763	9.268052162	6.73E-05	0.000322574	0.023533175	scaffold_23	386565	386573	+	1	JGI_V11_318026	GO:0042302	0	0	0	0
scaffold_3_6954_7681_-	178.612703	218.9630708	98.60589362	445.6075298	310.513865	732.3275393	944.77256	726.9792662	1.192180177	9.040952086	0.000193887	0.000828169	0.056639277	scaffold_3	6954	7681	-	1	JGI_V11_220681	GO:0042302	0	0	0	0
scaffold_3_7834_7859_-	570.7896991	740.6502518	312.6617217	1889.904087	1105.887205	2949.646426	3402.360003	2390.442995	1.468100496	10.90799865	4.17E-05	0.000210594	0.074851481	scaffold_3	7834	7859	-	1	JGI_V11_220681	GO:0042302	0	0	0	0
scaffold_3_10082_10283_-	1.39E-17	1.39E-17	1.39E-17	56.78094267	32.06833769	20.20284215	23.10400761	8.673745051	8.524133646	4.460242493	6.98E-22	4.55E-20	0.057550565	scaffold_3	10082	10283	-	1	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_10508_10719_-	19.67256142	10.70984826	6.647785674	158.6693597	61.72053136	70.59262222	40.46664174	24.30365925	3.146243995	5.859982368	4.67E-09	5.56E-08	0.130977163	scaffold_3	10508	10719	-	1	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_10841_10949_-	14.52374215	5.715832823	6.280314869	122.6800176	53.52785571	58.86078027	38.19832511	58.01744159	3.300210796	5.727424524	1.78E-13	4.44E-12	0.074431861	scaffold_3	10841	10949	-	1	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_3_11176_11186_-	159.3119948	86.29055254	73.29639317	1585.005711	566.365045	756.1907972	502.8529335	646.9488566	3.337714348	9.299266265	1.39E-13	3.52E-12	0.107951643	scaffold_3	11176	11186	-	1	JGI_V11_220682	GO:0042302	KOG0251	KOG0251	0	0
scaffold_32_1024076_1024083_+	64.73750896	38.23816604	61.09189882	135.9984259	115.4708123	55.48520735	39.12806723	40.57984602	1.199614972	6.344574869	8.09E-06	4.83E-05	0.030113621	scaffold_32	1024076	1024083	+	1	JGI_V11_305009	GO:0042302	0	0	FBgn0002440	P52302
scaffold_32_1024220_1024230_+	6.331032969	4.65165739	6.886885458	22.94181544	19.22612562	1.39E-17	1.39E-17	1.39E-17	1.802166865	3.446130706	4.63E-05	0.000231791	0.026328892	scaffold_32	1024220	1024230	+	1	JGI_V11_305009	GO:0042302	0	0	FBgn0002440	P52302
scaffold_37_501279_501316_+	37.91395694	17.34527879	8.525094867	169.8005803	87.19615506	173.2359486	102.7542223	114.8039581	2.589916879	6.695039928	5.38E-08	5.18E-07	0.109954227	scaffold_37	501279	501316	+	1	JGI_V11_105613	GO:0042302	0	0	0	0
scaffold_37_793227_793258_+	5.980906309	0	0	11.19694786	7.961820618	6.377122478	0.012414916	0.03131352	2.235583633	2.751797627	0.002436525	0.007932445	0.059421832	scaffold_37	793227	793258	+	1	JGI_V11_246873	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_4_2321434_2321470_-	16.76500278	9.072380073	9.377361102	68.48015399	29.81400344	17.18408169	19.77248699	15.76753363	2.055046961	4.846683114	4.78E-07	3.76E-06	0.055452949	scaffold_4	2321434	2321470	-	1	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2321718_2321736_-	1.39E-17	1.39E-17	1.39E-17	9.227240328	7.490655991	5.900758342	6.12589983	0.056179276	6.130553734	2.653107455	1.20E-06	8.77E-06	0.034646449	scaffold_4	2321718	2321736	-	1	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2321874_2321914_-	1.39E-17	1.39E-17	1.39E-17	17.25098572	11.08390493	5.67981043	6.410867956	0.056463216	6.883818645	2.986240798	2.24E-10	3.51E-09	0.037215233	scaffold_4	2321874	2321914	-	1	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_4_2322572_2322579_-	180.3155784	136.8725454	124.5524806	1286.942184	433.2467355	373.9393016	340.3651003	380.8888128	2.545278351	8.875071631	6.07E-11	1.03E-09	0.083536391	scaffold_4	2322572	2322579	-	1	JGI_V11_221306	GO:0042302	KOG1215	KOG1215	0	0
scaffold_40_847243_847392_-	46.71466256	38.00326155	7.832716767	141.8048835	61.69749673	140.8062469	81.92392414	114.3239564	1.719349659	6.531807616	0.001327373	0.004651286	0.150817507	scaffold_40	847243	847392	-	1	JGI_V11_106124	GO:0042302	0	0	0	0
scaffold_40_847609_847643_-	669.6042769	419.8994631	296.0690538	2505.020794	895.6226731	3161.211898	1568.687129	2617.566302	1.880058304	10.76885491	4.63E-05	0.000231791	0.123714132	scaffold_40	847609	847643	-	1	JGI_V11_106124	GO:0042302	0	0	0	0
scaffold_5_1013489_1013511_-	421.937206	207.8842885	255.2562067	827.6378518	750.9752907	774.9728722	285.7495199	611.3501116	1.41940104	9.219085313	0.000410105	0.00161364	0.093497673	scaffold_5	1013489	1013511	-	1	JGI_V11_306592	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_5_1014981_1014986_-	33.40978499	14.86977029	7.686940584	42.78566695	53.529628	22.74034469	11.4686008	13.92434817	1.363730373	4.951315821	0.002010032	0.006710871	0.082123577	scaffold_5	1014981	1014986	-	1	JGI_V11_306592	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_65_632184_632190_-	0	61.568898	164.9308471	1.39E-17	1.39E-17	158.084931	28.80893825	156.0251325	-9.281931117	6.390269461	5.65E-05	0.000277656	0.744555833	scaffold_65	632184	632190	-	1	JGI_V11_324898	GO:0042302	0	0	FBgn0033867	Q7JZ94
scaffold_76_23620_23637_+	371.953459	273.6595939	267.9703649	709.7513365	499.6286909	490.8121233	254.7767207	440.7604603	0.98933751	8.899331543	0.001179739	0.004193119	0.052834188	scaffold_76	23620	23637	+	1	JGI_V11_326065	GO:0042302	0	0	0	0
scaffold_76_23962_24023_+	35.83160313	20.30209917	19.02133401	49.48839299	52.07121578	37.97208675	20.23133675	30.88088792	1.015910379	5.332623164	0.002371009	0.007745903	0.036890725	scaffold_76	23962	24023	+	1	JGI_V11_326065	GO:0042302	0	0	0	0
scaffold_98_170973_170982_-	6.053853146	0	0	39.10770999	20.67784752	44.85276084	24.46569195	39.91262249	3.848991734	4.744099026	3.36E-11	5.98E-10	0.060392891	scaffold_98	170973	170982	-	1	JGI_V11_61224	GO:0042302	0	0	FBgn0035985	Q9VSY0
scaffold_5_712647_712667_-.1	7.183647351	6.029634731	7.214250175	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	-5.840596075	2.440931888	9.01E-05	0.000417629	0.028323043	scaffold_5	712647	712667	-	1	JGI_V11_311915	GO:0031177	KOG0166	KOG0166	FBgn0031609	Q9VR04
scaffold_8_1365199_1365204_+	6.891612648	6.92614945	6.508726503	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	-5.833974067	2.437079972	8.98E-05	0.000417491	0.028178256	scaffold_8	1365199	1365204	+	1	JGI_V11_308484	"GO:0030674,GO:0051015"	0	0	FBgn0003447	Q24524
scaffold_155_256661_256670_+	260.1587525	219.7404018	480.1482221	589.3312938	837.7380438	448.1005977	614.935298	609.3191214	1.156608719	9.192613016	0.000563524	0.00215728	0.06464467	scaffold_155	256661	256670	+	1	JGI_V11_203681	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_155_256971_256972_+	4.923681938	0	7.663160831	10.46724666	18.22314889	8.282805532	9.799397797	11.07205163	1.763938332	3.610252331	0.001381868	0.00482564	0.035417152	scaffold_155	256971	256972	+	1	JGI_V11_203681	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_155_267643_267644_+	1.39E-17	1.39E-17	1.39E-17	0.030316099	8.423581422	0.084516117	6.625457017	11.6833427	5.172075945	2.588153295	0.002531858	0.008205574	0.200720036	scaffold_155	267643	267644	+	1	JGI_V11_302006	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_245_8880_8890_+	17.53674067	12.16059148	15.88651464	131.8636895	89.88732182	22.03101691	18.83062581	15.97363243	2.857534571	5.59737057	1.04E-20	6.22E-19	0.029359035	scaffold_245	8880	8890	+	1	JGI_V11_65736	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_245_11155_11161_-	5.258231545	0	10.29054994	18.7931379	31.42476516	6.890397517	7.019410175	8.670584897	2.269566225	3.883722271	3.87E-06	2.51E-05	0.047597042	scaffold_245	11155	11161	-	1	JGI_V11_117590	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_52_346940_346973_+	22.15527658	18.32363704	28.07822652	95.81795468	109.7575833	47.25747491	44.00567183	45.70092818	2.163495582	5.927410663	4.40E-17	1.78E-15	0.018118028	scaffold_52	346940	346973	+	1	JGI_V11_107750	GO:0019028	0	0	FBgn0038783	Q8MSA3
scaffold_58_290842_290886_-	36.03913747	50.16420608	33.71382555	211.8917013	113.1762954	218.5189789	324.4478786	327.527207	2.020234747	7.572018019	1.26E-09	1.70E-08	0.05204871	scaffold_58	290842	290886	-	1	JGI_V11_306978	GO:0019028	0	0	FBgn0261803	NULL
scaffold_182_203797_203910_-	1.39E-17	1.39E-17	1.39E-17	19.08085081	38.859271	0.031159492	5.905863009	0.029806526	7.909121595	3.486918389	5.83E-16	2.08E-14	0.063810181	scaffold_182	203797	203910	-	1	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_182_204092_204123_-	1.39E-17	1.39E-17	1.39E-17	6.373862824	12.93797685	0.029059904	0.011023427	5.611562694	6.335238353	2.524930545	1.69E-07	1.47E-06	0.042412864	scaffold_182	204092	204123	-	1	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_182_204431_204473_-	10.38176422	7.091901121	0	41.44475293	45.16708644	17.0927892	14.59513944	9.34597828	2.88160774	4.508809594	3.49E-12	7.09E-11	0.0373927	scaffold_182	204431	204473	-	1	JGI_V11_204033	GO:0018149	0	0	0	0
scaffold_43_151697_151766_-	42.40690471	44.29355455	44.371211	20.68009624	13.84497003	26.42545512	36.57292394	33.47045898	-1.333342917	5.329863104	3.81E-05	0.000194096	0.019566018	scaffold_43	151697	151766	-	1	JGI_V11_305948	GO:0016998	KOG2850	KOG2850	FBgn0033199	Q7K4J7
scaffold_110_90993_91012_+	7.407303978	11.83001919	8.557279512	1.39E-17	1.39E-17	1.39E-17	1.39E-17	1.39E-17	-6.278479192	2.712475846	2.92E-06	1.94E-05	0.02907805	scaffold_110	90993	91012	+	1	JGI_V11_300846	GO:0016787	KOG3770	KOG3770	FBgn0044328	Q8IQD3
scaffold_13_638270_638373_-	175.3079	195.0869887	217.6437414	35.98439259	26.95259737	92.7710255	94.72877918	108.7085542	-2.634001327	7.121175589	5.06E-26	4.40E-24	0.016735563	scaffold_13	638270	638373	-	1	JGI_V11_209708	GO:0016787	KOG0372	KOG0372	FBgn0023177	O76932
scaffold_58_484622_484669_+	5.007001484	6.948370793	6.526713269	1.39E-17	1.39E-17	7.219952731	6.827269284	7.944574939	-5.699419844	3.026076626	0.000210089	0.000891389	0.025894498	scaffold_58	484622	484669	+	1	JGI_V11_306991	GO:0016787	KOG1378	KOG1378	FBgn0030245	Q9VZ56
scaffold_46_49996_50046_+	28.78414952	34.42213089	34.69929068	6.285353738	0.03057626	18.60021227	17.41612562	27.62711466	-3.310573179	4.741493643	4.92E-11	8.52E-10	0.026862615	scaffold_46	49996	50046	+	1	JGI_V11_55076	"GO:0016773,GO:0003777,GO:0005524,GO:0005875,GO:0007018"	KOG0243	KOG0243	FBgn0004378	P46863
scaffold_46_53634_53639_+	8.741425537	7.124117743	9.811824006	31.23943391	23.84261409	7.600374884	9.128456514	10.87824787	1.671858085	4.147422442	1.89E-05	0.000104318	0.024206882	scaffold_46	53634	53639	+	1	JGI_V11_55076	"GO:0016773,GO:0003777,GO:0005524,GO:0005875,GO:0007018"	KOG0243	KOG0243	FBgn0004378	P46863
scaffold_43_755504_755517_+	84.39082096	83.14975207	76.66938433	160.5611566	151.5415841	158.4795025	134.8378929	212.7113089	0.937691942	7.270803436	7.70E-05	0.000364345	0.024382564	scaffold_43	755504	755517	+	1	JGI_V11_306029	"GO:0016763,GO:0004731,GO:0006139"	KOG3984	KOG3984	FBgn0035348	Q7KV91
scaffold_13_1489606_1489645_-	29.56589894	30.19822007	28.2081187	14.23628319	11.52027727	28.56667688	25.55451062	22.8102664	-1.179950101	4.899088173	0.001307193	0.004592505	0.018882888	scaffold_13	1489606	1489645	-	1	JGI_V11_315212	"GO:0016706,GO:0019538"	KOG3844	KOG3844	0	0
scaffold_9_1625627_1625630_+	13.45695727	10.45572178	13.05663338	56.78482996	32.98389197	32.40047059	33.52031652	31.47196728	1.854808284	5.091744022	9.32E-08	8.54E-07	0.027946634	scaffold_9	1625627	1625630	+	1	JGI_V11_309105	"GO:0016706,GO:0019538"	KOG1591	KOG1591	FBgn0039776	Q9VA69
scaffold_9_1645810_1645825_-	4.798341504	5.900996211	0	20.25160039	8.475027771	15.29032534	18.72976235	20.67531072	1.986967839	3.954158505	0.000474451	0.001851794	0.038760651	scaffold_9	1645810	1645825	-	1	JGI_V11_45616	"GO:0016706,GO:0019538"	KOG1591	KOG1591	FBgn0039776	Q9VA69
scaffold_17_888670_888701_+	201.8562328	216.5859471	182.5303373	61.35337813	60.82115027	68.74513632	63.82536964	91.96734528	-1.711586767	7.122721544	1.96E-13	4.85E-12	0.018745365	scaffold_17	888670	888701	+	1	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_17_890826_890853_+	14.10305289	13.88376513	10.14596887	1.39E-17	1.39E-17	6.041521724	0.011799731	0.029759268	-6.729219923	3.163307587	4.54E-08	4.45E-07	0.033432201	scaffold_17	890826	890853	+	1	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_17_892998_893065_+	15.18377348	15.94976646	17.007945	6.023446306	0.029411421	5.629844488	15.14732872	14.37245779	-2.351394558	3.937213626	0.000120341	0.000540312	0.034327364	scaffold_17	892998	893065	+	1	JGI_V11_302366	GO:0016599	KOG2572	KOG2572	0	0
scaffold_3_183864_183961_-	44.27609119	44.91497541	43.23282217	76.56681709	94.3355846	43.31584629	47.73705863	48.26768661	0.950560068	6.038510066	5.66E-05	0.000278129	0.016197176	scaffold_3	183864	183961	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184095_184248_-	27.43282919	19.69391498	24.46382381	44.89930061	56.85991964	31.03307743	22.78636538	22.62562547	1.088155831	5.248909297	0.000231501	0.000969315	0.022552145	scaffold_3	184095	184248	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184432_184641_-	192.9726157	162.8412325	115.707244	274.8849219	342.7543397	208.8438949	163.3269397	155.6924034	0.97377644	7.872812945	0.000124278	0.000556519	0.033451093	scaffold_3	184432	184641	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_184804_184951_-	121.3720462	98.20985832	79.12670414	196.4943678	227.5865194	149.3813097	121.9257421	124.9278836	1.089484766	7.346539548	1.20E-06	8.79E-06	0.022911765	scaffold_3	184804	184951	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185074_185199_-	74.35671323	58.4677042	51.97631066	126.4340743	147.917112	84.05417905	61.24373918	82.27036003	1.153266023	6.653542124	1.54E-06	1.10E-05	0.023089876	scaffold_3	185074	185199	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185335_185454_-	18.01380388	17.71919732	13.57650963	31.98467186	46.83511445	24.17719604	14.73556689	20.34382342	1.254398093	4.859770781	0.000213536	0.000902632	0.027012582	scaffold_3	185335	185454	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_185642_185689_-	1.39E-17	1.39E-17	1.39E-17	22.9412202	19.11189728	1.39E-17	1.39E-17	1.39E-17	7.449158584	3.026818362	6.69E-15	2.09E-13	0.028462146	scaffold_3	185642	185689	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_3_186192_186226_-	12.31326998	10.8629496	11.14289944	27.42592447	23.02227889	14.27843403	11.06401131	13.13356151	1.131874265	4.313808719	0.002143902	0.007104248	0.02164723	scaffold_3	186192	186226	-	1	JGI_V11_220693	"GO:0016301,GO:0016772"	KOG3581	KOG3581	FBgn0000116	P48610
scaffold_2_29114_29136_+	6.035935919	4.777440132	7.238897081	1.39E-17	1.39E-17	6.193863367	5.962697951	7.200544727	-5.665266374	2.94794637	0.000212241	0.000898276	0.026420345	scaffold_2	29114	29136	+	1	JGI_V11_310076	GO:0016021	KOG2399	KOG2399	FBgn0033323	Q8SZV0
scaffold_25_133711_133715_-	1.39E-17	1.39E-17	1.39E-17	8.440681285	7.484335866	9.17101515	7.665018518	0.075290286	6.061290867	2.775748866	3.31E-06	2.18E-05	0.043150413	scaffold_25	133711	133715	-	1	JGI_V11_32841	"GO:0016020,GO:0030001,GO:0046873"	KOG1558	KOG1558	FBgn0033096	Q7JZR2
scaffold_83_108409_108416_+	8.924761554	10.91384466	9.687367592	28.64514759	31.37338183	23.62697024	26.89191469	27.17842723	1.595171852	4.700244223	1.26E-05	7.26E-05	0.019715392	scaffold_83	108409	108416	+	1	JGI_V11_308636	"GO:0016020,GO:0030001,GO:0046873"	KOG1558	KOG1558	FBgn0033096	Q7JZR2
scaffold_193_29687_29728_-	18.00135037	18.38383477	24.02094599	1.39E-17	1.39E-17	9.595123664	10.97515099	20.38010647	-7.387149178	4.096340617	8.90E-12	1.71E-10	0.030852875	scaffold_193	29687	29728	-	1	JGI_V11_263601	"GO:0016020,GO:0005509"	KOG1215	KOG1215	FBgn0004649	P98163
scaffold_21_1131139_1131306_-	51.78659089	45.27700172	63.19757379	103.5369954	165.6479761	66.6663967	83.48049974	102.7000553	1.33110313	6.642829561	3.95E-06	2.55E-05	0.037217641	scaffold_21	1131139	1131306	-	1	JGI_V11_303430	"GO:0016020,GO:0005489,GO:0006118"	KOG2592	KOG2592	FBgn0028399	Q9U6P4
scaffold_11_216663_216676_+	25.80683619	24.09299537	25.66248067	56.94635248	40.53832045	57.47420728	58.78725649	57.91358028	0.949247027	5.694733453	0.000914797	0.003334063	0.018369649	scaffold_11	216663	216676	+	1	JGI_V11_314322	"GO:0016020,GO:0003677,GO:0005634,GO:0005509,GO:0007160"	KOG1214	KOG1214	FBgn0026403	A1Z876
scaffold_1_2752479_2752534_+	28.21565392	26.94095693	28.75715046	53.95903139	51.6315235	28.92441165	31.99910234	39.68258906	0.913277227	5.453165688	0.000940761	0.003411599	0.018095034	scaffold_1	2752479	2752534	+	1	JGI_V11_205349	GO:0016020	KOG4788	KOG4788	0	0
