consensus.cluster chr start end strand tpm
89 scaffold_1 1659771 1659805 + 70.3173111584883
90 scaffold_1 1659982 1660004 + 24.0771822585536
91 scaffold_1 1662833 1662838 + 334.816157955922
92 scaffold_1 1665636 1665642 + 23.7553288801942
93 scaffold_1 1668802 1668803 + 42.4962719896001
94 scaffold_1 1674376 1674380 + 404.678278792854
95 scaffold_1 1685684 1685685 + 6.3895053476304
96 scaffold_1 1686579 1686580 + 36.8149233301297
97 scaffold_1 1688814 1688817 + 64.4096154235325
98 scaffold_1 1692967 1693004 + 158.338243039444
99 scaffold_1 1732050 1732066 + 88.366834801795
100 scaffold_1 1771289 1771293 + 21.7605579694813
101 scaffold_1 1785032 1785033 + 44.4468271574447
102 scaffold_1 1788840 1788849 + 140.553895600632
103 scaffold_1 1836913 1836939 + 130.384699768595
104 scaffold_1 1841825 1841858 + 623.924922720281
105 scaffold_1 1859006 1859033 + 190.399659807035
106 scaffold_1 1868881 1868934 + 402.080613189466
107 scaffold_1 1913199 1913249 + 42.621361961487
108 scaffold_1 1913528 1913529 + 20.1329938237205
109 scaffold_1 1932673 1932731 + 969.475332283062
110 scaffold_1 1947973 1947979 + 45.2151557177152
111 scaffold_1 1951116 1951119 + 19.9908681528
112 scaffold_1 1962890 1962936 + 441.093526257249
113 scaffold_1 1974465 1974469 + 22.5345013877111
114 scaffold_1 1985516 1985613 + 20824.0619423367
115 scaffold_1 1986019 1986104 + 496.150279048408
116 scaffold_1 1986319 1986321 + 101.410860859459
117 scaffold_1 1986618 1986624 + 448.250191103076
118 scaffold_1 1986939 1986941 + 95.5041306113961
119 scaffold_1 1987249 1987312 + 89.0172753617192
120 scaffold_1 1987414 1987583 + 195.719357511377
121 scaffold_1 1988851 1988852 + 14.3871111327208
122 scaffold_1 2014537 2014541 + 25.8135480696896
123 scaffold_1 2020153 2020158 + 98.8920574464781
124 scaffold_1 2024522 2024527 + 256.82737828425
125 scaffold_1 2034984 2035027 + 368.316766408659
126 scaffold_1 2045729 2045770 + 415.619355303584
127 scaffold_1 2060792 2060825 + 86.1925193957294
128 scaffold_1 2083503 2083540 + 117.340824644353
129 scaffold_1 2087920 2088007 + 270.951905670433
130 scaffold_1 2092269 2092299 + 150.463485333093
131 scaffold_1 2094266 2094267 + 8.85769590487877
132 scaffold_1 2096690 2096746 + 133.525216864508
133 scaffold_1 2180793 2180801 + 283.411718648111
134 scaffold_1 2180987 2180989 + 67.3119003456143
135 scaffold_1 2200277 2200282 + 52.4799928995332
136 scaffold_1 2203887 2203958 + 1004.94374053677
137 scaffold_1 2228353 2228357 + 5.74663911004227
138 scaffold_1 2240871 2240911 + 464.317008872424
139 scaffold_1 2272313 2272314 + 35.5765137812754
140 scaffold_1 2278351 2278352 + 46.6219717900123
141 scaffold_1 2286534 2286586 + 521.352955366692
142 scaffold_1 2292036 2292076 + 76.5244310857156
143 scaffold_1 2298519 2298523 + 247.252412001019
144 scaffold_1 2302992 2302994 + 9.86805795755494
145 scaffold_1 2306933 2306934 + 15.9295990903945
146 scaffold_1 2312440 2312458 + 257.520024327095
147 scaffold_1 2332292 2332319 + 109.697837123699
148 scaffold_1 2332752 2332767 + 44.9478532009857
149 scaffold_1 2364124 2364221 + 7022.29677324887
150 scaffold_1 2379043 2379051 + 301.391129726392
151 scaffold_1 2379162 2379163 + 28.8645945677223
152 scaffold_1 2412627 2412664 + 2338.26368948386
153 scaffold_1 2477229 2477237 + 143.071006823579
154 scaffold_1 2536694 2536719 + 88.2940646105225
155 scaffold_1 2548262 2548263 + 127.211331494586
156 scaffold_1 2548422 2548425 + 31.3033518856743
157 scaffold_1 2558323 2558328 + 84.8924120341253
158 scaffold_1 2570352 2570457 + 178.632548503075
159 scaffold_1 2585736 2585780 + 296.051611089707
160 scaffold_1 2587942 2587946 + 182.674348907358
161 scaffold_1 2637125 2637131 + 2690.03094298707
162 scaffold_1 2640182 2640187 + 44.9755100978993
163 scaffold_1 2645855 2645860 + 205.121245356498
164 scaffold_1 2653001 2653046 + 71.8467448204095
165 scaffold_1 2667137 2667147 + 2066.97122590615
166 scaffold_1 2686975 2686994 + 48.9258562456304
167 scaffold_1 2689123 2689223 + 205.559556497644
168 scaffold_1 2692183 2692185 + 319.37611831
169 scaffold_1 2752511 2752534 + 264.853203846829
170 scaffold_1 2761617 2761631 + 112.473402790631
171 scaffold_1 2763295 2763350 + 1057.72514337215
172 scaffold_1 2796147 2796149 + 52.1906363167097
173 scaffold_1 2812844 2812867 + 78.6630982010025
174 scaffold_1 2826182 2826188 + 649.239481905522
175 scaffold_1 2833758 2833759 + 19.7769251929633
176 scaffold_1 2836719 2836769 + 3409.86886038704
177 scaffold_1 2840000 2840002 + 58.2091168885359
178 scaffold_1 2840190 2840211 + 20.7285769140384
179 scaffold_1 2841128 2841131 + 9.87532048438015
180 scaffold_1 2854396 2854400 + 23.677905080976
181 scaffold_1 2857902 2857907 + 83.2468697486676
182 scaffold_1 2860053 2860079 + 543.176014603065
183 scaffold_1 2860242 2860243 + 27.641747391363
184 scaffold_1 2860371 2860373 + 19.5817203670232
185 scaffold_1 2863991 2863998 + 583.62483502798
186 scaffold_1 2864168 2864314 + 590.791116349669
187 scaffold_1 2876554 2876602 + 91.1109881262979
188 scaffold_1 2923839 2923861 + 107.751474028633
189 scaffold_1 2949833 2949834 + 21.6480995890459
190 scaffold_1 3032962 3032967 + 117.458817938215
191 scaffold_1 3049902 3049903 + 5.50819426519862
192 scaffold_1 3082201 3082301 + 477.115966892994
193 scaffold_1 3088840 3088863 + 253.441396011863
194 scaffold_1 3092768 3092814 + 135.262816888903
195 scaffold_1 3102280 3102293 + 101.957072513076
196 scaffold_1 3116750 3116776 + 125.134820409035
197 scaffold_1 3117140 3117141 + 50.0749267216676
198 scaffold_1 3124446 3124490 + 477.874143901283
199 scaffold_1 3129169 3129170 + 6.94032477415026
200 scaffold_1 3136854 3136858 + 29.660220830754
201 scaffold_1 3213800 3213835 + 182.452767829468
202 scaffold_1 3214101 3214192 + 419.843506595465
203 scaffold_1 3216765 3216910 + 833.028704637473
204 scaffold_1 3222180 3222295 + 1097.34519575173
205 scaffold_1 3226941 3226942 + 32.8068225936806
206 scaffold_1 3272880 3272932 + 668.881027747237
207 scaffold_1 3286041 3286042 + 21.84060323916
208 scaffold_1 3562690 3562692 + 133.932248538772
209 scaffold_1 3768982 3769056 + 1353.16774623792
210 scaffold_1 3771116 3771117 + 49.9416750532735
211 scaffold_1 3773690 3773826 + 2797.62588059224
212 scaffold_1 3774444 3774467 + 46.4809289859679
213 scaffold_1 3776613 3776651 + 577.30514135636
214 scaffold_1 3780350 3780577 + 2885.55679287204
215 scaffold_1 3781684 3781689 + 7.72683578684998
216 scaffold_1 3781793 3781794 + 16.0297121140361
217 scaffold_1 3781955 3781970 + 36.369220498487
218 scaffold_1 3782844 3782855 + 175.362163498994
219 scaffold_1 3865390 3865391 + 214.540620010861
220 scaffold_1 3878267 3878302 + 272.167975643106
221 scaffold_1 3879596 3879613 + 127.400235740253
222 scaffold_1 3900099 3900131 + 278.981822260289
223 scaffold_1 3908088 3908125 + 187.775984112151
224 scaffold_1 3917620 3917624 + 174.789348684217
225 scaffold_1 3922779 3922834 + 384.650894261337
226 scaffold_1 3927168 3927215 + 705.499914800005
227 scaffold_1 3927665 3927666 + 6.00204529271081
228 scaffold_1 3930118 3930121 + 49.1603356375329
229 scaffold_1 3932010 3932011 + 35.1486839909883
230 scaffold_1 3973877 3973931 + 1887.63574405149
231 scaffold_1 3975263 3975264 + 6.17137313697068
232 scaffold_1 3977751 3977776 + 458.169494130496
233 scaffold_1 3978239 3978241 + 37.2929684287646
234 scaffold_1 3982786 3982791 + 383.620140547141
235 scaffold_1 4131150 4131167 + 113.408784376743
236 scaffold_1 4133425 4133429 + 80.8724405259642
237 scaffold_1 4139814 4139860 + 33.378424132339
238 scaffold_1 4181501 4181529 + 162.811304162638
239 scaffold_1 156971 156981 - 76.9533164975432
240 scaffold_1 263033 263044 - 3201.95620390556
241 scaffold_1 324166 324171 - 200.735443324222
242 scaffold_1 328152 328204 - 264.71185666918
243 scaffold_1 335509 335515 - 69.9711896658146
244 scaffold_1 342706 342738 - 230.255325733529
245 scaffold_1 347421 347448 - 119.395255612593
246 scaffold_1 372362 372364 - 197.067903161634
247 scaffold_1 384550 384551 - 6.27934146232643
248 scaffold_1 400146 400184 - 293.20273738508
249 scaffold_1 402294 402304 - 275.136917189179
250 scaffold_1 405496 405517 - 71.1894364742607
251 scaffold_1 423367 423368 - 5.94884980641451
252 scaffold_1 434143 434148 - 93.5617312896302
253 scaffold_1 435481 435482 - 36.9273633988659
254 scaffold_1 440339 440356 - 92.0657226510674
255 scaffold_1 474966 474984 - 346.854941116234
256 scaffold_1 584423 584426 - 53.7189837093262
257 scaffold_1 593209 593226 - 3.12624561348662
258 scaffold_1 594534 594549 - 346.821697594813
259 scaffold_1 597099 597104 - 133.65997650967
260 scaffold_1 605738 605831 - 850.039169269863
261 scaffold_1 612148 612173 - 176.797069735827
262 scaffold_1 620330 620351 - 42.4791279862869
263 scaffold_1 630828 630852 - 95.2578206309048
264 scaffold_1 651671 651705 - 283.188466665059
265 scaffold_1 676487 676543 - 274.073918233923
266 scaffold_1 676767 676844 - 284.064246207644
267 scaffold_1 683391 683447 - 242.194885678132
268 scaffold_1 688155 688156 - 19.7354521501102
269 scaffold_1 692052 692053 - 6.64056074938217
270 scaffold_1 695975 695979 - 775.730828473378
271 scaffold_1 698419 698423 - 14.5112338195452
272 scaffold_1 698533 698552 - 51.0832916145026
273 scaffold_1 702713 702732 - 130.174038900342
274 scaffold_1 728167 728171 - 554.91099738318
275 scaffold_1 848044 848048 - 147.298989187573
276 scaffold_1 854064 854102 - 1169.87303285023
277 scaffold_1 919465 919497 - 320.664552190034
278 scaffold_1 939493 939540 - 354.980863116677
279 scaffold_1 978099 978105 - 33.498293175549
280 scaffold_1 981331 981347 - 31.2707861250174
281 scaffold_1 982984 982985 - 30.4115262804023
282 scaffold_1 986072 986111 - 142.992716526695
283 scaffold_1 1052587 1052592 - 42.0596792054917
284 scaffold_1 1141079 1141110 - 207.787559307521
285 scaffold_1 1247361 1247443 - 514.55590305021
286 scaffold_1 1252828 1252831 - 14.3293162972851
287 scaffold_1 1258709 1258755 - 333.40545693009
288 scaffold_1 1389104 1389172 - 75.5060897296351
289 scaffold_1 1425388 1425395 - 334.219636680347
290 scaffold_1 1434712 1434733 - 218.052173532478
291 scaffold_1 1440447 1440449 - 96.2998767973633
292 scaffold_1 1451368 1451377 - 66.9929035325614
293 scaffold_1 1457827 1457830 - 410.372984575598
294 scaffold_1 1471102 1471156 - 70.4757330020962
295 scaffold_1 1499725 1499734 - 120.898617152235
296 scaffold_1 1514089 1514117 - 577.894791357123
297 scaffold_1 1514910 1514915 - 14.7301391553293
298 scaffold_1 1533572 1533579 - 355.87912578035
299 scaffold_1 1535224 1535226 - 15.7156733589555
300 scaffold_1 1549320 1549355 - 130.689569144928
301 scaffold_1 1570246 1570256 - 286.19742505337
302 scaffold_1 1571883 1571899 - 19.9686137050108
303 scaffold_1 1577598 1577602 - 33.3974613041712
304 scaffold_1 1579937 1579943 - 78.7230090559283
305 scaffold_1 1581213 1581331 - 795.765911134973
306 scaffold_1 1581527 1581533 - 228.727325109956
307 scaffold_1 1588008 1588070 - 291.991236086765
308 scaffold_1 1600906 1600908 - 16.5300893129234
309 scaffold_1 1601217 1601218 - 6.49966923293437
310 scaffold_1 1629597 1629601 - 34.9069204187668
311 scaffold_1 1640268 1640269 - 22.8523705405001
312 scaffold_1 1722847 1722851 - 302.184804656199
313 scaffold_1 1771142 1771143 - 5.34238271558656
314 scaffold_1 1780185 1780188 - 8.4737807575326
315 scaffold_1 1780459 1780460 - 85.3883542724554
316 scaffold_1 1855162 1855165 - 203.211200079532
317 scaffold_1 1855382 1855387 - 112.732312471899
318 scaffold_1 1858955 1858980 - 82.2697853173401
319 scaffold_1 1862540 1862594 - 1384.21498521116
320 scaffold_1 1863874 1863879 - 194.719037147954
321 scaffold_1 1867601 1867602 - 39.6084008931117
322 scaffold_1 1868301 1868394 - 4128.83024295049
323 scaffold_1 1877808 1877823 - 74.7796277159428
324 scaffold_1 1885724 1885749 - 76.8464786383855
325 scaffold_1 1892641 1892645 - 130.379059632211
326 scaffold_1 1893148 1893152 - 309.792269184613
327 scaffold_1 1896235 1896237 - 146.621072031662
328 scaffold_1 1901021 1901026 - 102.492868806503
329 scaffold_1 1903538 1903565 - 267.350813280238
330 scaffold_1 1908653 1908658 - 260.061914310927
331 scaffold_1 1919082 1919096 - 69.4116976992145
332 scaffold_1 1925768 1925790 - 631.668458423508
333 scaffold_1 1926481 1926524 - 79.5125741980409
334 scaffold_1 1930642 1930744 - 1072.05243057053
335 scaffold_1 1944625 1944631 - 17.7529023638314
336 scaffold_1 1945075 1945079 - 38.459941751793
337 scaffold_1 1984959 1984984 - 69.9459692189504
338 scaffold_1 2053700 2053701 - 83.6211991104627
339 scaffold_1 2068043 2068112 - 198.467702673873
340 scaffold_1 2072013 2072032 - 50.0075274824832
341 scaffold_1 2075357 2075358 - 10.4394602229889
342 scaffold_1 2079352 2079410 - 1978.20839766446
343 scaffold_1 2082744 2082756 - 192.138394515706
344 scaffold_1 2091716 2091730 - 121.217909795999
345 scaffold_1 2208521 2208522 - 13.9113771794444
346 scaffold_1 2210156 2210161 - 252.857583779384
347 scaffold_1 2212928 2212979 - 1609.10609373451
348 scaffold_1 2234626 2234636 - 12.3606925880017
349 scaffold_1 2239280 2239298 - 277.053853245604
350 scaffold_1 2239561 2239601 - 72.9465675515659
351 scaffold_1 2252746 2252891 - 246.086253315278
352 scaffold_1 2256561 2256562 - 45.9904077958457
353 scaffold_1 2271211 2271218 - 26.7171642640415
354 scaffold_1 2278175 2278185 - 106.778411238743
355 scaffold_1 2319959 2319975 - 543.951512568278
356 scaffold_1 2322319 2322323 - 28.7412599056869
357 scaffold_1 2327585 2327662 - 711.285157153496
358 scaffold_1 2331999 2332046 - 230.33652336887
359 scaffold_1 2345642 2345670 - 1156.56654065012
360 scaffold_1 2353268 2353358 - 156.521852408855
361 scaffold_1 2359401 2359405 - 50.6972165307942
362 scaffold_1 2369346 2369347 - 91.2912719188506
363 scaffold_1 2405050 2405051 - 5.49123292737372
364 scaffold_1 2405414 2405415 - 20.7842983881372
365 scaffold_1 2410928 2410968 - 627.052179570399
366 scaffold_1 2415010 2415012 - 85.7901092991921
367 scaffold_1 2415527 2415561 - 1099.36103613677
368 scaffold_1 2442689 2442692 - 14.701407100574
369 scaffold_1 2443456 2443463 - 798.886225444645
370 scaffold_1 2464033 2464150 - 393.307323351576
371 scaffold_1 2464269 2464305 - 158.106710415579
372 scaffold_1 2464531 2464595 - 212.519192821353
373 scaffold_1 2464858 2465120 - 1172.52842551327
374 scaffold_1 2465713 2465808 - 134.924748205153
375 scaffold_1 2466613 2466659 - 3423.74752250582
376 scaffold_1 2475865 2475866 - 75.2809924755947
377 scaffold_1 2505913 2505942 - 470.565258334074
378 scaffold_1 2541443 2541481 - 232.191594656591
379 scaffold_1 2569901 2569910 - 121.543767029693
380 scaffold_1 2608424 2608426 - 73.2782411485784
381 scaffold_1 2610838 2610839 - 29.6481890783683
382 scaffold_1 2611167 2611170 - 233.159612303712
383 scaffold_1 2616281 2616300 - 175.577443280259
384 scaffold_1 2619231 2619345 - 69.7035209944921
385 scaffold_1 2622994 2622998 - 68.8430505872587
386 scaffold_1 2632437 2632440 - 96.6911139537627
387 scaffold_1 2636058 2636132 - 1344.41539904663
388 scaffold_1 2644528 2644630 - 738.843718220709
389 scaffold_1 2651965 2652028 - 93.6628841447215
390 scaffold_1 2652200 2652262 - 131.910061297346
391 scaffold_1 2652424 2652479 - 1864.28413744367
392 scaffold_1 2652745 2652790 - 2796.48263778054
393 scaffold_1 2665614 2665619 - 98.4525058240085
394 scaffold_1 2737967 2737968 - 17.3142664479201
395 scaffold_1 2752125 2752127 - 16.610103435289
396 scaffold_1 2786084 2786112 - 169.470496563062
397 scaffold_1 2791022 2791054 - 75.0615692180282
398 scaffold_1 2794973 2794977 - 63.9294658940842
399 scaffold_1 2795410 2795466 - 6141.25379314918
400 scaffold_1 2874058 2874059 - 5.28786649459068
401 scaffold_1 2876326 2876396 - 822.38548490783
402 scaffold_1 2879731 2879789 - 395.952158876459
403 scaffold_1 2923115 2923139 - 23.3334315657005
404 scaffold_1 2923267 2923270 - 59.7451289336194
405 scaffold_1 2935640 2935663 - 281.779530401389
406 scaffold_1 3004095 3004103 - 223.501847821154
407 scaffold_1 3006625 3006626 - 14.399721689629
408 scaffold_1 3013758 3013764 - 190.278509777015
409 scaffold_1 3040236 3040241 - 51.2884354705292
410 scaffold_1 3040398 3040471 - 68.2858581258429
411 scaffold_1 3079912 3079962 - 95.3520090529484
412 scaffold_1 3097686 3097687 - 100.016771984504
413 scaffold_1 3100600 3100602 - 170.742765924709
414 scaffold_1 3111018 3111019 - 21.3786517834006
415 scaffold_1 3111129 3111132 - 38.0399459554865
416 scaffold_1 3115212 3115255 - 1125.96018258382
417 scaffold_1 3121520 3121521 - 11.2730167910396
418 scaffold_1 3208359 3208364 - 176.858951753367
419 scaffold_1 3213388 3213395 - 24.2968316338885
420 scaffold_1 3242152 3242242 - 82.905110551049
421 scaffold_1 3244289 3244290 - 5.36352983603945
422 scaffold_1 3248352 3248360 - 46.6303185687012
423 scaffold_1 3252186 3252188 - 192.738550539555
424 scaffold_1 3271686 3271701 - 484.492908718484
425 scaffold_1 3275378 3275471 - 6727.32517087487
426 scaffold_1 3299015 3299048 - 169.943083189888
427 scaffold_1 3336932 3336955 - 125.51231956298
428 scaffold_1 3368325 3368326 - 21.4690224144674
429 scaffold_1 3562405 3562418 - 2301.43923425472
430 scaffold_1 3752564 3752567 - 32.983834801754
431 scaffold_1 3752741 3752780 - 420.903864232496
432 scaffold_1 3765597 3765614 - 62.9774642390885
433 scaffold_1 3850588 3850591 - 67.043370459028
434 scaffold_1 3861584 3861623 - 256.672191282404
435 scaffold_1 3863776 3863820 - 466.712071276059
436 scaffold_1 3877435 3877481 - 106.549399923921
437 scaffold_1 3897521 3897544 - 108.35449922746
438 scaffold_1 3899168 3899216 - 267.464755326815
439 scaffold_1 3914306 3914307 - 5.14304357818685
440 scaffold_1 3914417 3914425 - 229.012323210056
441 scaffold_1 3922462 3922524 - 684.673672463057
442 scaffold_1 3959352 3959369 - 1159.52543000973
443 scaffold_1 3970500 3970573 - 261.320390297663
444 scaffold_1 3977653 3977712 - 364.791300476901
445 scaffold_1 3980278 3980284 - 65.7050417675226
446 scaffold_1 4048773 4048777 - 235.989488879969
447 scaffold_1 4117569 4117574 - 85.9669588648016
448 scaffold_1 4131094 4131095 - 103.077966103045
449 scaffold_1 4149096 4149097 - 5.38505136665872
450 scaffold_1 4155602 4155648 - 1084.67015145031
451 scaffold_1 4157544 4157564 - 47.8144251296103
452 scaffold_1 4160608 4160609 - 5.98715304332976
453 scaffold_1 4163484 4163569 - 317.502062210228
454 scaffold_1 4187175 4187283 - 782.025224405555
455 scaffold_1 4189643 4189661 - 86.7834842337668
456 scaffold_1 4192422 4192460 - 344.255711629616
457 scaffold_10 27600 27608 + 430.904053481844
458 scaffold_10 38885 38888 + 68.4306664733181
459 scaffold_10 39109 39169 + 69.1647870258726
460 scaffold_10 39320 39411 + 171.851155372698
461 scaffold_10 39519 39599 + 640.480760554122
462 scaffold_10 41059 41066 + 195.931507642423
463 scaffold_10 43374 43375 + 11.2892202709239
464 scaffold_10 49153 49157 + 113.286936541068
465 scaffold_10 68155 68159 + 250.232499436351
466 scaffold_10 89707 89753 + 138.268493377601
467 scaffold_10 93320 93328 + 113.13171296074
468 scaffold_10 100163 100169 + 147.694021410858
469 scaffold_10 122098 122126 + 1133.91280624244
470 scaffold_10 169980 169981 + 232.149806946969
471 scaffold_10 220343 220392 + 993.951544772014
472 scaffold_10 223564 223565 + 64.8805876567878
473 scaffold_10 271945 271994 + 725.249273492106
474 scaffold_10 278100 278195 + 1286.91625196875
475 scaffold_10 286291 286295 + 43.1795706790803
476 scaffold_10 307522 307606 + 1774.44396564864
477 scaffold_10 307727 307748 + 40.0116788195356
478 scaffold_10 321055 321061 + 130.851360823102
479 scaffold_10 380379 380380 + 27.7569472935454
480 scaffold_10 385731 385767 + 692.028006329635
481 scaffold_10 411119 411120 + 37.8681982654808
482 scaffold_10 417349 417352 + 79.2548366335122
483 scaffold_10 425252 425255 + 118.774864909978
484 scaffold_10 430188 430191 + 36.4746639165056
485 scaffold_10 454431 454463 + 102.342536130026
486 scaffold_10 457129 457140 + 163.852394712598
487 scaffold_10 462110 462111 + 61.7313499955651
488 scaffold_10 476931 476965 + 188.518339593576
489 scaffold_10 493618 493647 + 281.578026949565
490 scaffold_10 493947 493951 + 55.2333316685392
491 scaffold_10 521208 521210 + 69.3586861794176
492 scaffold_10 522696 522713 + 23576.658438915
493 scaffold_10 522836 523092 + 4671.06045939288
494 scaffold_10 548312 548321 + 256.117232451302
495 scaffold_10 583534 583541 + 971.036991957361
496 scaffold_10 599027 599060 + 563.694222222207
497 scaffold_10 600315 600322 + 657.514754959008
498 scaffold_10 610829 610832 + 255.95682815167
499 scaffold_10 624408 624427 + 7.85975538592214
500 scaffold_10 626990 626992 + 127.575090552673
501 scaffold_10 630115 630195 + 272.525743750922
502 scaffold_10 635011 635021 + 2550.45069971744
503 scaffold_10 644257 644270 + 30.779758711897
504 scaffold_10 661026 661027 + 224.691470019192
505 scaffold_10 662841 662846 + 179.437431405205
506 scaffold_10 666588 666593 + 112.274748443486
507 scaffold_10 670066 670072 + 76.56124941591
508 scaffold_10 673198 673205 + 1130.25509518519
509 scaffold_10 673526 673532 + 119.070486330331
510 scaffold_10 674360 674404 + 57.6436182066869
511 scaffold_10 679492 679529 + 93.9086110667273
512 scaffold_10 690674 690675 + 7.05048865945424
513 scaffold_10 698638 698643 + 217.538657985001
514 scaffold_10 722832 722835 + 19.5035266538453
515 scaffold_10 732256 732257 + 12.6595673799179
516 scaffold_10 793530 793535 + 51.3678645339127
517 scaffold_10 831418 831497 + 56.7605963068908
518 scaffold_10 856874 856875 + 35.2359970222921
519 scaffold_10 878981 878997 + 157.204086788904
520 scaffold_10 881559 881625 + 10216.7471839681
521 scaffold_10 882461 882468 + 179.777784602583
522 scaffold_10 882665 882776 + 5406.23361103652
523 scaffold_10 882904 882957 + 413.364926280079
524 scaffold_10 883069 883107 + 575.926916017354
525 scaffold_10 883447 883473 + 94.4750269928471
526 scaffold_10 883617 883867 + 2031.49484753117
527 scaffold_10 884104 884175 + 1005.53631426144
528 scaffold_10 884312 884313 + 51.9014168264358
529 scaffold_10 884439 884440 + 10.4840504704283
530 scaffold_10 887360 887366 + 147.117142767044
531 scaffold_10 887583 887587 + 119.082773617938
532 scaffold_10 908425 908451 + 76.4110667973127
533 scaffold_10 920905 920914 + 1920.15041560808
534 scaffold_10 928060 928062 + 303.97059616736
535 scaffold_10 932291 932311 + 105.859465983551
536 scaffold_10 937370 937378 + 573.760461149914
537 scaffold_10 966114 966121 + 875.270958219731
538 scaffold_10 966409 966428 + 5.14304357818685
539 scaffold_10 969115 969121 + 790.351343869895
540 scaffold_10 974159 974166 + 859.413076403362
541 scaffold_10 988023 988026 + 25.5581395435204
