#1_usercol	2_usercol	3_usercol	4_usercol	5_usercol	6_usercol	7_usercol	8_usercol	9_usercol	10_pct_at	11_pct_gc	12_num_A	13_num_C	14_num_G	15_num_T	16_num_N	17_num_oth	18_seq_len
scaffold_1	601270	601305	.	0	+	601270	601305	0	0.771429	0.228571	15	4	4	12	0	0	35
scaffold_1	638898	638899	.	0	+	638898	638899	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	642144	642148	.	0	+	642144	642148	0	0.500000	0.500000	1	1	1	1	0	0	4
scaffold_1	645397	645444	.	0	+	645397	645444	0	0.574468	0.425532	10	9	11	17	0	0	47
scaffold_1	704277	704327	.	0	+	704277	704327	0	0.520000	0.480000	10	13	11	16	0	0	50
scaffold_1	901920	901958	.	0	+	901920	901958	0	0.684211	0.315789	11	6	6	15	0	0	38
scaffold_1	919853	919867	.	0	+	919853	919867	0	0.428571	0.571429	2	3	5	4	0	0	14
scaffold_1	932311	932326	.	0	+	932311	932326	0	0.400000	0.600000	4	4	5	2	0	0	15
scaffold_1	934138	934162	.	0	+	934138	934162	0	0.500000	0.500000	7	9	3	5	0	0	24
scaffold_1	957583	957584	.	0	+	957583	957584	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	978322	978331	.	0	+	978322	978331	0	0.888889	0.111111	6	1	0	2	0	0	9
scaffold_1	986179	986322	.	0	+	986179	986322	0	0.636364	0.363636	35	27	25	56	0	0	143
scaffold_1	986839	986848	.	0	+	986839	986848	0	0.555556	0.444444	4	0	4	1	0	0	9
scaffold_1	989290	989313	.	0	+	989290	989313	0	0.521739	0.478261	4	4	7	8	0	0	23
scaffold_1	995583	995759	.	0	+	995583	995759	0	0.465909	0.534091	49	37	57	33	0	0	176
scaffold_1	998645	998649	.	0	+	998645	998649	0	0.750000	0.250000	3	1	0	0	0	0	4
scaffold_1	1000904	1001064	.	0	+	1000904	1001064	0	0.493750	0.506250	28	35	46	51	0	0	160
scaffold_1	1001249	1001290	.	0	+	1001249	1001290	0	0.609756	0.390244	16	10	6	9	0	0	41
scaffold_1	1001450	1001454	.	0	+	1001450	1001454	0	0.250000	0.750000	1	2	1	0	0	0	4
scaffold_1	1002449	1002452	.	0	+	1002449	1002452	0	0.333333	0.666667	0	1	1	1	0	0	3
scaffold_1	1003940	1003966	.	0	+	1003940	1003966	0	0.346154	0.653846	4	6	11	5	0	0	26
scaffold_1	1004706	1004726	.	0	+	1004706	1004726	0	0.500000	0.500000	6	3	7	4	0	0	20
scaffold_1	1006322	1006323	.	0	+	1006322	1006323	0	0.000000	1.000000	0	1	0	0	0	0	1
scaffold_1	1007281	1007303	.	0	+	1007281	1007303	0	0.454545	0.545455	7	3	9	3	0	0	22
scaffold_1	1008363	1008545	.	0	+	1008363	1008545	0	0.593407	0.406593	67	44	30	41	0	0	182
scaffold_1	1111413	1111417	.	0	+	1111413	1111417	0	0.750000	0.250000	2	1	0	1	0	0	4
scaffold_1	1142710	1142715	.	0	+	1142710	1142715	0	0.400000	0.600000	1	1	2	1	0	0	5
scaffold_1	1180793	1180794	.	0	+	1180793	1180794	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1253015	1253028	.	0	+	1253015	1253028	0	0.692308	0.307692	3	1	3	6	0	0	13
scaffold_1	1269185	1269192	.	0	+	1269185	1269192	0	0.714286	0.285714	2	2	0	3	0	0	7
scaffold_1	1269414	1269415	.	0	+	1269414	1269415	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1327887	1327889	.	0	+	1327887	1327889	0	0.500000	0.500000	1	1	0	0	0	0	2
scaffold_1	1359635	1359638	.	0	+	1359635	1359638	0	0.333333	0.666667	0	0	2	1	0	0	3
scaffold_1	1389417	1389617	.	0	+	1389417	1389617	0	0.665000	0.335000	52	33	34	81	0	0	200
scaffold_1	1394059	1394080	.	0	+	1394059	1394080	0	0.380952	0.619048	4	10	3	4	0	0	21
scaffold_1	1394657	1394660	.	0	+	1394657	1394660	0	0.666667	0.333333	2	0	1	0	0	0	3
scaffold_1	1403266	1403272	.	0	+	1403266	1403272	0	0.500000	0.500000	2	2	1	1	0	0	6
scaffold_1	1478744	1478781	.	0	+	1478744	1478781	0	0.486486	0.513514	10	5	14	8	0	0	37
scaffold_1	1515529	1515538	.	0	+	1515529	1515538	0	0.222222	0.777778	1	3	4	1	0	0	9
scaffold_1	1588593	1588638	.	0	+	1588593	1588638	0	0.555556	0.444444	9	14	6	16	0	0	45
scaffold_1	1591712	1591715	.	0	+	1591712	1591715	0	0.333333	0.666667	1	1	1	0	0	0	3
scaffold_1	1614087	1614098	.	0	+	1614087	1614098	0	0.272727	0.727273	3	4	4	0	0	0	11
scaffold_1	1623655	1623685	.	0	+	1623655	1623685	0	0.533333	0.466667	6	7	7	10	0	0	30
scaffold_1	1629086	1629087	.	0	+	1629086	1629087	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1636865	1636866	.	0	+	1636865	1636866	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1640782	1640792	.	0	+	1640782	1640792	0	0.600000	0.400000	4	1	3	2	0	0	10
scaffold_1	1647765	1647798	.	0	+	1647765	1647798	0	0.454545	0.545455	11	10	8	4	0	0	33
scaffold_1	1651966	1651971	.	0	+	1651966	1651971	0	0.400000	0.600000	2	2	1	0	0	0	5
scaffold_1	1657519	1657520	.	0	+	1657519	1657520	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1659771	1659805	.	0	+	1659771	1659805	0	0.441176	0.558824	12	6	13	3	0	0	34
scaffold_1	1659982	1660004	.	0	+	1659982	1660004	0	0.409091	0.590909	3	7	6	6	0	0	22
scaffold_1	1662833	1662838	.	0	+	1662833	1662838	0	0.600000	0.400000	2	2	0	1	0	0	5
scaffold_1	1665636	1665642	.	0	+	1665636	1665642	0	0.666667	0.333333	3	1	1	1	0	0	6
scaffold_1	1668802	1668803	.	0	+	1668802	1668803	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1674376	1674380	.	0	+	1674376	1674380	0	1.000000	0.000000	3	0	0	1	0	0	4
scaffold_1	1685684	1685685	.	0	+	1685684	1685685	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1686579	1686580	.	0	+	1686579	1686580	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	1688814	1688817	.	0	+	1688814	1688817	0	0.333333	0.666667	1	1	1	0	0	0	3
scaffold_1	1692967	1693004	.	0	+	1692967	1693004	0	0.648649	0.351351	12	7	6	12	0	0	37
scaffold_1	1732050	1732066	.	0	+	1732050	1732066	0	0.687500	0.312500	2	3	2	9	0	0	16
scaffold_1	1771289	1771293	.	0	+	1771289	1771293	0	0.500000	0.500000	2	1	1	0	0	0	4
scaffold_1	1785032	1785033	.	0	+	1785032	1785033	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	1788840	1788849	.	0	+	1788840	1788849	0	0.666667	0.333333	4	2	1	2	0	0	9
scaffold_1	1836913	1836939	.	0	+	1836913	1836939	0	0.615385	0.384615	7	5	5	9	0	0	26
scaffold_1	1841825	1841858	.	0	+	1841825	1841858	0	0.515152	0.484848	9	7	9	8	0	0	33
scaffold_1	1859006	1859033	.	0	+	1859006	1859033	0	0.518519	0.481481	8	8	5	6	0	0	27
scaffold_1	1868881	1868934	.	0	+	1868881	1868934	0	0.509434	0.490566	11	13	13	16	0	0	53
scaffold_1	1913199	1913249	.	0	+	1913199	1913249	0	0.600000	0.400000	24	12	8	6	0	0	50
scaffold_1	1913528	1913529	.	0	+	1913528	1913529	0	0.000000	1.000000	0	1	0	0	0	0	1
scaffold_1	1932673	1932731	.	0	+	1932673	1932731	0	0.500000	0.500000	16	10	19	13	0	0	58
scaffold_1	1947973	1947979	.	0	+	1947973	1947979	0	0.666667	0.333333	1	1	1	3	0	0	6
scaffold_1	1951116	1951119	.	0	+	1951116	1951119	0	0.666667	0.333333	1	0	1	1	0	0	3
scaffold_1	1962890	1962936	.	0	+	1962890	1962936	0	0.652174	0.347826	14	5	11	16	0	0	46
scaffold_1	1974465	1974469	.	0	+	1974465	1974469	0	0.750000	0.250000	2	1	0	1	0	0	4
scaffold_1	1985516	1985613	.	0	+	1985516	1985613	0	0.453608	0.546392	19	28	25	25	0	0	97
scaffold_1	1986019	1986104	.	0	+	1986019	1986104	0	0.411765	0.588235	16	23	27	19	0	0	85
scaffold_1	1986319	1986321	.	0	+	1986319	1986321	0	0.500000	0.500000	0	0	1	1	0	0	2
scaffold_1	1986618	1986624	.	0	+	1986618	1986624	0	0.333333	0.666667	1	0	4	1	0	0	6
scaffold_1	1986939	1986941	.	0	+	1986939	1986941	0	0.500000	0.500000	0	0	1	1	0	0	2
scaffold_1	1987249	1987312	.	0	+	1987249	1987312	0	0.444444	0.555556	11	19	16	17	0	0	63
scaffold_1	1987414	1987583	.	0	+	1987414	1987583	0	0.437870	0.562130	27	60	35	47	0	0	169
scaffold_1	1988851	1988852	.	0	+	1988851	1988852	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2014537	2014541	.	0	+	2014537	2014541	0	0.500000	0.500000	1	1	1	1	0	0	4
scaffold_1	2020153	2020158	.	0	+	2020153	2020158	0	0.600000	0.400000	1	2	0	2	0	0	5
scaffold_1	2024522	2024527	.	0	+	2024522	2024527	0	0.400000	0.600000	1	1	2	1	0	0	5
scaffold_1	2034984	2035027	.	0	+	2034984	2035027	0	0.558140	0.441860	12	9	10	12	0	0	43
scaffold_1	2045729	2045770	.	0	+	2045729	2045770	0	0.658537	0.341463	13	6	8	14	0	0	41
scaffold_1	2060792	2060825	.	0	+	2060792	2060825	0	0.575758	0.424242	16	6	8	3	0	0	33
scaffold_1	2083503	2083540	.	0	+	2083503	2083540	0	0.513514	0.486486	9	9	9	10	0	0	37
scaffold_1	2087920	2088007	.	0	+	2087920	2088007	0	0.586207	0.413793	28	15	21	23	0	0	87
scaffold_1	2092269	2092299	.	0	+	2092269	2092299	0	0.533333	0.466667	13	0	14	3	0	0	30
scaffold_1	2094266	2094267	.	0	+	2094266	2094267	0	1.000000	0.000000	0	0	0	1	0	0	1
scaffold_1	2096690	2096746	.	0	+	2096690	2096746	0	0.642857	0.357143	8	8	12	28	0	0	56
scaffold_1	2180793	2180801	.	0	+	2180793	2180801	0	0.375000	0.625000	2	2	3	1	0	0	8
scaffold_1	2180987	2180989	.	0	+	2180987	2180989	0	0.500000	0.500000	1	0	1	0	0	0	2
scaffold_1	2200277	2200282	.	0	+	2200277	2200282	0	0.600000	0.400000	2	1	1	1	0	0	5
scaffold_1	2203887	2203958	.	0	+	2203887	2203958	0	0.563380	0.436620	16	20	11	24	0	0	71
scaffold_1	2228353	2228357	.	0	+	2228353	2228357	0	0.750000	0.250000	2	0	1	1	0	0	4
scaffold_1	2240871	2240911	.	0	+	2240871	2240911	0	0.575000	0.425000	13	6	11	10	0	0	40
scaffold_1	2272313	2272314	.	0	+	2272313	2272314	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2278351	2278352	.	0	+	2278351	2278352	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2286534	2286586	.	0	+	2286534	2286586	0	0.596154	0.403846	11	10	11	20	0	0	52
scaffold_1	2292036	2292076	.	0	+	2292036	2292076	0	0.700000	0.300000	8	4	8	20	0	0	40
scaffold_1	2298519	2298523	.	0	+	2298519	2298523	0	0.750000	0.250000	1	0	1	2	0	0	4
scaffold_1	2302992	2302994	.	0	+	2302992	2302994	0	0.500000	0.500000	0	0	1	1	0	0	2
scaffold_1	2306933	2306934	.	0	+	2306933	2306934	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	2312440	2312458	.	0	+	2312440	2312458	0	0.722222	0.277778	5	1	4	8	0	0	18
scaffold_1	2332292	2332319	.	0	+	2332292	2332319	0	0.592593	0.407407	8	4	7	8	0	0	27
scaffold_1	2332752	2332767	.	0	+	2332752	2332767	0	0.666667	0.333333	6	3	2	4	0	0	15
scaffold_1	2364124	2364221	.	0	+	2364124	2364221	0	0.546392	0.453608	19	20	24	34	0	0	97
scaffold_1	2379043	2379051	.	0	+	2379043	2379051	0	0.500000	0.500000	2	2	2	2	0	0	8
scaffold_1	2379162	2379163	.	0	+	2379162	2379163	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2412627	2412664	.	0	+	2412627	2412664	0	0.594595	0.405405	9	7	8	13	0	0	37
scaffold_1	2477229	2477237	.	0	+	2477229	2477237	0	0.500000	0.500000	1	2	2	3	0	0	8
scaffold_1	2536694	2536719	.	0	+	2536694	2536719	0	0.600000	0.400000	6	4	6	9	0	0	25
scaffold_1	2548262	2548263	.	0	+	2548262	2548263	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2548422	2548425	.	0	+	2548422	2548425	0	0.666667	0.333333	2	1	0	0	0	0	3
scaffold_1	2558323	2558328	.	0	+	2558323	2558328	0	0.600000	0.400000	2	1	1	1	0	0	5
scaffold_1	2570352	2570457	.	0	+	2570352	2570457	0	0.733333	0.266667	21	11	17	56	0	0	105
scaffold_1	2585736	2585780	.	0	+	2585736	2585780	0	0.659091	0.340909	17	5	10	12	0	0	44
scaffold_1	2587942	2587946	.	0	+	2587942	2587946	0	0.750000	0.250000	3	1	0	0	0	0	4
scaffold_1	2637125	2637131	.	0	+	2637125	2637131	0	0.333333	0.666667	0	2	2	2	0	0	6
scaffold_1	2640182	2640187	.	0	+	2640182	2640187	0	0.600000	0.400000	3	2	0	0	0	0	5
scaffold_1	2645855	2645860	.	0	+	2645855	2645860	0	0.800000	0.200000	2	1	0	2	0	0	5
scaffold_1	2653001	2653046	.	0	+	2653001	2653046	0	0.600000	0.400000	12	8	10	15	0	0	45
scaffold_1	2667137	2667147	.	0	+	2667137	2667147	0	0.500000	0.500000	2	2	3	3	0	0	10
scaffold_1	2686975	2686994	.	0	+	2686975	2686994	0	0.368421	0.631579	2	7	5	5	0	0	19
scaffold_1	2689123	2689223	.	0	+	2689123	2689223	0	0.390000	0.610000	29	40	21	10	0	0	100
scaffold_1	2692183	2692185	.	0	+	2692183	2692185	0	0.500000	0.500000	1	1	0	0	0	0	2
scaffold_1	2752511	2752534	.	0	+	2752511	2752534	0	0.608696	0.391304	9	6	3	5	0	0	23
scaffold_1	2761617	2761631	.	0	+	2761617	2761631	0	0.214286	0.785714	0	6	5	3	0	0	14
scaffold_1	2763295	2763350	.	0	+	2763295	2763350	0	0.545455	0.454545	11	14	11	19	0	0	55
scaffold_1	2796147	2796149	.	0	+	2796147	2796149	0	0.000000	1.000000	0	0	2	0	0	0	2
scaffold_1	2812844	2812867	.	0	+	2812844	2812867	0	0.652174	0.347826	5	3	5	10	0	0	23
scaffold_1	2826182	2826188	.	0	+	2826182	2826188	0	0.500000	0.500000	2	2	1	1	0	0	6
scaffold_1	2833758	2833759	.	0	+	2833758	2833759	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	2836719	2836769	.	0	+	2836719	2836769	0	0.540000	0.460000	10	14	9	17	0	0	50
scaffold_1	2840000	2840002	.	0	+	2840000	2840002	0	0.500000	0.500000	1	1	0	0	0	0	2
scaffold_1	2840190	2840211	.	0	+	2840190	2840211	0	0.428571	0.571429	6	5	7	3	0	0	21
scaffold_1	2841128	2841131	.	0	+	2841128	2841131	0	0.000000	1.000000	0	1	2	0	0	0	3
scaffold_1	2854396	2854400	.	0	+	2854396	2854400	0	0.500000	0.500000	1	1	1	1	0	0	4
scaffold_1	2857902	2857907	.	0	+	2857902	2857907	0	0.800000	0.200000	3	1	0	1	0	0	5
scaffold_1	2860053	2860079	.	0	+	2860053	2860079	0	0.538462	0.461538	2	6	6	12	0	0	26
scaffold_1	2860242	2860243	.	0	+	2860242	2860243	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	2860371	2860373	.	0	+	2860371	2860373	0	0.500000	0.500000	1	1	0	0	0	0	2
scaffold_1	2863991	2863998	.	0	+	2863991	2863998	0	0.571429	0.428571	2	3	0	2	0	0	7
scaffold_1	2864168	2864314	.	0	+	2864168	2864314	0	0.527397	0.472603	54	31	38	23	0	0	146
scaffold_1	2876554	2876602	.	0	+	2876554	2876602	0	0.500000	0.500000	8	12	12	16	0	0	48
scaffold_1	2923839	2923861	.	0	+	2923839	2923861	0	0.590909	0.409091	9	2	7	4	0	0	22
scaffold_1	2949833	2949834	.	0	+	2949833	2949834	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3032962	3032967	.	0	+	3032962	3032967	0	0.800000	0.200000	2	0	1	2	0	0	5
scaffold_1	3049902	3049903	.	0	+	3049902	3049903	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3082201	3082301	.	0	+	3082201	3082301	0	0.640000	0.360000	39	17	19	25	0	0	100
scaffold_1	3088840	3088863	.	0	+	3088840	3088863	0	0.521739	0.478261	4	5	6	8	0	0	23
scaffold_1	3092768	3092814	.	0	+	3092768	3092814	0	0.586957	0.413043	16	12	7	11	0	0	46
scaffold_1	3102280	3102293	.	0	+	3102280	3102293	0	0.615385	0.384615	2	3	2	6	0	0	13
scaffold_1	3116750	3116776	.	0	+	3116750	3116776	0	0.653846	0.346154	5	7	2	12	0	0	26
scaffold_1	3117140	3117141	.	0	+	3117140	3117141	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3124446	3124490	.	0	+	3124446	3124490	0	0.636364	0.363636	16	10	6	12	0	0	44
scaffold_1	3129169	3129170	.	0	+	3129169	3129170	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3136854	3136858	.	0	+	3136854	3136858	0	0.250000	0.750000	1	1	2	0	0	0	4
scaffold_1	3213800	3213835	.	0	+	3213800	3213835	0	0.514286	0.485714	6	6	11	12	0	0	35
scaffold_1	3214101	3214192	.	0	+	3214101	3214192	0	0.538462	0.461538	26	21	21	23	0	0	91
scaffold_1	3216765	3216910	.	0	+	3216765	3216910	0	0.524138	0.475862	31	31	38	45	0	0	145
scaffold_1	3222180	3222295	.	0	+	3222180	3222295	0	0.573913	0.426087	33	28	21	33	0	0	115
scaffold_1	3226941	3226942	.	0	+	3226941	3226942	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3272880	3272932	.	0	+	3272880	3272932	0	0.480769	0.519231	11	15	12	14	0	0	52
scaffold_1	3286041	3286042	.	0	+	3286041	3286042	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3562690	3562692	.	0	+	3562690	3562692	0	0.500000	0.500000	1	1	0	0	0	0	2
scaffold_1	3768982	3769056	.	0	+	3768982	3769056	0	0.581081	0.418919	20	8	23	23	0	0	74
scaffold_1	3771116	3771117	.	0	+	3771116	3771117	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3773690	3773826	.	0	+	3773690	3773826	0	0.602941	0.397059	36	30	24	46	0	0	136
scaffold_1	3774444	3774467	.	0	+	3774444	3774467	0	0.434783	0.565217	7	5	8	3	0	0	23
scaffold_1	3776613	3776651	.	0	+	3776613	3776651	0	0.526316	0.473684	7	9	9	13	0	0	38
scaffold_1	3780350	3780577	.	0	+	3780350	3780577	0	0.528634	0.471366	47	56	51	73	0	0	227
scaffold_1	3781684	3781689	.	0	+	3781684	3781689	0	0.200000	0.800000	1	1	3	0	0	0	5
scaffold_1	3781793	3781794	.	0	+	3781793	3781794	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	3781955	3781970	.	0	+	3781955	3781970	0	0.600000	0.400000	6	3	3	3	0	0	15
scaffold_1	3782844	3782855	.	0	+	3782844	3782855	0	0.454545	0.545455	1	3	3	4	0	0	11
scaffold_1	3865390	3865391	.	0	+	3865390	3865391	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3878267	3878302	.	0	+	3878267	3878302	0	0.571429	0.428571	5	8	7	15	0	0	35
scaffold_1	3879596	3879613	.	0	+	3879596	3879613	0	0.470588	0.529412	3	3	6	5	0	0	17
scaffold_1	3900099	3900131	.	0	+	3900099	3900131	0	0.718750	0.281250	12	4	5	11	0	0	32
scaffold_1	3908088	3908125	.	0	+	3908088	3908125	0	0.648649	0.351351	14	7	6	10	0	0	37
scaffold_1	3917620	3917624	.	0	+	3917620	3917624	0	0.500000	0.500000	2	1	1	0	0	0	4
scaffold_1	3922779	3922834	.	0	+	3922779	3922834	0	0.509091	0.490909	16	15	12	12	0	0	55
scaffold_1	3927168	3927215	.	0	+	3927168	3927215	0	0.510638	0.489362	16	7	16	8	0	0	47
scaffold_1	3927665	3927666	.	0	+	3927665	3927666	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	3930118	3930121	.	0	+	3930118	3930121	0	0.333333	0.666667	1	1	1	0	0	0	3
scaffold_1	3932010	3932011	.	0	+	3932010	3932011	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	3973877	3973931	.	0	+	3973877	3973931	0	0.518519	0.481481	16	15	11	12	0	0	54
scaffold_1	3975263	3975264	.	0	+	3975263	3975264	0	0.000000	1.000000	0	0	1	0	0	0	1
scaffold_1	3977751	3977776	.	0	+	3977751	3977776	0	0.520000	0.480000	8	4	8	5	0	0	25
scaffold_1	3978239	3978241	.	0	+	3978239	3978241	0	0.000000	1.000000	0	0	2	0	0	0	2
scaffold_1	3982786	3982791	.	0	+	3982786	3982791	0	0.600000	0.400000	2	1	1	1	0	0	5
scaffold_1	4131150	4131167	.	0	+	4131150	4131167	0	0.529412	0.470588	7	4	4	2	0	0	17
scaffold_1	4133425	4133429	.	0	+	4133425	4133429	0	0.750000	0.250000	2	0	1	1	0	0	4
scaffold_1	4139814	4139860	.	0	+	4139814	4139860	0	0.521739	0.478261	15	12	10	9	0	0	46
scaffold_1	4181501	4181529	.	0	+	4181501	4181529	0	0.678571	0.321429	8	2	7	11	0	0	28
scaffold_1	156971	156981	.	0	-	156971	156981	0	0.700000	0.300000	4	1	2	3	0	0	10
scaffold_1	263033	263044	.	0	-	263033	263044	0	0.727273	0.272727	2	1	2	6	0	0	11
scaffold_1	324166	324171	.	0	-	324166	324171	0	0.800000	0.200000	2	1	0	2	0	0	5
scaffold_1	328152	328204	.	0	-	328152	328204	0	0.519231	0.480769	17	13	12	10	0	0	52
scaffold_1	335509	335515	.	0	-	335509	335515	0	0.500000	0.500000	3	1	2	0	0	0	6
scaffold_1	342706	342738	.	0	-	342706	342738	0	0.687500	0.312500	12	9	1	10	0	0	32
scaffold_1	347421	347448	.	0	-	347421	347448	0	0.518519	0.481481	6	3	10	8	0	0	27
scaffold_1	372362	372364	.	0	-	372362	372364	0	0.500000	0.500000	0	0	1	1	0	0	2
scaffold_1	384550	384551	.	0	-	384550	384551	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	400146	400184	.	0	-	400146	400184	0	0.473684	0.526316	10	8	12	8	0	0	38
scaffold_1	402294	402304	.	0	-	402294	402304	0	0.600000	0.400000	2	3	1	4	0	0	10
scaffold_1	405496	405517	.	0	-	405496	405517	0	0.809524	0.190476	14	3	1	3	0	0	21
scaffold_1	423367	423368	.	0	-	423367	423368	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	434143	434148	.	0	-	434143	434148	0	0.800000	0.200000	2	1	0	2	0	0	5
scaffold_1	435481	435482	.	0	-	435481	435482	0	1.000000	0.000000	1	0	0	0	0	0	1
scaffold_1	440339	440356	.	0	-	440339	440356	0	0.647059	0.352941	0	3	3	11	0	0	17
scaffold_1	474966	474984	.	0	-	474966	474984	0	0.555556	0.444444	6	4	4	4	0	0	18
