chr start end strand gene gene_start gene_end gene_strand expression
162 scaffold_1 2412627 2412664 + JGI_V11_299901 2412379 2413743 + 2391.98293493379
164 scaffold_1 2477219 2477239 + JGI_V11_299906 2477012 2477888 + 152.178915933775
165 scaffold_1 2536694 2536729 + JGI_V11_299909 2536499 2537902 + 115.3491219761
169 scaffold_1 2570350 2570463 + JGI_V11_230099 2570212 2572668 + 210.019979810927
170 scaffold_1 2585736 2585790 + JGI_V11_300120 2585550 2587531 + 373.946416413444
171 scaffold_1 2587941 2587947 + JGI_V11_232462 2587595 2588166 + 194.481400352293
171.1 scaffold_1 2587941 2587947 + JGI_V11_232463 2587812 2588580 + 194.481400352293
172 scaffold_1 2637125 2637137 + JGI_V11_299913 2636928 2639310 + 2699.95150299566
173 scaffold_1 2637949 2637971 + JGI_V11_299913 2636928 2639310 + 12.715542279439
174 scaffold_1 2640164 2640187 + JGI_V11_205334 2639017 2640196 + 43.3511550104942
175 scaffold_1 2645841 2645860 + JGI_V11_94321 2645773 2649531 + 221.856794363659
178 scaffold_1 2686975 2686994 + JGI_V11_232495 2678608 2698331 + 57.5031469572383
179 scaffold_1 2689123 2689223 + JGI_V11_232495 2678608 2698331 + 262.340774956924
180 scaffold_1 2692183 2692187 + JGI_V11_232495 2678608 2698331 + 326.110767044372
181 scaffold_1 2693578 2693585 + JGI_V11_232495 2678608 2698331 + 6.05901369171848
182 scaffold_1 2752479 2752534 + JGI_V11_205349 2752311 2754825 + 287.831111143765
183 scaffold_1 2761617 2761644 + JGI_V11_309890 2761428 2763420 + 128.305975276064
184 scaffold_1 2763284 2763363 + JGI_V11_309890 2761428 2763420 + 1135.9972351564
184.1 scaffold_1 2763284 2763363 + JGI_V11_94342 2763126 2764003 + 1135.9972351564
186 scaffold_1 2812837 2812867 + JGI_V11_220194 2812642 2814531 + 110.403620941244
188 scaffold_1 2833758 2833759 + JGI_V11_232527 2831791 2835194 + 19.7769251929633
189 scaffold_1 2836718 2836773 + JGI_V11_220196 2836520 2838176 + 3436.70065253581
192 scaffold_1 2841128 2841131 + JGI_V11_39875 2840333 2843397 + 6.12974838404508
193 scaffold_1 2854396 2854400 + JGI_V11_300138 2854266 2857651 + 5.83868592111054
194 scaffold_1 2857902 2857907 + JGI_V11_220200 2857705 2859209 + 97.341365630927
195 scaffold_1 2860053 2860082 + JGI_V11_299926 2859871 2861242 + 552.477037252565
196 scaffold_1 2860240 2860383 + JGI_V11_299926 2859871 2861242 + 60.1059953781892
197 scaffold_1 2863990 2863999 + JGI_V11_220202 2863791 2865747 + 613.757153854323
198 scaffold_1 2864144 2864318 + JGI_V11_220202 2863791 2865747 + 750.7818032577
199 scaffold_1 2876550 2876605 + JGI_V11_299931 2876345 2878174 + 140.674381420147
200 scaffold_1 2923835 2923861 + JGI_V11_309932 2923620 2926779 + 116.936608648759
204 scaffold_1 3082196 3082301 + JGI_V11_300149 3082095 3085893 + 520.210082349084
205 scaffold_1 3088838 3088863 + JGI_V11_309949 3088661 3091066 + 272.712131426999
206 scaffold_1 3092765 3092814 + JGI_V11_220221 3092682 3094690 + 170.259046072613
210 scaffold_1 3124439 3124500 + JGI_V11_300155 3124283 3127745 + 555.727797082571
216 scaffold_1 3216765 3216912 + JGI_V11_309973 3216595 3221831 + 905.595747280513
219 scaffold_1 3272868 3272935 + JGI_V11_299952 3272695 3274868 + 731.046073877781
220 scaffold_1 3286041 3286042 + JGI_V11_300164 3283569 3290034 + 21.84060323916
222 scaffold_1 3768975 3769056 + JGI_V11_300165 3768808 3772249 + 1461.41757306631
223 scaffold_1 3771116 3771148 + JGI_V11_300165 3768808 3772249 + 60.6259101565186
224 scaffold_1 3773690 3773826 + JGI_V11_299958 3773510 3776613 + 2890.86029635126
225 scaffold_1 3774444 3774467 + JGI_V11_299958 3773510 3776613 + 33.3425398381905
226 scaffold_1 3775436 3775454 + JGI_V11_299958 3773510 3776613 + 11.3588990212018
227 scaffold_1 3776611 3776679 + JGI_V11_299958 3773510 3776613 + 692.799719764214
227.1 scaffold_1 3776611 3776679 + JGI_V11_299959 3776388 3778172 + 692.799719764214
229 scaffold_1 3781684 3781813 + JGI_V11_232690 3781607 3782467 + 60.9554463872554
230 scaffold_1 3781955 3781970 + JGI_V11_232690 3781607 3782467 + 23.2410140222663
234 scaffold_1 3878257 3878342 + JGI_V11_299963 3878087 3879416 + 295.433937601715
235 scaffold_1 3879596 3879629 + JGI_V11_126671 3879543 3880863 + 173.785028836765
236 scaffold_1 3900099 3900140 + JGI_V11_299967 3899915 3902151 + 297.3155734073
237 scaffold_1 3904998 3905043 + JGI_V11_190346 3904774 3908059 + 73.9085719851064
238 scaffold_1 3908088 3908139 + JGI_V11_310030 3908084 3911244 + 223.239149282914
239 scaffold_1 3917619 3917624 + JGI_V11_299971 3917417 3919432 + 185.006883217496
240 scaffold_1 3922776 3922841 + JGI_V11_300177 3922596 3927094 + 405.647301871641
241 scaffold_1 3927164 3927215 + JGI_V11_39424 3927017 3929333 + 753.219669112892
242 scaffold_1 3927665 3927667 + JGI_V11_39424 3927017 3929333 + 11.564457151589
245 scaffold_1 3973867 3973931 + JGI_V11_299973 3973684 3976083 + 1931.61253957358
246 scaffold_1 3975263 3975264 + JGI_V11_299973 3973684 3976083 + 6.17137313697068
247 scaffold_1 3977748 3977776 + JGI_V11_230130 3977558 3979531 + 492.355755809865
248 scaffold_1 3978223 3978242 + JGI_V11_230130 3977558 3979531 + 41.5638989083455
250 scaffold_1 4131140 4131182 + JGI_V11_299978 4130912 4133170 + 151.041608358933
255 scaffold_1 263026 263044 - JGI_V11_39582 261664 263060 - 3221.51489906651
257 scaffold_1 328152 328204 - JGI_V11_309508 324683 328282 - 311.839294621966
258 scaffold_1 335509 335540 - JGI_V11_189816 332497 335740 - 111.022445883658
259 scaffold_1 342702 342796 - JGI_V11_186885 341345 342979 - 313.066673558638
259.1 scaffold_1 342702 342796 - JGI_V11_309511 341702 342979 - 313.066673558638
260 scaffold_1 347421 347472 - JGI_V11_299998 344604 347657 - 137.67043034098
262 scaffold_1 384550 384551 - JGI_V11_299999 381713 384753 - 6.27934146232643
264 scaffold_1 402294 402304 - JGI_V11_299795 400218 402508 - 280.500403765345
265 scaffold_1 405496 405517 - JGI_V11_299797 404193 405543 - 99.3974168542097
266 scaffold_1 423367 423368 - JGI_V11_309524 421045 423558 - 5.94884980641451
269 scaffold_1 440334 440356 - JGI_V11_230069 439163 440669 - 114.534664957513
273 scaffold_1 594482 594551 - JGI_V11_300013 587334 597154 - 412.564718327588
274 scaffold_1 597099 597179 - JGI_V11_300013 587334 597154 - 139.023506345709
275 scaffold_1 605733 605831 - JGI_V11_299651 602322 610394 - 883.804652010771
276 scaffold_1 612138 612175 - JGI_V11_299806 611161 612351 - 211.201715926572
277 scaffold_1 617236 617271 - JGI_V11_93993 614675 617347 - 33.9982339059822
278 scaffold_1 620329 620360 - JGI_V11_93995 619174 620487 - 68.4207273908551
280 scaffold_1 651671 651712 - JGI_V11_299810 647688 651887 - 311.288571214066
281 scaffold_1 676487 676552 - JGI_V11_232072 668187 677397 - 313.621918424462
282 scaffold_1 676767 676847 - JGI_V11_232072 668187 677397 - 317.981276277438
283 scaffold_1 683391 683447 - JGI_V11_300021 678191 683470 - 261.333457298879
284 scaffold_1 688145 688156 - JGI_V11_232076 687327 690118 - 24.3140484314647
286 scaffold_1 695964 695981 - JGI_V11_189897 692910 696179 - 788.268256824901
287 scaffold_1 698411 698423 - JGI_V11_39671 697803 702213 - 18.6467840030899
288 scaffold_1 698533 698552 - JGI_V11_39671 697803 702213 - 62.5992794184051
292 scaffold_1 854064 854115 - JGI_V11_299813 852936 854282 - 1213.90083008483
293 scaffold_1 919463 919497 - JGI_V11_300028 912372 919664 - 357.848941712403
295 scaffold_1 978071 978105 - JGI_V11_219999 973982 978310 - 39.8026595849478
296 scaffold_1 981314 981347 - JGI_V11_299821 979153 981534 - 62.4085538172681
297 scaffold_1 982976 982985 - JGI_V11_299824 982031 983403 - 35.2894320845237
298 scaffold_1 983238 983259 - JGI_V11_299824 982031 983403 - 25.6050514996228
299 scaffold_1 986054 986114 - JGI_V11_232128 985017 986067 - 171.336682856132
301 scaffold_1 1141051 1141124 - JGI_V11_189944 1138663 1141299 - 270.994169033193
302 scaffold_1 1247361 1247443 - JGI_V11_39928 1245532 1247449 - 565.230181556335
303 scaffold_1 1252826 1252834 - JGI_V11_39283 1251319 1252901 - 33.5675558116701
304 scaffold_1 1258698 1258755 - JGI_V11_299831 1255640 1258946 - 397.307443166493
305 scaffold_1 1389104 1389198 - JGI_V11_299834 1387262 1389367 - 130.326848959249
307 scaffold_1 1434685 1434733 - JGI_V11_300045 1432153 1434913 - 266.810053264861
308 scaffold_1 1440447 1440453 - JGI_V11_309643 1437023 1440607 - 107.955110614027
309 scaffold_1 1451340 1451405 - JGI_V11_220033 1447284 1451611 - 157.656583541505
312 scaffold_1 1499724 1499745 - JGI_V11_39456 1498543 1499852 - 163.823106690643
313 scaffold_1 1514073 1514117 - JGI_V11_186919 1508508 1514319 - 634.15356674493
317 scaffold_1 1549320 1549366 - JGI_V11_309661 1544641 1549407 - 143.970181122945
324 scaffold_1 1587995 1588070 - JGI_V11_205163 1586549 1588239 - 326.903376546102
325 scaffold_1 1600906 1600908 - JGI_V11_94124 1599335 1601165 - 11.6773718422211
327 scaffold_1 1629597 1629601 - JGI_V11_299847 1629596 1630990 - 34.15705399719
330 scaffold_1 1771142 1771227 - JGI_V11_300065 1768565 1771325 - 10.9610955716345
333 scaffold_1 1855145 1855165 - JGI_V11_232298 1846798 1859113 - 207.070831997479
334 scaffold_1 1855382 1855388 - JGI_V11_232298 1846798 1859113 - 117.013292364157
335 scaffold_1 1858949 1858980 - JGI_V11_232298 1846798 1859113 - 101.607608999342
336 scaffold_1 1861515 1861524 - JGI_V11_205191 1859311 1861722 - 30.229777843186
338 scaffold_1 1863874 1863879 - JGI_V11_299857 1863026 1864079 - 198.818627496223
339 scaffold_1 1867601 1867602 - JGI_V11_300069 1864742 1868509 - 39.6084008931117
340 scaffold_1 1868298 1868395 - JGI_V11_300069 1864742 1868509 - 4207.67313656866
343 scaffold_1 1892641 1892647 - JGI_V11_205205 1889378 1896549 - 134.129653783763
344 scaffold_1 1893147 1893153 - JGI_V11_205205 1889378 1896549 - 322.566097138152
345 scaffold_1 1896235 1896238 - JGI_V11_205205 1889378 1896549 - 150.562464141019
348 scaffold_1 1908649 1908667 - JGI_V11_220078 1907558 1908854 - 291.734475019764
349 scaffold_1 1919082 1919103 - JGI_V11_309723 1916396 1919119 - 88.2448975200622
350 scaffold_1 1925760 1925792 - JGI_V11_205211 1921775 1925821 - 680.435351740655
352 scaffold_1 1930642 1930744 - JGI_V11_205212 1926763 1930908 - 1181.09871769795
355 scaffold_1 1984959 1984984 - JGI_V11_299865 1982952 1985513 - 74.7900133388443
357 scaffold_1 2068010 2068115 - JGI_V11_300085 2063815 2068247 - 279.723038604421
358 scaffold_1 2072010 2072032 - JGI_V11_299872 2070200 2072205 - 69.1986379713725
359 scaffold_1 2075311 2075358 - JGI_V11_299874 2074403 2075741 - 54.5400663739547
360 scaffold_1 2077614 2077648 - JGI_V11_300086 2076478 2079476 - 30.2547500796968
361 scaffold_1 2079345 2079410 - JGI_V11_300086 2076478 2079476 - 2056.24039641813
362 scaffold_1 2082743 2082756 - JGI_V11_300088 2081642 2083012 - 194.985626725449
364 scaffold_1 2208521 2208522 - JGI_V11_299880 2206113 2210360 - 13.9113771794444
365 scaffold_1 2210150 2210161 - JGI_V11_299880 2206113 2210360 - 260.020372146074
367 scaffold_1 2234611 2234636 - JGI_V11_300096 2230264 2235550 - 18.4041763973086
370 scaffold_1 2252728 2252897 - JGI_V11_190107 2247765 2256598 - 338.060962584704
371 scaffold_1 2256553 2256578 - JGI_V11_190107 2247765 2256598 - 77.4065958977682
372 scaffold_1 2259355 2259360 - JGI_V11_309785 2256843 2259435 - 5.03589683697463
373 scaffold_1 2271211 2271218 - JGI_V11_309788 2270340 2271418 - 5.94884980641451
374 scaffold_1 2278167 2278189 - JGI_V11_299887 2275874 2278385 - 153.667194228433
376 scaffold_1 2322319 2322337 - JGI_V11_300108 2320372 2322694 - 23.1412867813283
377 scaffold_1 2327579 2327662 - JGI_V11_230092 2326054 2327850 - 757.894955124002
378 scaffold_1 2331977 2332049 - JGI_V11_300109 2328173 2332112 - 288.892816114336
381 scaffold_1 2359401 2359425 - JGI_V11_300112 2357532 2359499 - 53.8862287305782
382 scaffold_1 2369346 2369350 - JGI_V11_299900 2366999 2369600 - 100.849801582578
383 scaffold_1 2405050 2405051 - JGI_V11_309832 2401491 2411122 - 5.49123292737372
384 scaffold_1 2405414 2405415 - JGI_V11_309832 2401491 2411122 - 20.7842983881372
385 scaffold_1 2408289 2408293 - JGI_V11_309832 2401491 2411122 - 12.2027566031235
386 scaffold_1 2410928 2410968 - JGI_V11_309832 2401491 2411122 - 642.449537966037
387 scaffold_1 2415008 2415012 - JGI_V11_299902 2413515 2415753 - 81.7325027768178
388 scaffold_1 2415525 2415561 - JGI_V11_299902 2413515 2415753 - 1126.74667699971
390 scaffold_1 2463401 2463438 - JGI_V11_299903 2462239 2463671 - 10.9110712453272
390.1 scaffold_1 2463401 2463438 - JGI_V11_205304 2463357 2466818 - 10.9110712453272
391 scaffold_1 2464033 2464150 - JGI_V11_205304 2463357 2466818 - 464.825523616019
392 scaffold_1 2464267 2464305 - JGI_V11_205304 2463357 2466818 - 182.555826136341
393 scaffold_1 2464531 2464595 - JGI_V11_205304 2463357 2466818 - 212.519192821353
394 scaffold_1 2464804 2465120 - JGI_V11_205304 2463357 2466818 - 1195.77292595043
395 scaffold_1 2465710 2465808 - JGI_V11_205304 2463357 2466818 - 156.768654577996
396 scaffold_1 2466612 2466662 - JGI_V11_205304 2463357 2466818 - 3463.11492894303
397 scaffold_1 2475860 2475866 - JGI_V11_309841 2467740 2476933 - 86.0401972228029
398 scaffold_1 2505913 2505942 - JGI_V11_299908 2498372 2506109 - 470.565258334074
400 scaffold_1 2569900 2569915 - JGI_V11_22062 2566115 2569927 - 163.973953894929
403 scaffold_1 2610838 2610839 - JGI_V11_309863 2608581 2611093 - 29.6481890783683
405 scaffold_1 2616281 2616323 - JGI_V11_299912 2614920 2616493 - 198.601524508869
405.1 scaffold_1 2616281 2616323 - JGI_V11_300124 2616237 2619198 - 198.601524508869
409 scaffold_1 2636058 2636132 - JGI_V11_300127 2634212 2636211 - 1403.9607948376
410 scaffold_1 2644528 2644630 - JGI_V11_190185 2643006 2644787 - 821.367949649894
412 scaffold_1 2651964 2652028 - JGI_V11_299917 2651165 2652998 - 140.936731757879
413 scaffold_1 2652200 2652262 - JGI_V11_299917 2651165 2652998 - 143.943118092965
414 scaffold_1 2652403 2652479 - JGI_V11_299917 2651165 2652998 - 1886.65959442321
415 scaffold_1 2652743 2652790 - JGI_V11_299917 2651165 2652998 - 2860.78741019011
416 scaffold_1 2665608 2665619 - JGI_V11_300129 2662022 2665719 - 125.395202432996
420 scaffold_1 2791020 2791057 - JGI_V11_232516 2788494 2791135 - 92.7736182529295
421 scaffold_1 2794973 2794977 - JGI_V11_230117 2794220 2795657 - 69.9036307271904
422 scaffold_1 2795399 2795466 - JGI_V11_230117 2794220 2795657 - 6187.11022316312
424 scaffold_1 2876315 2876400 - JGI_V11_299929 2874158 2876575 - 910.066798800841
425 scaffold_1 2879728 2879797 - JGI_V11_309921 2877750 2879964 - 431.097113480222
426 scaffold_1 2923115 2923139 - JGI_V11_91808 2921159 2923508 - 23.3334315657005
427 scaffold_1 2923267 2923270 - JGI_V11_91808 2921159 2923508 - 54.816378837857
428 scaffold_1 2927942 2927953 - JGI_V11_230120 2926678 2928154 - 25.1456339941211
429 scaffold_1 2935619 2935663 - JGI_V11_190238 2932674 2935860 - 318.82606269354
430 scaffold_1 3004095 3004103 - JGI_V11_309941 2969713 3040936 - 223.501847821154
431 scaffold_1 3006625 3006626 - JGI_V11_309941 2969713 3040936 - 14.399721689629
432 scaffold_1 3013758 3013766 - JGI_V11_309941 2969713 3040936 - 206.272743075739
433 scaffold_1 3040236 3040241 - JGI_V11_309941 2969713 3040936 - 47.2496469455352
434 scaffold_1 3040398 3040471 - JGI_V11_309941 2969713 3040936 - 24.1426495130367
436 scaffold_1 3097686 3097687 - JGI_V11_300152 3094347 3097888 - 100.016771984504
436.1 scaffold_1 3097686 3097687 - JGI_V11_232590 3097643 3098527 - 100.016771984504
437 scaffold_1 3100597 3100604 - JGI_V11_309953 3098155 3100709 - 179.245749450365
438 scaffold_1 3111016 3111132 - JGI_V11_299942 3108188 3111246 - 98.4601730775246
438.1 scaffold_1 3111016 3111132 - JGI_V11_300153 3111079 3113265 - 98.4601730775246
439 scaffold_1 3115212 3115257 - JGI_V11_220226 3112836 3115378 - 1144.6181408879
440 scaffold_1 3121480 3121521 - JGI_V11_190268 3117497 3121757 - 52.7737509364377
442 scaffold_1 3213274 3213395 - JGI_V11_190285 3212191 3213622 - 74.9998569254703
443 scaffold_1 3242213 3242245 - JGI_V11_300162 3238023 3242420 - 106.975781419838
444 scaffold_1 3244289 3244321 - JGI_V11_220240 3242772 3244462 - 10.5993565807446
445 scaffold_1 3248349 3248360 - JGI_V11_299950 3245008 3252359 - 57.3463511687183
