chr	start	end	breadth	score	strand	nTSSs	SI
143	scaffold_1	2332752	2332767	16	3	+	606	-0.810843785935034
144	scaffold_1	2364124	2364221	98	3	+	69116	-2.50441317589712
145	scaffold_1	2379044	2379051	8	3	+	3092	-0.299216930224204
146	scaffold_1	2379162	2379163	2	2	+	637	-0.162544926282199
147	scaffold_1	2412643	2412664	22	3	+	22506	0.230619207845019
148	scaffold_1	2477230	2477237	8	3	+	1676	-1.16324604343164
149	scaffold_1	2548262	2548263	2	3	+	1414	0.2313680149217
150	scaffold_1	2558323	2558325	3	3	+	887	-0.00919983439899186
151	scaffold_1	2570352	2570364	13	3	+	1262	-0.396466282675765
152	scaffold_1	2585736	2585751	16	3	+	1536	-1.49284082148162
153	scaffold_1	2585774	2585780	7	3	+	3639	-1.96694509872703
154	scaffold_1	2587942	2587946	5	3	+	1811	0.413593068268216
155	scaffold_1	2637126	2637131	6	3	+	25234	0.262361241131995
156	scaffold_1	2645855	2645860	6	3	+	2172	0.380176273250613
157	scaffold_1	2667137	2667147	11	3	+	19038	0.87803160357299
158	scaffold_1	2689138	2689140	3	3	+	1273	-0.518053292044578
159	scaffold_1	2689216	2689220	5	3	+	977	-1.90130678528169
160	scaffold_1	2692184	2692185	2	3	+	3013	1.34626357746754
161	scaffold_1	2752511	2752534	24	3	+	3004	-1.63190051186934
162	scaffold_1	2761628	2761631	4	3	+	1219	-0.951802285324453
163	scaffold_1	2763296	2763336	41	3	+	10428	-1.74228460133099
164	scaffold_1	2796147	2796149	3	3	+	496	0.832192710984267
165	scaffold_1	2826182	2826188	7	3	+	6333	0.625640099378712
166	scaffold_1	2833758	2833759	2	1	+	378	1.15995966436166
167	scaffold_1	2836719	2836733	15	3	+	29166	0.337678275773968
168	scaffold_1	2836768	2836769	2	3	+	10606	-0.486000841320998
169	scaffold_1	2840000	2840002	3	3	+	639	0.351876449826905
170	scaffold_1	2857902	2857907	6	3	+	908	0.411408857337352
171	scaffold_1	2860072	2860075	4	3	+	5314	0.0222973671605939
172	scaffold_1	2860242	2860243	2	1	+	570	-0.371890808146826
173	scaffold_1	2863991	2863998	8	3	+	5820	-0.0319869514838671
174	scaffold_1	2864168	2864195	28	3	+	2794	-2.36784832679018
175	scaffold_1	2864249	2864291	43	3	+	4058	-2.39374060269105
176	scaffold_1	2876557	2876558	2	2	+	747	-0.235162643500566
177	scaffold_1	2923849	2923857	9	3	+	1205	-1.36560572598993
178	scaffold_1	2949833	2949834	2	1	+	408	0.536427173685352
179	scaffold_1	3032962	3032963	2	3	+	1039	1.1295797344242
180	scaffold_1	3049902	3049903	2	1	+	223	1.34348608435105
181	scaffold_1	3082225	3082234	10	3	+	1541	-2.01306545245868
182	scaffold_1	3082292	3082299	8	3	+	3887	-0.680918804178648
183	scaffold_1	3088844	3088858	15	3	+	2541	-0.356697767457496
184	scaffold_1	3092768	3092779	12	3	+	929	-0.72189760445374
185	scaffold_1	3092809	3092810	2	2	+	1722	-1.51026126709799
186	scaffold_1	3102280	3102293	14	3	+	1377	-1.08084578428094
187	scaffold_1	3116764	3116776	13	3	+	4376	-1.35542250384736
188	scaffold_1	3117140	3117141	2	3	+	656	1.00028519619682
189	scaffold_1	3124446	3124486	41	3	+	5552	-2.55368663902106
190	scaffold_1	3129169	3129170	2	1	+	231	0.546407258368124
191	scaffold_1	3213800	3213835	36	3	+	2429	-2.35753489748951
192	scaffold_1	3214102	3214108	7	3	+	3683	0.648578836367744
193	scaffold_1	3214191	3214192	2	1	+	463	-0.481187091032981
194	scaffold_1	3216770	3216807	38	3	+	3024	-1.90011940276492
195	scaffold_1	3216836	3216874	39	3	+	7161	-2.6125946840603
196	scaffold_1	3222180	3222189	10	3	+	10788	0.0303130843915198
197	scaffold_1	3226941	3226942	2	1	+	502	0.223461145518945
198	scaffold_1	3272895	3272932	38	3	+	7224	-2.26526725039821
199	scaffold_1	3286041	3286042	2	1	+	449	0.106154760054681
200	scaffold_1	3562690	3562692	3	3	+	1581	0.0561285531790496
201	scaffold_1	3768993	3769056	64	3	+	14250	-2.6915280701386
202	scaffold_1	3771116	3771117	2	3	+	569	0.749816700998598
203	scaffold_1	3773699	3773808	110	3	+	27909	-3.25287970101168
204	scaffold_1	3776613	3776651	39	3	+	6292	-1.64222216971371
205	scaffold_1	3780350	3780356	7	3	+	2979	0.596507154270575
206	scaffold_1	3780437	3780463	27	3	+	20818	-1.19289838560405
207	scaffold_1	3780525	3780529	5	3	+	3438	0.260250240391843
208	scaffold_1	3780573	3780577	5	3	+	3767	-0.0822031385821069
209	scaffold_1	3781793	3781794	2	1	+	471	0.22856696338258
210	scaffold_1	3781969	3781970	2	1	+	443	0.345649370765794
211	scaffold_1	3782844	3782850	7	3	+	1748	0.0878687371852345
212	scaffold_1	3865390	3865391	2	3	+	2143	1.59620319436308
213	scaffold_1	3878267	3878297	31	3	+	2783	-1.85426522360519
214	scaffold_1	3879603	3879610	8	3	+	1602	-1.24171323096706
215	scaffold_1	3900105	3900131	27	3	+	3132	-2.28398032957324
216	scaffold_1	3908091	3908097	7	3	+	1705	-0.833967799371608
217	scaffold_1	3917621	3917622	2	3	+	2313	0.495727453862928
218	scaffold_1	3922779	3922797	19	3	+	3226	-0.858759134168325
219	scaffold_1	3927168	3927212	45	3	+	7373	-1.83968283942487
220	scaffold_1	3930120	3930121	2	1	+	650	-0.898708933003691
221	scaffold_1	3932010	3932011	2	2	+	442	1.41585281438493
222	scaffold_1	3973877	3973919	43	3	+	18163	-0.503953701629541
223	scaffold_1	3977751	3977774	24	3	+	4979	-2.06499803662718
224	scaffold_1	3982787	3982788	2	3	+	3617	1.53292147293912
225	scaffold_1	4131150	4131167	18	3	+	1561	-2.12638276465437
226	scaffold_1	4133425	4133429	5	3	+	947	-0.386776512737467
227	scaffold_1	4139814	4139815	2	1	+	355	0.327529352314939
228	scaffold_1	4139859	4139860	2	1	+	784	-0.802896682984136
229	scaffold_1	4181501	4181528	28	3	+	1991	-1.83669510733713
230	scaffold_1	156980	156981	2	2	-	829	-0.730941009554301
231	scaffold_1	263033	263044	12	3	-	29723	0.019292523499165
232	scaffold_1	324168	324171	4	3	-	2060	0.267504506517874
233	scaffold_1	328152	328184	33	3	-	3509	-2.78189806293095
234	scaffold_1	335509	335515	7	3	-	1489	-2.09762654924138
235	scaffold_1	342707	342738	32	3	-	3481	-2.92767785376683
236	scaffold_1	347446	347448	3	3	-	1110	-1.06415527096365
237	scaffold_1	372362	372364	3	3	-	2121	0.413658097981386
238	scaffold_1	384550	384551	2	1	-	228	0.580422409462433
239	scaffold_1	400152	400173	22	3	-	3562	-2.66517439617059
240	scaffold_1	402294	402304	11	3	-	2657	-0.0407837453480191
241	scaffold_1	405500	405501	2	1	-	1010	-1.24812050024562
242	scaffold_1	434143	434148	6	3	-	930	0.412745423100558
243	scaffold_1	435481	435482	2	1	-	478	0.79480854746382
244	scaffold_1	440347	440348	2	1	-	887	-0.564125437783025
245	scaffold_1	474968	474984	17	3	-	3475	-0.634239393972184
246	scaffold_1	584423	584424	2	1	-	629	0.659586674209231
247	scaffold_1	594534	594549	16	3	-	3802	-1.26285507960602
248	scaffold_1	597099	597100	2	3	-	1411	0.296812925321214
249	scaffold_1	605738	605739	2	2	-	2657	-1.87042125282068
250	scaffold_1	605762	605820	59	3	-	11388	-2.34063065935467
251	scaffold_1	612148	612151	4	3	-	2267	-1.42919284239242
252	scaffold_1	612172	612173	2	2	-	764	-0.289062507573152
253	scaffold_1	630851	630852	2	1	-	443	0.744345662771116
254	scaffold_1	651671	651695	25	3	-	3395	-2.47197562104322
255	scaffold_1	676510	676531	22	3	-	3020	-1.63137069452684
256	scaffold_1	676776	676780	5	3	-	1044	-0.709793400178262
257	scaffold_1	676837	676844	8	3	-	1930	-0.241652742284353
258	scaffold_1	683391	683416	26	3	-	2895	-2.44567594658863
259	scaffold_1	688155	688156	2	1	-	335	1.02198620275079
260	scaffold_1	692052	692053	2	1	-	336	0.410499301266726
261	scaffold_1	695975	695979	5	3	-	7151	0.681798944345107
262	scaffold_1	698533	698534	2	2	-	784	-1.27597380183989
263	scaffold_1	702713	702731	19	3	-	1333	-0.426233874863126
264	scaffold_1	728167	728171	5	3	-	5420	1.01016629076962
265	scaffold_1	848044	848047	4	3	-	1469	0.267621542582428
266	scaffold_1	854064	854102	39	3	-	12199	-2.1368528340513
267	scaffold_1	919465	919480	16	3	-	3541	-0.924238336059956
268	scaffold_1	939493	939527	35	3	-	4125	-2.31404306796391
269	scaffold_1	982984	982985	2	1	-	453	0.921688669314273
270	scaffold_1	986102	986107	6	3	-	1338	-1.02991047619527
271	scaffold_1	1141082	1141100	19	3	-	2558	-2.44126178538976
272	scaffold_1	1247361	1247364	4	3	-	2757	-1.84108656805923
273	scaffold_1	1247389	1247442	54	3	-	4790	-2.9083533695276
274	scaffold_1	1258714	1258734	21	3	-	3625	-2.24167799917045
275	scaffold_1	1425388	1425395	8	3	-	3217	-0.101448835556451
276	scaffold_1	1434712	1434733	22	3	-	2379	-1.62426941339589
277	scaffold_1	1440448	1440449	2	3	-	1093	0.280878080074622
278	scaffold_1	1457827	1457830	4	3	-	3856	0.407209888461894
279	scaffold_1	1471154	1471155	2	2	-	618	0.544155296601417
280	scaffold_1	1499725	1499734	10	3	-	1683	-1.49582476520355
281	scaffold_1	1514089	1514117	29	3	-	5997	-1.91632795862678
282	scaffold_1	1533572	1533578	7	3	-	3613	0.335638000932479
283	scaffold_1	1549325	1549326	2	3	-	1335	-0.756944456778726
284	scaffold_1	1549348	1549349	2	1	-	730	-1.14392656694389
285	scaffold_1	1570246	1570256	11	3	-	2994	0.217864209349046
286	scaffold_1	1577598	1577602	5	3	-	425	-0.180234789867854
287	scaffold_1	1579942	1579943	2	3	-	703	0.975695762123246
288	scaffold_1	1581213	1581214	2	3	-	764	0.110148312198289
289	scaffold_1	1581268	1581275	8	3	-	6685	-1.19782717472192
290	scaffold_1	1581296	1581323	28	3	-	2211	-2.52289220367723
291	scaffold_1	1581527	1581533	7	3	-	2931	-0.375490667482633
292	scaffold_1	1588008	1588034	27	3	-	3480	-2.66699429284513
293	scaffold_1	1600907	1600908	2	1	-	260	0.0736548916642548
294	scaffold_1	1629597	1629601	5	3	-	533	-0.452345330719472
295	scaffold_1	1640268	1640269	2	1	-	249	1.39073851308115
296	scaffold_1	1722847	1722851	5	3	-	3077	0.340719770562981
297	scaffold_1	1780459	1780460	2	3	-	991	0.203534218733436
298	scaffold_1	1855162	1855165	4	3	-	2158	0.441296434714149
299	scaffold_1	1855385	1855387	3	3	-	1135	0.0983148882643867
300	scaffold_1	1862550	1862594	45	3	-	12904	-0.743951073514837
301	scaffold_1	1863874	1863879	6	3	-	1834	0.405072551994714
302	scaffold_1	1867601	1867602	2	2	-	519	0.489118066746757
303	scaffold_1	1868301	1868388	88	3	-	40348	-2.78708326113743
304	scaffold_1	1877808	1877823	16	3	-	843	-0.890516399883093
305	scaffold_1	1885724	1885736	13	3	-	981	-1.49702392362349
306	scaffold_1	1892642	1892643	2	3	-	1273	0.348198269835384
307	scaffold_1	1893148	1893152	5	3	-	3149	0.528730192372336
308	scaffold_1	1896235	1896237	3	3	-	1487	0.226508944584243
309	scaffold_1	1901025	1901026	2	3	-	1340	-0.693113963086127
310	scaffold_1	1903538	1903539	2	1	-	3068	-0.511056970362713
311	scaffold_1	1903560	1903561	2	3	-	2472	0.229792836562006
312	scaffold_1	1908653	1908658	6	3	-	2832	-0.280754723672721
313	scaffold_1	1919094	1919096	3	3	-	655	-1.15723528299382
314	scaffold_1	1925769	1925782	14	3	-	6416	-0.680506067463551
315	scaffold_1	1926481	1926482	2	2	-	1136	-1.11897589072974
316	scaffold_1	1930679	1930732	54	3	-	10721	-2.43850350677338
317	scaffold_1	1945075	1945079	5	3	-	448	-0.0933257582420151
318	scaffold_1	2053700	2053701	2	3	-	866	1.55661775245124
319	scaffold_1	2068048	2068049	2	2	-	2048	-2.56341856435262
320	scaffold_1	2068080	2068112	33	3	-	1765	-2.26062993663464
321	scaffold_1	2079352	2079364	13	3	-	19735	-0.752889983757663
322	scaffold_1	2082750	2082756	7	3	-	1940	-0.656398781314936
323	scaffold_1	2091720	2091727	8	3	-	1227	-1.40469064055469
324	scaffold_1	2208521	2208522	2	1	-	215	1.08965193756548
325	scaffold_1	2210156	2210161	6	3	-	3660	0.0562745106191529
326	scaffold_1	2212928	2212932	5	3	-	14764	0.138852567502544
327	scaffold_1	2212968	2212974	7	3	-	14262	0.345386206314956
328	scaffold_1	2239280	2239288	9	3	-	2953	-0.801124139280509
329	scaffold_1	2239561	2239562	2	2	-	1361	-1.17726827145775
330	scaffold_1	2239595	2239601	7	3	-	758	-0.763325373316132
331	scaffold_1	2252746	2252755	10	3	-	1454	-2.03601899072623
332	scaffold_1	2252860	2252879	20	3	-	2031	-2.20368844272522
333	scaffold_1	2256561	2256562	2	2	-	812	-0.30456075436281
334	scaffold_1	2278178	2278185	8	3	-	1248	-1.36840772990631
335	scaffold_1	2319959	2319975	17	3	-	5597	-0.647377104426968
336	scaffold_1	2327585	2327602	18	3	-	5644	-0.0896467915502202
337	scaffold_1	2327649	2327662	14	3	-	2180	-1.04440574803364
338	scaffold_1	2332009	2332046	38	3	-	2899	-2.28762573796795
339	scaffold_1	2345644	2345651	8	3	-	11055	-0.382219278824041
340	scaffold_1	2353268	2353272	5	3	-	1204	-0.358981236701574
341	scaffold_1	2353346	2353358	13	3	-	441	-0.103938128275125
342	scaffold_1	2359401	2359405	5	3	-	644	-0.781459863392621
343	scaffold_1	2369346	2369347	2	3	-	1213	-0.062482682253199
344	scaffold_1	2405414	2405415	2	1	-	473	-0.0193645944527452
345	scaffold_1	2410930	2410942	13	3	-	6332	-0.790414790347826
346	scaffold_1	2415010	2415012	3	3	-	932	0.654785658927129
347	scaffold_1	2415527	2415561	35	3	-	11339	-2.05267498160408
348	scaffold_1	2443458	2443462	5	3	-	7262	0.706701838774507
349	scaffold_1	2464040	2464048	9	3	-	2896	-1.4110878783681
350	scaffold_1	2464071	2464081	11	3	-	3311	-1.66050009361521
351	scaffold_1	2464104	2464112	9	3	-	1702	-1.59308386316059
352	scaffold_1	2464269	2464270	2	3	-	1843	-0.841439369258556
353	scaffold_1	2464304	2464305	2	1	-	423	0.946676970275321
354	scaffold_1	2464531	2464535	5	3	-	1437	-1.23290154329648
355	scaffold_1	2464591	2464595	5	3	-	888	0.397825983480683
356	scaffold_1	2464940	2464941	2	1	-	566	0.0800507673449697
357	scaffold_1	2465003	2465041	39	3	-	7620	-0.869786448427622
358	scaffold_1	2465100	2465120	21	3	-	3694	-0.670474614876645
359	scaffold_1	2465713	2465714	2	2	-	558	-0.0467833474018358
360	scaffold_1	2465767	2465768	2	3	-	1230	-0.829458745607592
361	scaffold_1	2466613	2466656	44	3	-	32760	-1.81437957894076
362	scaffold_1	2475865	2475866	2	3	-	800	1.1477063025441
363	scaffold_1	2505917	2505919	3	3	-	4452	0.642074776844092
364	scaffold_1	2541454	2541469	16	3	-	2524	-2.02288457462664
365	scaffold_1	2569901	2569910	10	3	-	1644	-0.767688653511766
366	scaffold_1	2608424	2608426	3	3	-	736	0.323917138687014
367	scaffold_1	2610838	2610839	2	2	-	502	0.584537494126686
368	scaffold_1	2611167	2611170	4	3	-	2247	0.603546272839844
369	scaffold_1	2616292	2616297	6	3	-	1621	-1.65324855436948
370	scaffold_1	2622997	2622998	2	2	-	724	-0.252561889642503
371	scaffold_1	2632439	2632440	2	2	-	1160	0.216987764502017
372	scaffold_1	2636058	2636069	12	3	-	7417	-1.40774257151868
373	scaffold_1	2636093	2636132	40	3	-	14158	-1.6371398722126
374	scaffold_1	2644531	2644611	81	3	-	8195	-3.21473507059373
375	scaffold_1	2651965	2651966	2	3	-	1108	-1.02100204491675
376	scaffold_1	2652027	2652028	2	1	-	601	-0.755141326121879
377	scaffold_1	2652200	2652201	2	2	-	875	-0.635535409607137
378	scaffold_1	2652426	2652479	54	3	-	18452	-1.31496778007879
379	scaffold_1	2652745	2652790	46	3	-	27543	-1.87696370108527
380	scaffold_1	2665614	2665619	6	3	-	1052	-0.155705253743718
381	scaffold_1	2737967	2737968	2	1	-	374	0.346914286900056
382	scaffold_1	2752126	2752127	2	1	-	154	0.581705310135112
383	scaffold_1	2786092	2786094	3	3	-	1921	-2.02292064756418
384	scaffold_1	2794973	2794977	5	3	-	684	0.0824902471960769
385	scaffold_1	2795410	2795462	53	3	-	57617	-1.91021042929742
386	scaffold_1	2876326	2876396	71	3	-	9163	-3.02317324352622
387	scaffold_1	2879731	2879768	38	3	-	4495	-2.08653368419708
388	scaffold_1	2923118	2923119	2	1	-	293	-0.452307997904498
389	scaffold_1	2923268	2923270	3	3	-	726	-0.2172902951699
390	scaffold_1	2935658	2935663	6	3	-	2640	0.374427724440809
391	scaffold_1	3004099	3004100	2	3	-	2062	0.54062914103197
392	scaffold_1	3006625	3006626	2	1	-	367	0.387341418695538
393	scaffold_1	3013758	3013764	7	3	-	2228	-0.135339177059037
394	scaffold_1	3040240	3040241	2	2	-	514	0.178261231977292
395	scaffold_1	3079912	3079913	2	2	-	886	-0.764949763952175
396	scaffold_1	3079941	3079962	22	3	-	702	-0.960487426629536
397	scaffold_1	3097686	3097687	2	3	-	1010	0.921870146515466
398	scaffold_1	3100600	3100601	2	3	-	1705	0.453716425042522
399	scaffold_1	3111018	3111019	2	1	-	1053	-1.59167948024893
400	scaffold_1	3115212	3115213	2	1	-	10645	-0.00270096492270699
401	scaffold_1	3115247	3115255	9	3	-	10456	0.0688842786167914
402	scaffold_1	3121520	3121521	2	1	-	366	0.750386916006206
403	scaffold_1	3208359	3208364	6	3	-	2335	-1.33021855947211
404	scaffold_1	3248352	3248353	2	1	-	567	0.255835440807709
405	scaffold_1	3252186	3252188	3	3	-	2165	0.0581138486995949
406	scaffold_1	3271686	3271698	13	3	-	5092	-0.780351226228446
407	scaffold_1	3275378	3275462	85	3	-	72394	-2.3070513220922
408	scaffold_1	3299015	3299048	34	3	-	2013	-1.47641808674637
409	scaffold_1	3336934	3336955	22	3	-	1412	-1.17450485151502
410	scaffold_1	3368325	3368326	2	1	-	376	0.77721943053583
411	scaffold_1	3562411	3562417	7	3	-	22100	0.901616808857372
