JGI_V11_221545	FBgn0036812	Nufip
JGI_V11_301219	FBgn0028494	CG6424
JGI_V11_301213	FBgn0030177	CG2972
JGI_V11_305682	FBgn0033785	Sans
JGI_V11_306081	FBgn0067622	LSm-4
JGI_V11_249998	FBgn0029713	CG11436
JGI_V11_306082	FBgn0050373	CG30373
JGI_V11_299717	FBgn0027296	temp
JGI_V11_248021	FBgn0029840	raptor
JGI_V11_57088	FBgn0035023	ITP
JGI_V11_231294	FBgn0036502	CG7841
JGI_V11_54416	FBgn0052082	CG32082
JGI_V11_231299	FBgn0024733	RpL10
JGI_V11_203390	FBgn0011824	CG4038
JGI_V11_187412	FBgn0031873	Gas41
JGI_V11_112232	FBgn0037351	RpL13A
JGI_V11_95804	FBgn0022224	ubl
JGI_V11_307861	FBgn0052685	ZAP3
JGI_V11_40083	FBgn0031196	CG17599
JGI_V11_322467	FBgn0263987	spoon
JGI_V11_18312	FBgn0033869	Cpr50Cb
JGI_V11_262904	FBgn0036742	CG7497
JGI_V11_228924	FBgn0039229	Saf-B
JGI_V11_230679	FBgn0035675	CG6610
JGI_V11_300664	FBgn0085212	CG34183
JGI_V11_299516	FBgn0040394	CG16903
JGI_V11_318531	FBgn0039536	unc80
JGI_V11_130409	FBgn0085220	CG34191
JGI_V11_319223	FBgn0038828	CG17270
JGI_V11_218891	FBgn0032850	Kua
JGI_V11_306505	FBgn0027779	VhaSFD
JGI_V11_311034	FBgn0052442	CG32442
JGI_V11_306501	FBgn0250754	CG42232
JGI_V11_306502	FBgn0030847	CG12991
JGI_V11_109272	FBgn0263606	Hsc20
JGI_V11_306508	FBgn0050011	gem
JGI_V11_191687	FBgn0037121	Rpb8
JGI_V11_218095	FBgn0004003	wbl
JGI_V11_43853	FBgn0026869	Thd1
JGI_V11_307303	FBgn0038300	CG4203
JGI_V11_231106	FBgn0262954	Rpb12
JGI_V11_305304	FBgn0034535	CG11110
JGI_V11_92746	FBgn0023519	mRpL16
JGI_V11_328539	FBgn0026679	IntS4
JGI_V11_201893	FBgn0261283	SREBP
JGI_V11_130325	FBgn0052369	CG32369
JGI_V11_210151	FBgn0031189	CG14618
JGI_V11_303470	FBgn0033380	Phax
JGI_V11_227256	FBgn0031287	CG4291
JGI_V11_119841	FBgn0263400	CG43446
JGI_V11_215326	FBgn0032811	CG10268
JGI_V11_63040	FBgn0261811	pico
JGI_V11_304982	FBgn0028694	Rpn11
JGI_V11_308922	FBgn0032398	CG6766
JGI_V11_192571	FBgn0036196	CG11658
JGI_V11_302538	FBgn0037779	CG12811
JGI_V11_310282	FBgn0036330	CG11263
JGI_V11_105287	FBgn0003231	ref(2)P
JGI_V11_301202	FBgn0037347	CG1427
JGI_V11_312821	FBgn0026577	CG8677
JGI_V11_203941	FBgn0029718	mRpL30
JGI_V11_301201	FBgn0022153	l(2)k05819
JGI_V11_317709	FBgn0038358	CG4525
JGI_V11_329118	FBgn0031492	CG3542
JGI_V11_255380	FBgn0033010	Atf6
JGI_V11_98846	FBgn0010235	Klc
JGI_V11_313414	FBgn0027615	CG6404
JGI_V11_60460	FBgn0023001	melt
JGI_V11_222762	FBgn0028550	Atf3
JGI_V11_106396	FBgn0031114	cactin
JGI_V11_116105	FBgn0260487	CG42534
JGI_V11_60469	FBgn0005631	robo1
JGI_V11_327242	FBgn0034705	CG11170
JGI_V11_327247	FBgn0031528	CG15412
JGI_V11_197788	FBgn0261985	Ptpmeg
JGI_V11_64459	FBgn0032243	Klp31E
JGI_V11_300875	FBgn0034496	CG9143
JGI_V11_230080	FBgn0035534	mRpS6
JGI_V11_225412	FBgn0036913	Usp32
JGI_V11_203237	FBgn0032031	CG13390
JGI_V11_329128	FBgn0031505	ND-B14.5B
JGI_V11_20278	FBgn0005564	Shal
JGI_V11_128126	FBgn0037744	CG8417
JGI_V11_10188	FBgn0035689	CG7376
JGI_V11_327208	FBgn0038660	CG14291
JGI_V11_314506	FBgn0037838	CG4089
JGI_V11_1152	FBgn0039623	CG1951
JGI_V11_193151	FBgn0039505	CG5934
JGI_V11_59545	FBgn0038839	Ktl
JGI_V11_303213	FBgn0029167	Hml
JGI_V11_305909	FBgn0035844	CG13676
JGI_V11_306337	FBgn0039112	SdhD
JGI_V11_194468	FBgn0033528	trsn
JGI_V11_325917	FBgn0037377	CG1218
JGI_V11_258927	FBgn0036510	CG7427
JGI_V11_301122	FBgn0035101	p130CAS
JGI_V11_44917	FBgn0027599	CG2790
JGI_V11_35911	FBgn0038269	Rrp6
JGI_V11_44914	FBgn0015283	Rpn10
JGI_V11_188560	FBgn0037900	CG5276
JGI_V11_303833	FBgn0038055	trus
JGI_V11_328717	FBgn0011259	Sema-1a
JGI_V11_310514	FBgn0027335	Rip11
JGI_V11_310510	FBgn0038862	Usp8
JGI_V11_46184	FBgn0039159	mRpS24
JGI_V11_315038	FBgn0036454	CG17839
JGI_V11_199969	FBgn0265275	
JGI_V11_307064	FBgn0035771	Sec63
JGI_V11_299981	FBgn0027903	CG12018
JGI_V11_192146	FBgn0041585	olf186-F
JGI_V11_329968	FBgn0032000	CG8372
JGI_V11_96430	FBgn0050089	CG30089
JGI_V11_56664	FBgn0053517	Dop2R
JGI_V11_17604	FBgn0032042	CG13398
JGI_V11_327229	FBgn0033869	Cpr50Cb
JGI_V11_301188	FBgn0027616	YT521-B
JGI_V11_301183	FBgn0017429	CG5989
JGI_V11_314348	FBgn0038854	CG7044
JGI_V11_51128	FBgn0015621	Clp
JGI_V11_192054	FBgn0035401	CG1291
JGI_V11_220591	FBgn0033188	Drat
JGI_V11_305518	FBgn0035914	CG6282
JGI_V11_300592	FBgn0040235	c12.1
JGI_V11_300595	FBgn0034915	eIF6
JGI_V11_309156	FBgn0047114	CG31142
JGI_V11_309154	FBgn0261789	SmD2
JGI_V11_196670	FBgn0034032	CG8195
JGI_V11_330923	FBgn0034577	cpa
JGI_V11_300045	FBgn0031191	Cp110
JGI_V11_300044	FBgn0036735	Edc3
JGI_V11_46677	FBgn0051849	CG31849
JGI_V11_99525	FBgn0052264	CG32264
JGI_V11_320173	FBgn0038722	Nup58
JGI_V11_303586	FBgn0051635	CG31635
JGI_V11_328763	FBgn0034627	EfSec
JGI_V11_39808	FBgn0260397	Su(var)3-3
JGI_V11_314758	FBgn0037809	CG12818
JGI_V11_221885	FBgn0038126	CG8483
JGI_V11_302765	FBgn0032518	RpL24
JGI_V11_37364	FBgn0000541	E(bx)
JGI_V11_223760	FBgn0013334	Sap47
JGI_V11_112957	FBgn0261799	dsx-c73A
JGI_V11_65805	FBgn0035519	CG1309
JGI_V11_307809	FBgn0031711	CG6907
JGI_V11_317068	FBgn0259938	cwo
JGI_V11_307805	FBgn0038950	CG5382
JGI_V11_5268	FBgn0030931	Rad51D
JGI_V11_312065	FBgn0052350	Vps11
JGI_V11_310878	FBgn0031606	CG15439
JGI_V11_302359	FBgn0053181	CG33181
JGI_V11_302358	FBgn0035423	CG17737
JGI_V11_220868	FBgn0002183	dre4
JGI_V11_313191	FBgn0032445	CG6153
JGI_V11_313190	FBgn0029092	ced-6
JGI_V11_695	FBgn0260749	Utx
JGI_V11_232839	FBgn0010803	Aats-trp
JGI_V11_114218	FBgn0031759	lid
JGI_V11_232836	FBgn0000250	cact
JGI_V11_50862	FBgn0262114	RanBPM
JGI_V11_50861	FBgn0051849	CG31849
JGI_V11_5678	FBgn0039163	CG5515
JGI_V11_330320	FBgn0265784	CrebB
JGI_V11_306294	FBgn0034968	RpL12
JGI_V11_300608	FBgn0020272	mst
JGI_V11_306296	FBgn0038491	CG5292
JGI_V11_300604	FBgn0032195	CG4908
JGI_V11_301952	FBgn0259685	crb
JGI_V11_301953	FBgn0261458	capt
JGI_V11_35278	FBgn0044419	Pmi
JGI_V11_189791	FBgn0034903	CG9850
JGI_V11_308055	FBgn0029095	aru
JGI_V11_308050	FBgn0030625	CG5877
JGI_V11_48853	FBgn0021795	Tapdelta
JGI_V11_308721	FBgn0031851	Aatf
JGI_V11_194694	FBgn0058042	
JGI_V11_324545	FBgn0001337	
JGI_V11_98603	FBgn0039730	CG7903
JGI_V11_97110	FBgn0035238	CG12104
JGI_V11_221054	FBgn0037297	CG1116
JGI_V11_221500	FBgn0030039	CG12123
JGI_V11_20600	FBgn0031051	Ranbp21
JGI_V11_230994	FBgn0011016	SsRbeta
JGI_V11_236	FBgn0035756	unc-13-4A
JGI_V11_245860	FBgn0263400	CG43446
JGI_V11_303760	FBgn0034087	clu
JGI_V11_332896	FBgn0036134	FoxK
JGI_V11_309890	FBgn0039336	CG4553
JGI_V11_247425	FBgn0033919	CG8547
JGI_V11_58697	FBgn0036273	CG10426
JGI_V11_104756	FBgn0033781	CG13319
JGI_V11_305729	FBgn0030960	Atg101
JGI_V11_313756	FBgn0003429	slo
JGI_V11_64494	FBgn0033526	Caf1-105
JGI_V11_191314	FBgn0024230	Hs2st
JGI_V11_197415	FBgn0030522	CG11103
JGI_V11_102570	FBgn0013576	mtd
JGI_V11_222740	FBgn0051251	CG31251
JGI_V11_53771	FBgn0010422	TfIIS
JGI_V11_268670	FBgn0263846	CG43707
JGI_V11_230579	FBgn0016726	RpL29
JGI_V11_314172	FBgn0262730	CG14446
JGI_V11_300857	FBgn0030327	FucT6
JGI_V11_222354	FBgn0032652	CG6870
JGI_V11_324622	FBgn0015905	ast
JGI_V11_314562	FBgn0030289	GCS1
JGI_V11_314566	FBgn0034939	thoc5
JGI_V11_316637	FBgn0085378	
JGI_V11_308520	FBgn0031419	CG15390
JGI_V11_194445	FBgn0038106	CG7488
JGI_V11_216283	FBgn0039876	CG2126
JGI_V11_312101	FBgn0033661	CG13185
JGI_V11_300444	FBgn0039638	dgt6
JGI_V11_47251	FBgn0003714	tko
JGI_V11_188546	FBgn0032250	holn1
JGI_V11_111582	FBgn0069969	CG40498
JGI_V11_55033	FBgn0038976	CG7048
JGI_V11_313160	FBgn0262872	milt
JGI_V11_309396	FBgn0034391	CG15080
JGI_V11_312166	FBgn0031053	CG14223
JGI_V11_302528	FBgn0032052	PIG-U
JGI_V11_318097	FBgn0083962	CG34126
JGI_V11_313516	FBgn0050410	Rpi
JGI_V11_312639	FBgn0038960	CG13855
JGI_V11_104230	FBgn0032753	CG17572
JGI_V11_252977	FBgn0038809	CG16953
JGI_V11_258271	FBgn0033869	Cpr50Cb
JGI_V11_51324	FBgn0001128	Gpdh
JGI_V11_56317	FBgn0038385	Fbxl7
JGI_V11_56866	FBgn0028467	CG11070
JGI_V11_220245	FBgn0035032	ATPsynF
JGI_V11_306714	FBgn0035515	CG14997
JGI_V11_303941	FBgn0025571	SF1
JGI_V11_306711	FBgn0010583	dock
JGI_V11_305537	FBgn0030654	CG15643
JGI_V11_309171	FBgn0004856	Bx42
JGI_V11_240350	FBgn0032796	CG10188
JGI_V11_309177	FBgn0037332	Hcs
JGI_V11_306844	FBgn0036298	nst
JGI_V11_321739	FBgn0031077	CG15618
JGI_V11_328162	FBgn0051374	sals
JGI_V11_311851	FBgn0004666	sim
JGI_V11_128395	FBgn0038490	CG5285
JGI_V11_210503	FBgn0025807	Rad9
JGI_V11_326410	FBgn0033869	Cpr50Cb
JGI_V11_10357	FBgn0029088	disp
JGI_V11_230556	FBgn0032634	Rpb11
JGI_V11_223605	FBgn0038577	CG12321
JGI_V11_305395	FBgn0023527	CG3071
JGI_V11_47113	FBgn0033468	CG1418
JGI_V11_61908	FBgn0034931	CG2812
JGI_V11_321827	FBgn0265351	nac
JGI_V11_308962	FBgn0038331	Ccm3
JGI_V11_113271	FBgn0016081	fry
JGI_V11_63503	FBgn0261241	Vps16A
JGI_V11_333416	FBgn0031536	Cog3
JGI_V11_45613	FBgn0085430	CG34401
JGI_V11_41319	FBgn0032129	jp
JGI_V11_307824	FBgn0050291	CG30291
JGI_V11_40041	FBgn0003892	ptc
JGI_V11_317519	FBgn0037808	
JGI_V11_108679	FBgn0038065	Snx3
JGI_V11_312035	FBgn0039897	CG1674
JGI_V11_312030	FBgn0259234	Camta
JGI_V11_313209	FBgn0024698	Cpsf160
JGI_V11_62747	FBgn0036710	CG6479
JGI_V11_319910	FBgn0029763	Usp16-45
JGI_V11_211018	FBgn0037530	EMC1
JGI_V11_310892	FBgn0033005	CG3107
JGI_V11_40598	FBgn0031600	CG3652
JGI_V11_202081	FBgn0037220	CG14641
JGI_V11_302373	FBgn0031782	WDR79
JGI_V11_305892	FBgn0002567	Rab32
JGI_V11_299834	FBgn0033457	Ntmt
JGI_V11_305895	FBgn0040344	CG3711
JGI_V11_62103	FBgn0037022	CG11396
JGI_V11_305992	FBgn0051550	CG31550
JGI_V11_66938	FBgn0033547	CG12935
JGI_V11_9103	FBgn0028993	scro
JGI_V11_115611	FBgn0010316	dap
JGI_V11_299559	FBgn0038964	Nop56
JGI_V11_224783	FBgn0014184	Oda
JGI_V11_59193	FBgn0037884	Arfip
JGI_V11_59192	FBgn0033869	Cpr50Cb
JGI_V11_306276	FBgn0030294	Pa1
JGI_V11_301977	FBgn0014417	CG13397
JGI_V11_188735	FBgn0250791	alphaSnap
JGI_V11_306061	FBgn0037442	godzilla
JGI_V11_311072	FBgn0039749	CG11498
JGI_V11_318797	FBgn0000615	exu
JGI_V11_61481	FBgn0040890	ksh
JGI_V11_308707	FBgn0262614	pyd
JGI_V11_7774	FBgn0031909	CG5181
JGI_V11_266572	FBgn0243486	rdo
JGI_V11_262056	FBgn0041147	ida
JGI_V11_99448	FBgn0259991	CG42488
JGI_V11_239371	FBgn0037779	CG12811
JGI_V11_189289	FBgn0263396	sqd
JGI_V11_231144	FBgn0028697	RpL15
JGI_V11_335104	FBgn0035088	CG3776
JGI_V11_331232	FBgn0263400	CG43446
JGI_V11_187339	FBgn0032321	YL-1
JGI_V11_300937	FBgn0036336	ste14
JGI_V11_220651	FBgn0032904	
JGI_V11_273522	FBgn0013684	mt:ND5
JGI_V11_215182	FBgn0061361	CG33786
JGI_V11_308967	FBgn0262114	RanBPM
JGI_V11_302576	FBgn0031094	CG9578
JGI_V11_327424	FBgn0051453	pch2
JGI_V11_320706	FBgn0003517	sta
JGI_V11_92087	FBgn0050077	Blos1
JGI_V11_196815	FBgn0038464	
JGI_V11_52557	FBgn0033891	CG8067
JGI_V11_52553	FBgn0028658	Adat1
JGI_V11_301372	FBgn0035416	gry
JGI_V11_113048	FBgn0025808	Rad17
JGI_V11_300360	FBgn0033688	Prp8
JGI_V11_53934	FBgn0052707	APC4
JGI_V11_303627	FBgn0014133	bif
JGI_V11_254525	FBgn0026088	CG14818
JGI_V11_191595	FBgn0087011	CG41520
JGI_V11_195288	FBgn0031561	IM33
JGI_V11_242269	FBgn0036822	NijB
JGI_V11_310933	FBgn0261823	Asx
JGI_V11_301703	FBgn0005533	RpS17
JGI_V11_301701	FBgn0040389	mRpL14
JGI_V11_48010	FBgn0038889	Fancm
JGI_V11_48015	FBgn0032149	CG4036
JGI_V11_248217	FBgn0261573	CoRest
JGI_V11_233159	FBgn0004607	zfh2
JGI_V11_275915	FBgn0263400	CG43446
JGI_V11_193197	FBgn0032907	CG9272
JGI_V11_326394	FBgn0033869	Cpr50Cb
JGI_V11_15159	FBgn0003175	px
JGI_V11_268091	FBgn0002645	Map205
JGI_V11_303901	FBgn0037374	jagn
JGI_V11_263488	FBgn0023531	CG32809
JGI_V11_300240	FBgn0035508	CG15005
JGI_V11_226727	FBgn0032476	CG5439
JGI_V11_40467	FBgn0011774	Irbp
JGI_V11_107031	FBgn0036775	CG5147
JGI_V11_39283	FBgn0031736	CG11030
JGI_V11_331172	FBgn0020912	Ptx1
JGI_V11_47904	FBgn0030514	CG9941
JGI_V11_226547	FBgn0020235	ATPsyngamma
JGI_V11_308262	FBgn0262527	nsl1
JGI_V11_216951	FBgn0037341	CG12746
JGI_V11_333124	FBgn0028476	Usp1
JGI_V11_230152	FBgn0030447	CG2200
JGI_V11_230159	FBgn0027052	CHIP
JGI_V11_48160	FBgn0000037	mAChR-A
JGI_V11_308635	FBgn0039732	CG15525
JGI_V11_192104	FBgn0010620	CG10939
JGI_V11_308637	FBgn0036915	Prp3
JGI_V11_11288	FBgn0026411	Lim1
JGI_V11_93621	FBgn0031395	CG10874
JGI_V11_308631	FBgn0016919	nompB
JGI_V11_306487	FBgn0039928	Cals
JGI_V11_221714	FBgn0037878	CG6693
JGI_V11_309374	FBgn0026375	RhoGAPp190
JGI_V11_235062	FBgn0259821	CG42402
JGI_V11_304428	FBgn0031357	mRpL48
JGI_V11_331494	FBgn0263400	CG43446
JGI_V11_230548	FBgn0034248	CG14483
JGI_V11_300555	FBgn0023509	mip130
JGI_V11_253324	FBgn0037490	CG10053
JGI_V11_260357	FBgn0003463	sog
JGI_V11_309115	FBgn0039528	dsd
JGI_V11_300085	FBgn0012058	Cdc27
JGI_V11_60800	FBgn0031997	PGAP5
JGI_V11_233541	FBgn0038809	CG16953
JGI_V11_56335	FBgn0004465	Su(P)
JGI_V11_326470	FBgn0024510	dlt
JGI_V11_219947	FBgn0035229	CG7852
JGI_V11_326263	FBgn0030946	CG6659
JGI_V11_302490	FBgn0033735	CG8525
JGI_V11_306868	FBgn0040237	bor
JGI_V11_113251	FBgn0027334	l(1)G0004
JGI_V11_224175	FBgn0027866	CG9776
JGI_V11_305112	FBgn0032915	CG12050
JGI_V11_203047	FBgn0034258	eIF3-S8
JGI_V11_321267	FBgn0033919	CG8547
JGI_V11_210921	FBgn0085421	Epac
JGI_V11_102305	FBgn0024273	WASp
JGI_V11_205384	FBgn0036125	CG6279
JGI_V11_238153	FBgn0034741	CG4269
JGI_V11_17940	FBgn0030408	CG11085
JGI_V11_193332	FBgn0037815	Rrp46
JGI_V11_220828	FBgn0038806	CG5412
JGI_V11_303455	FBgn0037808	
JGI_V11_94428	FBgn0029761	SK
JGI_V11_303458	FBgn0026326	Mad1
JGI_V11_218498	FBgn0035978	UGP
JGI_V11_111933	FBgn0037060	CG10508
JGI_V11_332475	FBgn0034243	Ns2
JGI_V11_245609	FBgn0014018	Rel
JGI_V11_225377	FBgn0051510	CG31510
JGI_V11_300987	FBgn0040395	Unc-76
JGI_V11_62606	FBgn0086605	CG9853
JGI_V11_47739	FBgn0022768	Pp2C1
JGI_V11_239688	FBgn0037012	Rcd2
JGI_V11_195921	FBgn0260946	
JGI_V11_303048	FBgn0028691	Rpn9
JGI_V11_303049	FBgn0051390	MED7
JGI_V11_309157	FBgn0040623	Spase12
JGI_V11_231370	FBgn0024814	Clc
JGI_V11_306215	FBgn0038763	CG4433
JGI_V11_193440	FBgn0051064	CG31064
JGI_V11_231165	FBgn0261606	RpL27A
JGI_V11_308915	FBgn0262782	Mdh1
JGI_V11_247979	FBgn0035539	slow
JGI_V11_303407	FBgn0038903	RpI12
JGI_V11_318118	FBgn0033869	Cpr50Cb
JGI_V11_318119	FBgn0033869	Cpr50Cb
JGI_V11_307614	FBgn0024998	CG2685
JGI_V11_307619	FBgn0015582	dare
JGI_V11_304099	FBgn0047135	CG32276
JGI_V11_39947	FBgn0261882	l(2)35Bc
JGI_V11_228725	FBgn0262871	lute
JGI_V11_219380	FBgn0026369	Sara
JGI_V11_312843	FBgn0029992	Upf2
JGI_V11_57218	FBgn0261239	Hr39
JGI_V11_96648	FBgn0033178	CG11127
JGI_V11_230485	FBgn0031268	cold
JGI_V11_299831	FBgn0037081	barc
JGI_V11_227362	FBgn0032202	REPTOR-BP
JGI_V11_227363	FBgn0037312	CG11999
JGI_V11_230754	FBgn0036118	Blos2
JGI_V11_130021	FBgn0025463	Bap60
JGI_V11_300344	FBgn0001202	hook
JGI_V11_300346	FBgn0037182	ArfGAP3
JGI_V11_308414	FBgn0004926	eIF-2beta
JGI_V11_306656	FBgn0016081	fry
JGI_V11_102792	FBgn0035508	CG15005
JGI_V11_309638	FBgn0046258	CG12880
JGI_V11_309511	FBgn0039869	CG1890
JGI_V11_118886	FBgn0263400	CG43446
JGI_V11_200780	FBgn0032014	CG7840
JGI_V11_310388	FBgn0052590	CG32590
JGI_V11_307706	FBgn0262467	Scox
JGI_V11_203529	FBgn0030572	mRpS25
JGI_V11_99003	FBgn0263258	chas
JGI_V11_99002	FBgn0263258	chas
JGI_V11_44560	FBgn0021750	Aats-ser
JGI_V11_321186	FBgn0037963	Cad87A
JGI_V11_202786	FBgn0038397	CG10185
JGI_V11_325741	FBgn0030345	CG1847
JGI_V11_325740	FBgn0039013	CG4813
JGI_V11_321679	FBgn0034886	
JGI_V11_249991	FBgn0019650	toy
JGI_V11_58294	FBgn0028689	Rpn6
JGI_V11_306088	FBgn0027564	CG3149
JGI_V11_311532	FBgn0033059	CG7845
JGI_V11_59524	FBgn0011763	Dp
JGI_V11_201342	FBgn0083969	CG34133
JGI_V11_194402	FBgn0262169	magu
JGI_V11_314889	FBgn0038235	CG8461
JGI_V11_315898	FBgn0036799	CG13380
JGI_V11_315698	FBgn0034708	Vps35
JGI_V11_305915	FBgn0035192	CG9194
JGI_V11_301396	FBgn0035766	eco
JGI_V11_313075	FBgn0008635	betaCOP
JGI_V11_315096	FBgn0029977	hdm
JGI_V11_303847	FBgn0038609	Nup43
JGI_V11_327936	FBgn0004919	gol
JGI_V11_299692	FBgn0036967	CG6597
JGI_V11_300985	FBgn0039687	CG7593
JGI_V11_299929	FBgn0026777	Rad23
JGI_V11_299698	FBgn0260970	Ubr3
JGI_V11_222285	FBgn0030812	CG8949
JGI_V11_225033	FBgn0030694	CG15602
JGI_V11_303185	FBgn0004957	por
JGI_V11_47763	FBgn0011291	Taf11
JGI_V11_310496	FBgn0011286	RyR
JGI_V11_304407	FBgn0038872	Nelf-A
JGI_V11_60898	FBgn0036145	CG7607
JGI_V11_221735	FBgn0032231	CG5056
JGI_V11_60235	FBgn0262869	Gfrl
JGI_V11_314322	FBgn0026403	Ndg
JGI_V11_104096	FBgn0263355	CG31688
JGI_V11_300571	FBgn0001197	His2Av
JGI_V11_302385	FBgn0026143	CDC45L
JGI_V11_303986	FBgn0033551	CG7222
JGI_V11_109005	FBgn0038197	foxo
JGI_V11_205037	FBgn0034073	CG8414
JGI_V11_326714	FBgn0001259	in
JGI_V11_303989	FBgn0263863	mRpL45
JGI_V11_303988	FBgn0036121	CG6310
JGI_V11_213299	FBgn0034657	LBR
JGI_V11_308511	FBgn0039654	Brd8
JGI_V11_308510	FBgn0027526	Ublcp1
JGI_V11_306753	FBgn0037263	slx1
JGI_V11_306755	FBgn0025381	rush
JGI_V11_306756	FBgn0030480	Tim9a
JGI_V11_120249	FBgn0033958	CG12858
JGI_V11_304661	FBgn0087002	Rfabg
JGI_V11_303766	FBgn0037689	CG8135
JGI_V11_306572	FBgn0034734	CG4554
JGI_V11_55959	FBgn0030834	CG8675
JGI_V11_50715	FBgn0261976	Psf2
JGI_V11_51776	FBgn0039557	CG12259
JGI_V11_52327	FBgn0035424	CG11505
JGI_V11_6813	FBgn0002914	Myb
JGI_V11_309375	FBgn0030891	Ada3
JGI_V11_100432	FBgn0036262	CG6910
JGI_V11_231213	FBgn0033570	ND-B14
JGI_V11_306803	FBgn0039875	sip3
JGI_V11_309130	FBgn0036911	Fibp
JGI_V11_106265	FBgn0260991	Incenp
JGI_V11_305132	FBgn0028622	qsm
JGI_V11_305135	FBgn0030091	CG7065
JGI_V11_324354	FBgn0037802	Sirt6
JGI_V11_309370	FBgn0033039	
JGI_V11_320441	FBgn0261625	GLS
JGI_V11_274663	FBgn0024689	fws
JGI_V11_108635	FBgn0032512	CG9305
JGI_V11_308954	FBgn0034451	TBCB
JGI_V11_300277	FBgn0039212	Syx18
JGI_V11_54583	FBgn0030055	CG12772
JGI_V11_58603	FBgn0261244	inaE
JGI_V11_324972	FBgn0036333	MICAL-like
JGI_V11_18310	FBgn0033869	Cpr50Cb
JGI_V11_230366	FBgn0013347	TfIIA-S
JGI_V11_225907	FBgn0053969	CG33969
JGI_V11_234874	FBgn0037741	CG16908
JGI_V11_94409	FBgn0004875	enc
JGI_V11_237377	FBgn0035508	CG15005
JGI_V11_306119	FBgn0030520	Pdcd4
JGI_V11_303477	FBgn0000562	egl
JGI_V11_40007	FBgn0033693	CG13175
JGI_V11_304983	FBgn0054045	CG34045
JGI_V11_242535	FBgn0032723	ssp3
JGI_V11_301935	FBgn0035761	RhoGEF4
