promoter_ID	chr	start	end	strand	gene	GO_ID	KOG_JGI	KOG_ID	FlyBase_id_representative_homolog	interprot_representative_homolog
scaffold_51_57739_57895_-	scaffold_51	57739	57895	-	JGI_V11_306649	GO:0008270	KOG1700	KOG1700	FBgn0068123	Q6XIG1
scaffold_54_584533_584541_-	scaffold_54	584533	584541	-	JGI_V11_306849	GO:0008270	KOG4582	KOG4582	FBgn0003231	P14199
scaffold_6_927179_927196_+	scaffold_6	927179	927196	+	JGI_V11_235753	GO:0008270	KOG1700	KOG1700	0	0
scaffold_60_173485_173551_+	scaffold_60	173485	173551	+	JGI_V11_307205	GO:0008270	KOG4286	KOG4286	0	0
scaffold_66_346571_346576_-	scaffold_66	346571	346576	-	JGI_V11_324972	GO:0008270	KOG0035	KOG0035	FBgn0036333	Q9VU34
scaffold_9_131713_131730_+	scaffold_9	131713	131730	+	JGI_V11_193440	GO:0008270	KOG4381	KOG4381	FBgn0051064	Q86P45
scaffold_1_688145_688156_-	scaffold_1	688145	688156	-	JGI_V11_232076	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0034580	Q8MSI4
scaffold_1_695964_695981_-	scaffold_1	695964	695981	-	JGI_V11_189897	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0034580	Q8MSI4
scaffold_1_3115212_3115257_-	scaffold_1	3115212	3115257	-	JGI_V11_220226	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	0	0
scaffold_13_148777_148795_+	scaffold_13	148777	148795	+	JGI_V11_194525	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	0	0
scaffold_13_150145_150196_+	scaffold_13	150145	150196	+	JGI_V11_194525	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	0	0
scaffold_2_193637_193653_-	scaffold_2	193637	193653	-	JGI_V11_310112	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	0	0
scaffold_5_829943_829969_+	scaffold_5	829943	829969	+	JGI_V11_235148	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0250907	Q9W5U2
scaffold_5_830806_830843_+	scaffold_5	830806	830843	+	JGI_V11_235148	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0250907	Q9W5U2
scaffold_5_830948_830951_+	scaffold_5	830948	830951	+	JGI_V11_235148	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0250907	Q9W5U2
scaffold_5_831161_831228_+	scaffold_5	831161	831228	+	JGI_V11_235148	"GO:0008152,GO:0016787,GO:0003824,GO:0005975,GO:0005576,GO:0006030,GO:0008061"	KOG2806	KOG2806	FBgn0250907	Q9W5U2
scaffold_14_1135092_1135108_-	scaffold_14	1135092	1135108	-	JGI_V11_315516	"GO:0008152,GO:0016787"	KOG2806	KOG2806	0	0
scaffold_143_220694_220861_-	scaffold_143	220694	220861	-	JGI_V11_218498	"GO:0008152,GO:0016779"	KOG2638	KOG2638	FBgn0035978	Q8SXQ2
scaffold_29_840261_840345_+	scaffold_29	840261	840345	+	JGI_V11_304437	"GO:0008152,GO:0016624"	KOG0225	KOG0225	FBgn0028325	Q7KVX1
scaffold_174_124491_124672_-	scaffold_174	124491	124672	-	JGI_V11_203975	"GO:0008152,GO:0016491,GO:0005498"	KOG0725	KOG0725	FBgn0039537	Q9VB10
scaffold_210_57086_57191_-	scaffold_210	57086	57191	-	JGI_V11_332860	"GO:0008152,GO:0016491,GO:0005498"	KOG1206	KOG1206	FBgn0030731	Q9VXJ0
scaffold_119_147454_147459_-	scaffold_119	147454	147459	-	JGI_V11_202999	"GO:0008152,GO:0016491,GO:0004808,GO:0005737,GO:0008033"	KOG2805	KOG2805	FBgn0040337	Q9W5B6
scaffold_1_642134_642148_+	scaffold_1	642134	642148	+	JGI_V11_299809	"GO:0008152,GO:0016491,GO:0004450,GO:0006092"	KOG1526	KOG1526	FBgn0001248	B7Z0E0
scaffold_10_1912756_1912760_+	scaffold_10	1912756	1912760	+	JGI_V11_300459	"GO:0008152,GO:0016491"	KOG0725	KOG0725	FBgn0037354	Q9VNF3
scaffold_10_813128_813135_-	scaffold_10	813128	813135	-	JGI_V11_313959	"GO:0008152,GO:0016491"	0	0	0	0
scaffold_138_290602_290637_-	scaffold_138	290602	290637	-	JGI_V11_301515	"GO:0008152,GO:0016491"	KOG1208	KOG1208	0	0
scaffold_14_1599714_1599720_+	scaffold_14	1599714	1599720	+	JGI_V11_301603	"GO:0008152,GO:0016491"	KOG1205	KOG1205	FBgn0027583	Q9Y140
scaffold_183_63719_63761_-	scaffold_183	63719	63761	-	JGI_V11_302712	"GO:0008152,GO:0016491"	KOG2453	KOG2453	FBgn0036857	Q8SXQ1
scaffold_31_306555_306609_-	scaffold_31	306555	306609	-	JGI_V11_231053	"GO:0008152,GO:0016491"	KOG1208	KOG1208	0	0
scaffold_6_874885_874940_+	scaffold_6	874885	874940	+	JGI_V11_312400	"GO:0008152,GO:0016491"	KOG1208	KOG1208	FBgn0034500	Q7K0F7
scaffold_6_875345_875386_+	scaffold_6	875345	875386	+	JGI_V11_312400	"GO:0008152,GO:0016491"	KOG1208	KOG1208	FBgn0034500	Q7K0F7
scaffold_84_75254_75405_-	scaffold_84	75254	75405	-	JGI_V11_231480	"GO:0008152,GO:0016491"	KOG1014	KOG1014	FBgn0029975	Q9W3N1
scaffold_9_1697470_1697483_+	scaffold_9	1697470	1697483	+	JGI_V11_208749	"GO:0008152,GO:0016491"	KOG1610	KOG1610	FBgn0033679	Q7K3N4
scaffold_99_152753_152792_+	scaffold_99	152753	152792	+	JGI_V11_231613	"GO:0008152,GO:0016491"	KOG1201	KOG1201	FBgn0032910	Q8SYX3
scaffold_21_1195664_1195683_-	scaffold_21	1195664	1195683	-	JGI_V11_188087	"GO:0008152,GO:0008483,GO:0005737,GO:0006817"	KOG3544	KOG3544	FBgn0034200	Q7K533
scaffold_155_228839_228871_-	scaffold_155	228839	228871	-	JGI_V11_331033	"GO:0008152,GO:0008168,GO:0004164,GO:0017183"	KOG3123	KOG3123	FBgn0024558	Q8IN02
scaffold_54_603247_603254_+.1	scaffold_54	603247	603254	+	JGI_V11_306853	"GO:0008146,GO:0003677,GO:0005634"	KOG4157	KOG4157	0	0
scaffold_18_808504_808596_-	scaffold_18	808504	808596	-	JGI_V11_302545	GO:0008146	KOG1584	KOG1584	FBgn0033887	A1Z9J8
scaffold_18_817972_817973_-	scaffold_18	817972	817973	-	JGI_V11_302547	GO:0008146	KOG1584	KOG1584	FBgn0033887	A1Z9J8
scaffold_18_818121_818225_-	scaffold_18	818121	818225	-	JGI_V11_302547	GO:0008146	KOG1584	KOG1584	FBgn0033887	A1Z9J8
scaffold_80_254081_254106_+	scaffold_80	254081	254106	+	JGI_V11_201267	GO:0008146	KOG1584	KOG1584	FBgn0037665	Q9VHH0
scaffold_90_357095_357112_-	scaffold_90	357095	357112	-	JGI_V11_93396	GO:0008146	KOG1584	KOG1584	0	0
scaffold_60_223688_223711_-	scaffold_60	223688	223711	-	JGI_V11_307211	"GO:0008083,GO:0040007"	KOG3900	KOG3900	FBgn0024234	P27091
scaffold_87_149446_149454_-	scaffold_87	149446	149454	-	JGI_V11_308843	"GO:0008083,GO:0016020"	0	0	FBgn0030964	Q9BLX1
scaffold_75_335229_335288_-	scaffold_75	335229	335288	-	JGI_V11_308108	GO:0008080	0	0	FBgn0032670	Q9VJ98
