chr start end strand gene gene_start gene_end gene_strand expression promoter
248 scaffold_1 3978223 3978242 + JGI_V11_230130 3977358 3979731 + 41.5638989083455 scaffold_1_1768365_1771525_-
250 scaffold_1 4131140 4131182 + JGI_V11_299978 4130712 4133370 + 151.041608358933 scaffold_1_1772326_1775894_-
252 scaffold_1 4139814 4139864 + JGI_V11_40070 4139802 4146487 + 59.1893639883865 scaffold_1_1784632_1787229_+
255 scaffold_1 263026 263044 - JGI_V11_39582 261464 263260 - 3221.51489906651 scaffold_1_1795650_1800762_-
256 scaffold_1 324166 324180 - JGI_V11_299994 321134 324297 - 210.560646620374 scaffold_1_1836514_1840877_+
257 scaffold_1 328152 328204 - JGI_V11_309508 324483 328482 - 311.839294621966 scaffold_1_1841433_1845086_+
258 scaffold_1 335509 335540 - JGI_V11_189816 332297 335940 - 111.022445883658 scaffold_1_1844530_1846707_-
259 scaffold_1 342702 342796 - JGI_V11_186885 341145 343179 - 313.066673558638 scaffold_1_1846598_1859313_-
259.1 scaffold_1 342702 342796 - JGI_V11_309511 341502 343179 - 313.066673558638 scaffold_1_1846598_1859313_-
260 scaffold_1 347421 347472 - JGI_V11_299998 344404 347857 - 137.67043034098 scaffold_1_1859111_1861922_-
262 scaffold_1 384550 384551 - JGI_V11_299999 381513 384953 - 6.27934146232643 scaffold_1_1864542_1868709_-
263 scaffold_1 400132 400192 - JGI_V11_299795 400018 402708 - 338.495863401581 scaffold_1_1868339_1870061_+
264 scaffold_1 402294 402304 - JGI_V11_299795 400018 402708 - 280.500403765345 scaffold_1_1870679_1877382_-
265 scaffold_1 405496 405517 - JGI_V11_299797 403993 405743 - 99.3974168542097 scaffold_1_1878192_1881133_-
266 scaffold_1 423367 423368 - JGI_V11_309524 420845 423758 - 5.94884980641451 scaffold_1_1880796_1885244_-
269 scaffold_1 440334 440356 - JGI_V11_230069 438963 440869 - 114.534664957513 scaffold_1_1889178_1896749_-
273 scaffold_1 594482 594551 - JGI_V11_300013 587134 597354 - 412.564718327588 scaffold_1_1918989_1920966_+
274 scaffold_1 597099 597179 - JGI_V11_300013 587134 597354 - 139.023506345709 scaffold_1_1921575_1926021_-
275 scaffold_1 605733 605831 - JGI_V11_299651 602122 610594 - 883.804652010771 scaffold_1_1926563_1931108_-
276 scaffold_1 612138 612175 - JGI_V11_299806 610961 612551 - 211.201715926572 scaffold_1_1930750_1932793_-
277 scaffold_1 617236 617271 - JGI_V11_93993 614475 617547 - 33.9982339059822 scaffold_1_1932518_1937275_+
278 scaffold_1 620329 620360 - JGI_V11_93995 618974 620687 - 68.4207273908551 scaffold_1_1938369_1939652_+
280 scaffold_1 651671 651712 - JGI_V11_299810 647488 652087 - 311.288571214066 scaffold_1_1941703_1943950_-
281 scaffold_1 676487 676552 - JGI_V11_232072 667987 677597 - 313.621918424462 scaffold_1_1946052_1947410_-
282 scaffold_1 676767 676847 - JGI_V11_232072 667987 677597 - 317.981276277438 scaffold_1_1947830_1953591_+
283 scaffold_1 683391 683447 - JGI_V11_300021 677991 683670 - 261.333457298879 scaffold_1_1952832_1954109_+
284 scaffold_1 688145 688156 - JGI_V11_232076 687127 690318 - 24.3140484314647 scaffold_1_1954803_1957214_+
286 scaffold_1 695964 695981 - JGI_V11_189897 692710 696379 - 788.268256824901 scaffold_1_1960710_1962685_+
287 scaffold_1 698411 698423 - JGI_V11_39671 697603 702413 - 18.6467840030899 scaffold_1_1961899_1963002_+
288 scaffold_1 698533 698552 - JGI_V11_39671 697603 702413 - 62.5992794184051 scaffold_1_1962620_1966396_+
292 scaffold_1 854064 854115 - JGI_V11_299813 852736 854482 - 1213.90083008483 scaffold_1_1985194_1988785_+
